district,date,actual,forecast,lower_ci,upper_ci
AHMEDNAGAR,2020-06-01,6875,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2020-07-01,6478,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2020-08-01,5975,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2020-09-01,6550,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2020-10-01,6471,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2020-11-01,6107,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2020-12-01,7460,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2021-01-01,6692,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2021-02-01,7023,6938.1842193219,5882.996412887092,7993.372025756707
AHMEDNAGAR,2021-03-01,6274,6938.1842193219,5882.996412887092,7993.372025756707
AKOLA,2020-06-01,2999,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2020-07-01,3121,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2020-08-01,3029,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2020-09-01,2763,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2020-10-01,2737,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2020-11-01,2700,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2020-12-01,2933,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2021-01-01,3111,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2021-02-01,2983,2706.236805949306,2306.445172353685,3106.028439544927
AKOLA,2021-03-01,3093,2706.236805949306,2306.445172353685,3106.028439544927
AMRAVATI,2020-06-01,3883,3885.907959205582,3372.8931937153206,4398.9227246958435
AMRAVATI,2020-07-01,3459,3822.2005006140844,3260.957170342571,4383.443830885598
AMRAVATI,2020-08-01,3049,3835.8636727244407,3273.097328666642,4398.630016782239
AMRAVATI,2020-09-01,3325,3859.605209883559,3290.9647012554137,4428.245718511704
AMRAVATI,2020-10-01,3191,3866.3473717685997,3297.1711474534145,4435.523596083785
AMRAVATI,2020-11-01,3502,3862.7503004803157,3293.454466853112,4432.046134107519
AMRAVATI,2020-12-01,4172,3859.283319233639,3289.8604176550652,4428.706220812212
AMRAVATI,2021-01-01,4458,3858.7432831683127,3289.3165138805193,4428.170052456106
AMRAVATI,2021-02-01,4134,3859.4657932800633,3290.033937008887,4428.89764955124
AMRAVATI,2021-03-01,4134,3859.936226205585,3290.5019783913735,4429.370474019796
AURANGABAD,2020-06-01,7193,6043.428319466828,5126.347575172773,6960.509063760883
AURANGABAD,2020-07-01,6028,6004.33065651915,4983.335398722582,7025.3259143157175
AURANGABAD,2020-08-01,6173,6172.460590033352,5091.932548115405,7252.988631951299
AURANGABAD,2020-09-01,6644,6100.852479618072,4877.834417262709,7323.870541973434
AURANGABAD,2020-10-01,6246,6076.148843708919,4756.523313652255,7395.774373765584
AURANGABAD,2020-11-01,5765,6114.859584098564,4718.928188506331,7510.790979690796
AURANGABAD,2020-12-01,6760,6104.094387050432,4619.960755027832,7588.228019073031
AURANGABAD,2021-01-01,6615,6095.48454956891,4531.352992525615,7659.616106612204
AURANGABAD,2021-02-01,7139,6103.804296685616,4467.31518279348,7740.293410577751
AURANGABAD,2021-03-01,6756,6102.693416450629,4394.025127683223,7811.361705218035
BEED,2020-06-01,3954,4459.590039784395,3576.918179716305,5342.261899852486
BEED,2020-07-01,3821,4253.6809055426365,3270.8242310033174,5236.537580081956
BEED,2020-08-01,3261,4152.830365411648,3147.4242775253097,5158.236453297986
BEED,2020-09-01,3819,4103.435609408399,3092.695040942215,5114.176177874582
BEED,2020-10-01,3751,4079.2429584077045,3067.2269034650826,5091.259013350326
BEED,2020-11-01,3332,4067.3938389910018,3055.072051463385,5079.715626518619
BEED,2020-12-01,4156,4061.590356315736,3049.1952414962943,5073.985471135177
BEED,2021-01-01,4018,4058.7479163016164,3046.335212067945,5071.160620535287
BEED,2021-02-01,4267,4057.355741001723,3044.938817356079,5069.772664647367
BEED,2021-03-01,4241,4056.6738789198475,3044.2559430981914,5069.091814741503
BHANDARA,2020-06-01,1341,1454.6474226988503,1232.3460407506193,1676.9488046470813
BHANDARA,2020-07-01,1262,1369.9147239640583,1147.492485765312,1592.3369621628046
BHANDARA,2020-08-01,1185,1296.7265548622745,1074.4471902490902,1519.0059194754588
BHANDARA,2020-09-01,1200,1255.7737390867774,1033.7487543306443,1477.7987238429105
BHANDARA,2020-10-01,1233,1258.633401378324,1036.7046159064805,1480.5621868501673
BHANDARA,2020-11-01,1093,1304.4961811752553,1082.4018465112388,1526.5905158392718
BHANDARA,2020-12-01,1395,1380.3953029192592,1158.0456122445503,1602.744993593968
BHANDARA,2021-01-01,1416,1464.872670180516,1242.4437776620655,1687.3015626989666
BHANDARA,2021-02-01,1690,1534.0454694735008,1311.7943042244683,1756.2966347225333
BHANDARA,2021-03-01,1729,1568.3581417929472,1346.3528003741058,1790.3634832117887
BULDHANA,2020-06-01,4320,4352.093807426433,3749.29378323928,4954.893831613586
BULDHANA,2020-07-01,3900,4087.309504381016,3453.7450915423274,4720.873917219704
BULDHANA,2020-08-01,3612,4088.986250317869,3445.518236971131,4732.4542636646065
BULDHANA,2020-09-01,4073,4166.644185952582,3516.463846928411,4816.824524976753
BULDHANA,2020-10-01,3614,4191.281078610813,3541.0955252262934,4841.466631995332
BULDHANA,2020-11-01,3484,4176.635029173556,3525.8476471758577,4827.422411171255
BULDHANA,2020-12-01,4289,4164.721270788264,3513.8810306645178,4815.56151091201
BULDHANA,2021-01-01,4304,4165.1322244733265,3514.269034905292,4815.995414041361
BULDHANA,2021-02-01,4508,4168.734931199142,3517.8582931232704,4819.611569275014
BULDHANA,2021-03-01,4443,4169.780854980193,3518.9041733514123,4820.657536608974
CHANDRAPUR,2020-06-01,2500,2706.443978459805,2112.5099063665584,3300.3780505530513
CHANDRAPUR,2020-07-01,2316,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2020-08-01,2209,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2020-09-01,2247,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2020-10-01,2187,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2020-11-01,2220,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2020-12-01,2940,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2021-01-01,3096,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2021-02-01,3083,2696.5486656830126,2001.2555985067793,3391.841732859246
CHANDRAPUR,2021-03-01,3033,2696.5486656830126,2001.2555985067793,3391.841732859246
DHULE,2020-06-01,3995,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2020-07-01,3857,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2020-08-01,3076,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2020-09-01,3376,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2020-10-01,3157,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2020-11-01,3146,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2020-12-01,3665,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2021-01-01,3484,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2021-02-01,3689,3752.5789380916485,3086.82629480535,4418.331581377947
DHULE,2021-03-01,3358,3752.5789380916485,3086.82629480535,4418.331581377947
GADCHIROLI,2020-06-01,1678,1970.082845526541,1640.6504540415776,2299.5152370115043
GADCHIROLI,2020-07-01,1431,1839.7068427643828,1469.6463246646574,2209.767360864108
GADCHIROLI,2020-08-01,1224,1739.5308130615447,1343.9594605925006,2135.102165530589
GADCHIROLI,2020-09-01,1361,1652.7790406119168,1209.976460130286,2095.5816210935477
GADCHIROLI,2020-10-01,1251,1652.7790406119168,1209.976460130286,2095.5816210935477
GADCHIROLI,2020-11-01,1256,1652.7790406119168,1209.976460130286,2095.5816210935477
GADCHIROLI,2020-12-01,1632,1652.7790406119168,1209.976460130286,2095.5816210935477
GADCHIROLI,2021-01-01,1689,1652.7790406119168,1209.976460130286,2095.5816210935477
GADCHIROLI,2021-02-01,2016,1652.7790406119168,1209.976460130286,2095.5816210935477
GADCHIROLI,2021-03-01,2045,1652.7790406119168,1209.976460130286,2095.5816210935477
GONDIA,2020-06-01,1680,1768.9348665757163,1477.0853725361753,2060.7843606152574
GONDIA,2020-07-01,1703,1730.9726853280993,1407.979551156468,2053.9658194997305
GONDIA,2020-08-01,1383,1712.9732498255057,1383.3836212574702,2042.5628783935413
GONDIA,2020-09-01,1445,1704.438975245792,1373.3844848028568,2035.4934656887274
GONDIA,2020-10-01,1472,1700.3925237561634,1369.0096093364846,2031.7754381758423
GONDIA,2020-11-01,1519,1698.473934249231,1367.0172316665999,2029.930636831862
GONDIA,2020-12-01,1528,1697.5642518508268,1366.0909632192734,2029.0375404823803
GONDIA,2021-01-01,1531,1697.1329339149286,1365.6559166894547,2028.6099511404025
GONDIA,2021-02-01,1829,1696.928428296095,1365.4505728515287,2028.4062837406614
GONDIA,2021-03-01,2024,1696.8314637494032,1365.3534198651691,2028.3095076336372
HINGOLI,2020-06-01,1988,1942.8684192529913,1627.1271506659746,2258.609687840008
HINGOLI,2020-07-01,1886,1942.8684192529913,1627.1271506659746,2258.609687840008
HINGOLI,2020-08-01,1692,1942.8684192529913,1627.1271506659746,2258.609687840008
HINGOLI,2020-09-01,2019,1942.8684192529913,1627.1271506659746,2258.609687840008
