district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6478.0,6796.43658507132
AHMEDNAGAR,2020-08-01,5975.0,6789.30305053395
AHMEDNAGAR,2020-09-01,6550.0,6920.846520841089
AHMEDNAGAR,2020-10-01,6471.0,7016.112410931992
AHMEDNAGAR,2020-11-01,6107.0,7092.319953494962
AHMEDNAGAR,2020-12-01,7460.0,6983.123726184153
AHMEDNAGAR,2021-01-01,6692.0,7024.91771368333
AHMEDNAGAR,2021-02-01,7023.0,7044.605934159578
AHMEDNAGAR,2021-03-01,6274.0,6818.923433092351
AKOLA,2020-07-01,3121.0,2905.4978369328664
AKOLA,2020-08-01,3029.0,2739.6888167683082
AKOLA,2020-09-01,2763.0,2596.5242777184803
AKOLA,2020-10-01,2737.0,2525.5932509467475
AKOLA,2020-11-01,2700.0,2604.105605781272
AKOLA,2020-12-01,2933.0,2692.977089231642
AKOLA,2021-01-01,3111.0,2750.5626823752036
AKOLA,2021-02-01,2983.0,2749.4199909651406
AKOLA,2021-03-01,3093.0,2612.704053842478
AMRAVATI,2020-07-01,3459.0,3784.087369363703
AMRAVATI,2020-08-01,3049.0,3639.0811319468
AMRAVATI,2020-09-01,3325.0,3589.8903569108897
AMRAVATI,2020-10-01,3191.0,3878.6055872061215
AMRAVATI,2020-11-01,3502.0,3812.605929998189
AMRAVATI,2020-12-01,4172.0,3940.659220483222
AMRAVATI,2021-01-01,4458.0,4175.974956699906
AMRAVATI,2021-02-01,4134.0,4084.954260981472
AMRAVATI,2021-03-01,4134.0,3769.117011176933
AURANGABAD,2020-07-01,6028.0,6553.018498038411
AURANGABAD,2020-08-01,6173.0,6296.88549561511
AURANGABAD,2020-09-01,6644.0,6677.725795123826
AURANGABAD,2020-10-01,6246.0,6470.6235128819235
AURANGABAD,2020-11-01,5765.0,6337.038249323775
AURANGABAD,2020-12-01,6760.0,6354.048284185244
AURANGABAD,2021-01-01,6615.0,6613.208402853683
AURANGABAD,2021-02-01,7139.0,6327.28052275845
AURANGABAD,2021-03-01,6756.0,6818.291090101512
BEED,2020-07-01,3821.0,3901.7396245559594
BEED,2020-08-01,3261.0,3844.1438766794436
BEED,2020-09-01,3819.0,3670.287135261321
BEED,2020-10-01,3751.0,3882.2803895592074
BEED,2020-11-01,3332.0,3907.039026895304
BEED,2020-12-01,4156.0,3704.266478607473
BEED,2021-01-01,4018.0,4023.5859879814075
BEED,2021-02-01,4267.0,4021.0608073722656
BEED,2021-03-01,4241.0,4067.366887548648
BHANDARA,2020-07-01,1262,1403.376282699539
BHANDARA,2020-08-01,1185,1457.4742018811867
BHANDARA,2020-09-01,1200,1490.2972164953337
BHANDARA,2020-10-01,1233,1500.6827700437586
BHANDARA,2020-11-01,1093,1485.4675291117132
BHANDARA,2020-12-01,1395,1509.5120983441152
BHANDARA,2021-01-01,1416,1464.5302445723892
BHANDARA,2021-02-01,1690,1385.6992555124325
BHANDARA,2021-03-01,1729,1312.730160323097
BULDHANA,2020-07-01,3900.0,4132.235425676924
BULDHANA,2020-08-01,3612.0,3988.931278732499
BULDHANA,2020-09-01,4073.0,4069.4187644354583
BULDHANA,2020-10-01,3614.0,4328.952087661568
BULDHANA,2020-11-01,3484.0,4165.48866891801
BULDHANA,2020-12-01,4289.0,4145.55763899514
BULDHANA,2021-01-01,4304.0,4465.83432054977
BULDHANA,2021-02-01,4508.0,4318.691362634262
BULDHANA,2021-03-01,4443.0,4215.991031594846
CHANDRAPUR,2020-07-01,2316.0,2505.2059036306136
CHANDRAPUR,2020-08-01,2209.0,2470.7239267220375
