district,date,actual,forecast,residual
AHMEDNAGAR,2020-07-01,6478.0,7212.238049656893,-734.238049656893
AHMEDNAGAR,2020-08-01,5975.0,6734.2550514162795,-759.2550514162795
AHMEDNAGAR,2020-09-01,6550.0,6264.023135410439,285.97686458956105
AHMEDNAGAR,2020-10-01,6471.0,6277.611284260659,193.38871573934102
AHMEDNAGAR,2020-11-01,6107.0,6452.3809880753115,-345.3809880753115
AHMEDNAGAR,2020-12-01,7460.0,6295.277963022621,1164.7220369773786
AHMEDNAGAR,2021-01-01,6692.0,6763.209124281522,-71.20912428152224
AHMEDNAGAR,2021-02-01,7023.0,6970.667759112897,52.33224088710267
AHMEDNAGAR,2021-03-01,6274.0,6901.242923714427,-627.242923714427
AKOLA,2020-07-01,3121.0,2813.53357865438,307.4664213456199
AKOLA,2020-08-01,3029.0,3010.358520723737,18.641479276263
AKOLA,2020-09-01,2763.0,3029.3520989777508,-266.35209897775076
AKOLA,2020-10-01,2737.0,2869.985302176959,-132.98530217695907
AKOLA,2020-11-01,2700.0,2808.1826422564877,-108.18264225648772
AKOLA,2020-12-01,2933.0,2718.7121004380865,214.2878995619135
AKOLA,2021-01-01,3111.0,2867.1899183699356,243.81008163006436
AKOLA,2021-02-01,2983.0,2998.89576893042,-15.895768930420218
AKOLA,2021-03-01,3093.0,2981.92735074009,111.07264925991012
AMRAVATI,2020-07-01,3459.0,3895.28995740347,-436.28995740347
AMRAVATI,2020-08-01,3049.0,3577.3634163439533,-528.3634163439533
AMRAVATI,2020-09-01,3325.0,3267.607903502794,57.392096497205785
AMRAVATI,2020-10-01,3191.0,3408.4687861610323,-217.4687861610323
AMRAVATI,2020-11-01,3502.0,3099.1747126096166,402.82528739038344
AMRAVATI,2020-12-01,4172.0,3475.814014170834,696.1859858291659
AMRAVATI,2021-01-01,4458.0,3909.517182589714,548.4828174102859
AMRAVATI,2021-02-01,4134.0,4132.386372793829,1.6136272061712589
AMRAVATI,2021-03-01,4134.0,4066.0824640417723,67.91753595822775
AURANGABAD,2020-07-01,6028.0,6420.112065436573,-392.1120654365732
AURANGABAD,2020-08-01,6173.0,6229.950522102487,-56.95052210248741
AURANGABAD,2020-09-01,6644.0,6625.27901656363,18.72098343637026
AURANGABAD,2020-10-01,6246.0,6279.128978348906,-33.12897834890555
AURANGABAD,2020-11-01,5765.0,6178.751032373113,-413.75103237311305
AURANGABAD,2020-12-01,6760.0,6171.734848101514,588.2651518984858
AURANGABAD,2021-01-01,6615.0,6427.434219925367,187.56578007463304
AURANGABAD,2021-02-01,7139.0,6155.213813724332,983.7861862756681
AURANGABAD,2021-03-01,6756.0,6884.213432019095,-128.2134320190953
BEED,2020-07-01,3821.0,4330.482364396307,-509.4823643963073
BEED,2020-08-01,3261.0,3932.3221532920847,-671.3221532920847
BEED,2020-09-01,3819.0,3453.9177387937143,365.0822612062857
BEED,2020-10-01,3751.0,3593.6457086114096,157.35429138859035
BEED,2020-11-01,3332.0,3637.8298506491587,-305.82985064915874
BEED,2020-12-01,4156.0,3456.2432546709847,699.7567453290153
BEED,2021-01-01,4018.0,3795.0144036388774,222.9855963611226
BEED,2021-02-01,4267.0,3893.6109635016314,373.38903649836857
BEED,2021-03-01,4241.0,4105.832366919695,135.16763308030477
BHANDARA,2020-07-01,1262,1407.2516868794876,-145.25168687948758
BHANDARA,2020-08-01,1185,1460.2142332610633,-275.2142332610633
BHANDARA,2020-09-01,1200,1486.441635186859,-286.441635186859
BHANDARA,2020-10-01,1233,1489.0046282450414,-256.00462824504143
BHANDARA,2020-11-01,1093,1461.399172346441,-368.399172346441
BHANDARA,2020-12-01,1395,1480.7149874282215,-85.71498742822155
BHANDARA,2021-01-01,1416,1423.1000036112753,-7.10000361127527
BHANDARA,2021-02-01,1690,1318.3756320780592,371.6243679219408
BHANDARA,2021-03-01,1729,1233.3988532033916,495.6011467966084
BULDHANA,2020-07-01,3900.0,4133.842828784279,-233.84282878427894
BULDHANA,2020-08-01,3612.0,3997.107741966761,-385.10774196676084
BULDHANA,2020-09-01,4073.0,4049.600657508477,23.39934249152293
BULDHANA,2020-10-01,3614.0,4289.856692934532,-675.8566929345316
BULDHANA,2020-11-01,3484.0,4125.001890157261,-641.0018901572612
BULDHANA,2020-12-01,4289.0,4106.630511085931,182.36948891406882
BULDHANA,2021-01-01,4304.0,4414.6476691115895,-110.6476691115895
BULDHANA,2021-02-01,4508.0,4287.38645266729,220.61354733271037
BULDHANA,2021-03-01,4443.0,4216.809780319661,226.1902196803394
CHANDRAPUR,2020-07-01,2316.0,2535.0106485957576,-219.01064859575763
CHANDRAPUR,2020-08-01,2209.0,2482.9351363091987,-273.9351363091987
CHANDRAPUR,2020-09-01,2247.0,2442.559544017034,-195.5595440170341
CHANDRAPUR,2020-10-01,2187.0,2469.0910153651735,-282.09101536517346
CHANDRAPUR,2020-11-01,2220.0,2434.027492839188,-214.0274928391882
CHANDRAPUR,2020-12-01,2940.0,2456.974425809792,483.02557419020786
CHANDRAPUR,2021-01-01,3096.0,2805.3185213482457,290.68147865175433
CHANDRAPUR,2021-02-01,3083.0,2808.4870594635604,274.5129405364396
CHANDRAPUR,2021-03-01,3033.0,2798.07144158119,234.9285584188101
DHULE,2020-07-01,3857.0,3804.0910461579742,52.90895384202577
DHULE,2020-08-01,3076.0,3896.783359425486,-820.7833594254862
DHULE,2020-09-01,3376.0,3402.216196343888,-26.216196343887987
DHULE,2020-10-01,3157.0,3473.589776337277,-316.5897763372768
