district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6478.0,6810.827867274319
AHMEDNAGAR,2020-08-01,5975.0,6566.397124541709
AHMEDNAGAR,2020-09-01,6550.0,6942.121344681289
AHMEDNAGAR,2020-10-01,6471.0,7081.5277457243365
AHMEDNAGAR,2020-11-01,6107.0,7158.594751256522
AHMEDNAGAR,2020-12-01,7460.0,7015.696560698483
AHMEDNAGAR,2021-01-01,6692.0,6862.701751577917
AHMEDNAGAR,2021-02-01,7023.0,7087.983657417678
AHMEDNAGAR,2021-03-01,6274.0,6746.087122967949
AHMEDNAGAR,2020-07-01,6478.0,6810.827867274319
AHMEDNAGAR,2020-08-01,5975.0,6566.397124541709
AHMEDNAGAR,2020-09-01,6550.0,6942.121344681289
AHMEDNAGAR,2020-10-01,6471.0,7081.5277457243365
AHMEDNAGAR,2020-11-01,6107.0,7158.594751256522
AHMEDNAGAR,2020-12-01,7460.0,7015.696560698483
AHMEDNAGAR,2021-01-01,6692.0,6862.701751577917
AHMEDNAGAR,2021-02-01,7023.0,7087.983657417678
AHMEDNAGAR,2021-03-01,6274.0,6746.087122967949
AKOLA,2020-07-01,3121.0,2906.728100506567
AKOLA,2020-08-01,3029.0,2674.86084833899
AKOLA,2020-09-01,2763.0,2622.2325178810847
AKOLA,2020-10-01,2737.0,2544.815901331603
AKOLA,2020-11-01,2700.0,2601.7686108845382
AKOLA,2020-12-01,2933.0,2672.6464002821226
AKOLA,2021-01-01,3111.0,2702.2796237358243
AKOLA,2021-02-01,2983.0,2732.493352906861
AKOLA,2021-03-01,3093.0,2591.5110740951795
AMRAVATI,2020-07-01,3459.0,3712.73145937886
AMRAVATI,2020-08-01,3049.0,3618.806975789392
AMRAVATI,2020-09-01,3325.0,3574.495982655074
AMRAVATI,2020-10-01,3191.0,3889.4704230624675
AMRAVATI,2020-11-01,3502.0,3830.400633596832
AMRAVATI,2020-12-01,4172.0,4011.9328997404737
AMRAVATI,2021-01-01,4458.0,4336.963217631964
AMRAVATI,2021-02-01,4134.0,4140.470265434976
AMRAVATI,2021-03-01,4134.0,3833.8835383036594
AURANGABAD,2020-07-01,6028.0,6462.1165280025725
AURANGABAD,2020-08-01,6173.0,6293.848992674005
AURANGABAD,2020-09-01,6644.0,6613.927409822063
AURANGABAD,2020-10-01,6246.0,6417.275534297234
AURANGABAD,2020-11-01,5765.0,6392.785931773754
AURANGABAD,2020-12-01,6760.0,6362.972377172633
AURANGABAD,2021-01-01,6615.0,6523.186456625954
AURANGABAD,2021-02-01,7139.0,6323.089058759933
AURANGABAD,2021-03-01,6756.0,6726.757276494952
BEED,2020-07-01,3821.0,4201.27401097302
BEED,2020-08-01,3261.0,3581.1055139205373
BEED,2020-09-01,3819.0,3120.8782997593626
BEED,2020-10-01,3751.0,3597.9412446838114
BEED,2020-11-01,3332.0,3843.110226105071
BEED,2020-12-01,4156.0,3997.30365536675
BEED,2021-01-01,4018.0,4103.683966012252
BEED,2021-02-01,4267.0,4017.9272628022895
BEED,2021-03-01,4241.0,4310.487008254952
BHANDARA,2020-07-01,1262,1396.7082031715474
BHANDARA,2020-08-01,1185,1444.6382394534448
BHANDARA,2020-09-01,1200,1489.9382946208034
BHANDARA,2020-10-01,1233,1533.25626578955
BHANDARA,2020-11-01,1093,1551.9033761603596
BHANDARA,2020-12-01,1395,1593.804379563262
BHANDARA,2021-01-01,1416,1547.9112693604743
BHANDARA,2021-02-01,1690,1477.5237167048595
BHANDARA,2021-03-01,1729,1380.5525300116894
BULDHANA,2020-07-01,3900.0,4083.176504398602
BULDHANA,2020-08-01,3612.0,4004.962636191584
BULDHANA,2020-09-01,4073.0,4142.470483514127
BULDHANA,2020-10-01,3614.0,4092.0006445666704
BULDHANA,2020-11-01,3484.0,4204.804044845514
BULDHANA,2020-12-01,4289.0,4341.873268031571
BULDHANA,2021-01-01,4304.0,4565.933525657224
BULDHANA,2021-02-01,4508.0,4324.044845600114
BULDHANA,2021-03-01,4443.0,4338.183039003656
CHANDRAPUR,2020-07-01,2316.0,2457.8571430791276
CHANDRAPUR,2020-08-01,2209.0,2333.9602903380155
CHANDRAPUR,2020-09-01,2247.0,2293.2753762185102
CHANDRAPUR,2020-10-01,2187.0,2477.5928181010986
CHANDRAPUR,2020-11-01,2220.0,2536.542539340244
CHANDRAPUR,2020-12-01,2940.0,2635.3264157385092
CHANDRAPUR,2021-01-01,3096.0,3001.5558883716153
CHANDRAPUR,2021-02-01,3083.0,2967.2785919547723
CHANDRAPUR,2021-03-01,3033.0,3065.297302848823
DHULE,2020-07-01,3857.0,3843.6251986906154
DHULE,2020-08-01,3076.0,3733.102550298897
DHULE,2020-09-01,3376.0,3439.3642539965963
DHULE,2020-10-01,3157.0,3601.4749777065153
DHULE,2020-11-01,3146.0,3570.4010106225787
DHULE,2020-12-01,3665.0,3499.708988690657
DHULE,2021-01-01,3484.0,3745.936349827829
DHULE,2021-02-01,3689.0,3652.6303987552274
DHULE,2021-03-01,3358.0,3688.933005342337
GADCHIROLI,2020-07-01,1431,1725.2989936448116
GADCHIROLI,2020-08-01,1224,1663.691363523695
GADCHIROLI,2020-09-01,1361,1612.8890276207828
GADCHIROLI,2020-10-01,1251,1573.956059830458
GADCHIROLI,2020-11-01,1256,1728.752851890716
GADCHIROLI,2020-12-01,1632,1850.5480905666402
GADCHIROLI,2021-01-01,1689,1780.3663192063277
GADCHIROLI,2021-02-01,2016,1787.6115772233575
GADCHIROLI,2021-03-01,2045,1805.3098422004189
GONDIA,2020-07-01,1703.0,1678.5671688971347
GONDIA,2020-08-01,1383.0,1601.4463801170057
GONDIA,2020-09-01,1445.0,1485.609340706334
GONDIA,2020-10-01,1472.0,1495.2243398861215
GONDIA,2020-11-01,1519.0,1579.8650151355614
GONDIA,2020-12-01,1528.0,1620.2652733924556
GONDIA,2021-01-01,1531.0,1736.8370578398935
GONDIA,2021-02-01,1829.0,1712.8139745145193
GONDIA,2021-03-01,2024.0,1786.4714199847213
HINGOLI,2020-07-01,1886.0,1978.608763503154
HINGOLI,2020-08-01,1692.0,1918.9730643983428
HINGOLI,2020-09-01,2019.0,1893.646315730665
HINGOLI,2020-10-01,1976.0,2050.3550897408395
HINGOLI,2020-11-01,1722.0,1929.8118587912056
HINGOLI,2020-12-01,1949.0,1957.3361084178832
HINGOLI,2021-01-01,1975.0,1963.467007607483
HINGOLI,2021-02-01,2077.0,1938.4427666632341
HINGOLI,2021-03-01,2045.0,2031.6275677748063
JALGAON,2020-07-01,6176.0,6903.056197746411
JALGAON,2020-08-01,5950.0,6647.725438385951
JALGAON,2020-09-01,6369.0,6648.09809002719
JALGAON,2020-10-01,6370.0,6750.7204818733935
JALGAON,2020-11-01,6429.0,6663.609899915084
JALGAON,2020-12-01,7344.0,6594.885399285131
JALGAON,2021-01-01,7376.0,6841.893046092748
JALGAON,2021-02-01,7683.0,6880.19495343318
JALGAON,2021-03-01,6301.0,7087.810845623973
JALNA,2020-07-01,3234.0,3551.7013990725827
JALNA,2020-08-01,3247.0,3365.7793842121923
JALNA,2020-09-01,3401.0,3451.360879136978
JALNA,2020-10-01,3244.0,3529.684513876667
JALNA,2020-11-01,3164.0,3327.560964880053
JALNA,2020-12-01,3529.0,3538.266307405258
JALNA,2021-01-01,3637.0,3728.7105717898166
JALNA,2021-02-01,3715.0,3633.5643739798297
JALNA,2021-03-01,3560.0,3670.4533411230923
KOLHAPUR,2020-07-01,4670.0,5078.250367484361
KOLHAPUR,2020-08-01,4437.0,4831.628679133848
KOLHAPUR,2020-09-01,5026.0,5021.899418767214
KOLHAPUR,2020-10-01,4973.0,5310.387723898001
KOLHAPUR,2020-11-01,4789.0,5072.760969717165
KOLHAPUR,2020-12-01,5795.0,5065.46251392185
KOLHAPUR,2021-01-01,5111.0,5317.541115725326
KOLHAPUR,2021-02-01,5237.0,4962.277531791551
KOLHAPUR,2021-03-01,4708.0,5272.459332504619
LATUR,2020-07-01,3694.0,3815.103575846134
LATUR,2020-08-01,3498.0,3866.6450778214585
LATUR,2020-09-01,3654.0,3960.359507512888
LATUR,2020-10-01,3751.0,4037.9052691657866
LATUR,2020-11-01,3673.0,3979.4412484059926
LATUR,2020-12-01,4091.0,3935.883286925809
LATUR,2021-01-01,4179.0,3997.0418410623042
LATUR,2021-02-01,4416.0,3849.0789680346647
LATUR,2021-03-01,4366.0,3834.1805603525445
MUMBAI,2020-07-01,2916,6888.20904892565
MUMBAI,2020-08-01,2676,7615.000346454059
MUMBAI,2020-09-01,3035,8462.621886443598
MUMBAI,2020-10-01,2924,7231.416759274516
MUMBAI,2020-11-01,3608,6229.461993817064
MUMBAI,2020-12-01,4419,5065.9190452394305
MUMBAI,2021-01-01,4239,4130.838119202022
MUMBAI,2021-02-01,4034,2802.7216299194097
MUMBAI,2021-03-01,4119,1470.1039533926655
NAGPUR,2020-07-01,7018.0,7083.721270107921
NAGPUR,2020-08-01,5585.0,6972.258766909512
NAGPUR,2020-09-01,5078.0,6600.88683812592
NAGPUR,2020-10-01,5618.0,6316.067172889436
NAGPUR,2020-11-01,6429.0,6606.5093091031795
NAGPUR,2020-12-01,7872.0,6789.6418511631
NAGPUR,2021-01-01,7618.0,7293.848029799858
NAGPUR,2021-02-01,8330.0,7225.471537499898
NAGPUR,2021-03-01,8796.0,7452.362007050969
NANDED,2020-07-01,5261.0,5681.743220144736
NANDED,2020-08-01,4984.0,5558.035799830672
NANDED,2020-09-01,5871.0,5508.433734834951
NANDED,2020-10-01,5214.0,5967.264437233283
NANDED,2020-11-01,5237.0,5392.6387342081325
NANDED,2020-12-01,6097.0,5715.2050804401615
NANDED,2021-01-01,5865.0,5836.051707282452
NANDED,2021-02-01,6268.0,5602.2584360875635
NANDED,2021-03-01,5883.0,5817.045935984424
NANDURBAR,2020-07-01,3577.0,3657.363074012989
NANDURBAR,2020-08-01,2901.0,3376.3419187326163
NANDURBAR,2020-09-01,3040.0,2842.9922252617157
NANDURBAR,2020-10-01,2588.0,2679.8635889796137
NANDURBAR,2020-11-01,2581.0,2593.361015888925
NANDURBAR,2020-12-01,2989.0,2767.669621285724
NANDURBAR,2021-01-01,2803.0,3075.569992012282
NANDURBAR,2021-02-01,3130.0,3136.442941114725
NANDURBAR,2021-03-01,3365.0,3349.067945916162
NASHIK,2020-07-01,10668.0,10672.134542907195
NASHIK,2020-08-01,9838.0,10404.669145439355
NASHIK,2020-09-01,10420.0,10206.009823763234
