district,date,actual,forecast,lower_ci,upper_ci
AHMEDNAGAR,2020-06-01,6875,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2020-07-01,6478,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2020-08-01,5975,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2020-09-01,6550,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2020-10-01,6471,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2020-11-01,6107,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2020-12-01,7460,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2021-01-01,6692,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2021-02-01,7023,0.0,-13639.468321288276,13639.468321288276
AHMEDNAGAR,2021-03-01,6274,0.0,-13639.468321288276,13639.468321288276
AKOLA,2020-06-01,2999,1595.4999999446825,-1802.4625614431177,4993.462561332482
AKOLA,2020-07-01,3121,1497.2499999508855,-1900.7125614369147,4895.212561338685
AKOLA,2020-08-01,3029,1373.2499999549798,-2024.7125614328204,4771.21256134278
AKOLA,2020-09-01,2763,1401.4999999521783,-1996.4625614356219,4799.4625613399785
AKOLA,2020-10-01,2737,1206.999999964511,-2190.962561423289,4604.962561352311
AKOLA,2020-11-01,2700,1515.9999999426188,-1881.9625614451813,4913.962561330419
AKOLA,2020-12-01,2933,1182.2499999644253,-2215.7125614233746,4580.212561352226
AKOLA,2021-01-01,3111,1158.9999999646252,-2238.962561423175,4556.962561352426
AKOLA,2021-02-01,2983,1177.499999966542,-2220.462561421258,4575.462561354342
AKOLA,2021-03-01,3093,1418.9999999500903,-1978.9625614377098,4816.96256133789
AMRAVATI,2020-06-01,3883,1819.0295044678494,-2151.9870362974225,5790.046045233122
AMRAVATI,2020-07-01,3459,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2020-08-01,3049,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2020-09-01,3325,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2020-10-01,3191,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2020-11-01,3502,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2020-12-01,4172,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2021-01-01,4458,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2021-02-01,4134,0.0,-5544.955835974887,5544.955835974887
AMRAVATI,2021-03-01,4134,0.0,-5544.955835974887,5544.955835974887
AURANGABAD,2020-06-01,7193,6043.428319466828,5126.347575172773,6960.509063760883
AURANGABAD,2020-07-01,6028,6004.33065651915,4983.335398722582,7025.3259143157175
