district,date,actual,forecast_mean,forecast_std
AHMEDNAGAR,2020-07-01,6478.0,6893.3741851308905,559.0600733333087
AHMEDNAGAR,2020-08-01,5975.0,6892.695115147268,560.0336360564578
AHMEDNAGAR,2020-09-01,6550.0,6893.660780803004,557.1793753664157
AHMEDNAGAR,2020-10-01,6471.0,6894.402561588412,555.1106510399673
AHMEDNAGAR,2020-11-01,6107.0,6895.246619729311,554.3200455417455
AHMEDNAGAR,2020-12-01,7460.0,6894.710284613443,553.6347773549528
AHMEDNAGAR,2021-01-01,6692.0,6894.408811348353,556.5557081555057
AHMEDNAGAR,2021-02-01,7023.0,6895.017263050326,556.8270005444332
AHMEDNAGAR,2021-03-01,6274.0,6893.277323696386,557.9129325367555
AHMEDNAGAR,2020-07-01,6478.0,6893.3741851308905,559.0600733333087
AHMEDNAGAR,2020-08-01,5975.0,6892.695115147268,560.0336360564578
AHMEDNAGAR,2020-09-01,6550.0,6893.660780803004,557.1793753664157
AHMEDNAGAR,2020-10-01,6471.0,6894.402561588412,555.1106510399673
AHMEDNAGAR,2020-11-01,6107.0,6895.246619729311,554.3200455417455
AHMEDNAGAR,2020-12-01,7460.0,6894.710284613443,553.6347773549528
AHMEDNAGAR,2021-01-01,6692.0,6894.408811348353,556.5557081555057
AHMEDNAGAR,2021-02-01,7023.0,6895.017263050326,556.8270005444332
AHMEDNAGAR,2021-03-01,6274.0,6893.277323696386,557.9129325367555
AHMEDNAGAR,2020-07-01,6478.0,6893.3741851308905,559.0600733333087
AHMEDNAGAR,2020-08-01,5975.0,6892.695115147268,560.0336360564578
AHMEDNAGAR,2020-09-01,6550.0,6893.660780803004,557.1793753664157
AHMEDNAGAR,2020-10-01,6471.0,6894.402561588412,555.1106510399673
AHMEDNAGAR,2020-11-01,6107.0,6895.246619729311,554.3200455417455
AHMEDNAGAR,2020-12-01,7460.0,6894.710284613443,553.6347773549528
AHMEDNAGAR,2021-01-01,6692.0,6894.408811348353,556.5557081555057
AHMEDNAGAR,2021-02-01,7023.0,6895.017263050326,556.8270005444332
AHMEDNAGAR,2021-03-01,6274.0,6893.277323696386,557.9129325367555
AKOLA,2020-07-01,3121.0,2806.8619721011337,660.0968997848846
AKOLA,2020-08-01,3029.0,2709.5340145770083,675.1394056659576
AKOLA,2020-09-01,2763.0,2645.3667354316303,712.2385300208182
AKOLA,2020-10-01,2737.0,2615.881690447964,716.6401831673232
AKOLA,2020-11-01,2700.0,2656.2332271831006,706.5814000366787
AKOLA,2020-12-01,2933.0,2703.043458462064,683.9329401536274
AKOLA,2021-01-01,3111.0,2722.98114595731,678.1005605652024
AKOLA,2021-02-01,2983.0,2725.573883951683,697.1230482610617
AKOLA,2021-03-01,3093.0,2654.9235927284844,705.8117535149225
AMRAVATI,2020-07-01,3459.0,3803.6322660025708,958.4852161948508
AMRAVATI,2020-08-01,3049.0,3722.2507007183676,930.6573709557989
AMRAVATI,2020-09-01,3325.0,3696.561622006565,879.7880023051174
AMRAVATI,2020-10-01,3191.0,3867.660075131789,851.1448414751086
AMRAVATI,2020-11-01,3502.0,3873.34376453227,805.88085380086
AMRAVATI,2020-12-01,4172.0,3933.640131562332,806.4116907734355
AMRAVATI,2021-01-01,4458.0,4063.602860687636,879.4021764916339
AMRAVATI,2021-02-01,4134.0,4015.9841761918187,933.6541381093176
AMRAVATI,2021-03-01,4134.0,3809.9745966372748,972.0719941936555
AURANGABAD,2020-07-01,6028.0,6481.314484868037,1131.973284310368
AURANGABAD,2020-08-01,6173.0,6478.780141755366,1146.2082803146634
AURANGABAD,2020-09-01,6644.0,6572.207486882043,1164.4178462440238
AURANGABAD,2020-10-01,6246.0,6517.167868935363,1171.5719419806187
AURANGABAD,2020-11-01,5765.0,6462.527596682854,1130.192392601565
AURANGABAD,2020-12-01,6760.0,6466.9454044761915,1123.5080790918519
AURANGABAD,2021-01-01,6615.0,6518.942446323849,1146.9181473268945
AURANGABAD,2021-02-01,7139.0,6462.056350418372,1142.3588135810514
AURANGABAD,2021-03-01,6756.0,6599.78113792991,1177.3851351906023
BEED,2020-07-01,3821.0,4066.88651539434,1059.732148987662
BEED,2020-08-01,3261.0,3603.9451707759,1066.6517508539305
BEED,2020-09-01,3819.0,3551.9978449960554,961.8603620767466
BEED,2020-10-01,3751.0,3851.0034045978664,905.4093013090472
BEED,2020-11-01,3332.0,3909.794776318381,886.0963511903955
BEED,2020-12-01,4156.0,3932.2776381077583,865.3086258056271
BEED,2021-01-01,4018.0,3970.805026127611,914.171773186186
BEED,2021-02-01,4267.0,4021.9184999823583,912.1988070314836
BEED,2021-03-01,4241.0,4172.8324230339895,941.5754208764101
BHANDARA,2020-07-01,1262,1340.70425560362,166.04089670667403
BHANDARA,2020-08-01,1185,1340.2790182977635,166.0421557578672
BHANDARA,2020-09-01,1200,1339.8085898179818,166.04111209182858
BHANDARA,2020-10-01,1233,1339.2745855948567,166.03550671551153
BHANDARA,2020-11-01,1093,1338.5962308036878,166.02083756525337
BHANDARA,2020-12-01,1395,1338.1554003659066,166.02810911799423
BHANDARA,2021-01-01,1416,1337.292735356839,166.07467624651932
BHANDARA,2021-02-01,1690,1336.2835609594986,166.07479002409193
BHANDARA,2021-03-01,1729,1335.454404331188,166.1153080362295
BULDHANA,2020-07-01,3900.0,4160.5461231807785,809.0740271207645
