district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6478.0,8000.0
AHMEDNAGAR,2020-08-01,5975.0,6548.857142857143
AHMEDNAGAR,2020-09-01,6550.0,6580.4
AHMEDNAGAR,2020-10-01,6471.0,7022.166666666667
AHMEDNAGAR,2020-11-01,6107.0,7022.166666666667
AHMEDNAGAR,2020-12-01,7460.0,7022.166666666667
AHMEDNAGAR,2021-01-01,6692.0,7022.166666666667
AHMEDNAGAR,2021-02-01,7023.0,7022.166666666667
AHMEDNAGAR,2021-03-01,6274.0,6548.857142857143
AKOLA,2020-07-01,3121.0,3007.6
AKOLA,2020-08-01,3029.0,2624.4
AKOLA,2020-09-01,2763.0,2594.0
AKOLA,2020-10-01,2737.0,2295.0
AKOLA,2020-11-01,2700.0,2594.0
AKOLA,2020-12-01,2933.0,3007.6
AKOLA,2021-01-01,3111.0,3007.6
AKOLA,2021-02-01,2983.0,3007.6
AKOLA,2021-03-01,3093.0,2594.0
AMRAVATI,2020-07-01,3459.0,3909.777777777778
AMRAVATI,2020-08-01,3049.0,3447.5
AMRAVATI,2020-09-01,3325.0,3684.75
AMRAVATI,2020-10-01,3191.0,3684.75
AMRAVATI,2020-11-01,3502.0,3966.0
AMRAVATI,2020-12-01,4172.0,3966.0
AMRAVATI,2021-01-01,4458.0,4175.571428571428
AMRAVATI,2021-02-01,4134.0,3909.777777777778
AMRAVATI,2021-03-01,4134.0,3909.777777777778
AURANGABAD,2020-07-01,6028.0,6696.875
AURANGABAD,2020-08-01,6173.0,6109.333333333333
AURANGABAD,2020-09-01,6644.0,6216.333333333333
AURANGABAD,2020-10-01,6246.0,6696.875
AURANGABAD,2020-11-01,5765.0,6109.333333333333
AURANGABAD,2020-12-01,6760.0,6109.333333333333
AURANGABAD,2021-01-01,6615.0,6696.875
AURANGABAD,2021-02-01,7139.0,6261.833333333333
AURANGABAD,2021-03-01,6756.0,7197.428571428572
BEED,2020-07-01,3821.0,3832.625
BEED,2020-08-01,3261.0,5338.0
BEED,2020-09-01,3819.0,3415.8571428571427
BEED,2020-10-01,3751.0,5338.0
BEED,2020-11-01,3332.0,4026.0
BEED,2020-12-01,4156.0,3730.3333333333335
BEED,2021-01-01,4018.0,4591.25
BEED,2021-02-01,4267.0,4075.6666666666665
BEED,2021-03-01,4241.0,4075.6666666666665
BHANDARA,2020-07-01,1262,1396.9
