district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6478.0,6796.391638788411
AHMEDNAGAR,2020-08-01,5975.0,6789.265151462779
AHMEDNAGAR,2020-09-01,6550.0,6920.830735622925
AHMEDNAGAR,2020-10-01,6471.0,7016.1490459663055
AHMEDNAGAR,2020-11-01,6107.0,7092.351245987118
AHMEDNAGAR,2020-12-01,7460.0,6983.124539082627
AHMEDNAGAR,2021-01-01,6692.0,7024.980811822585
AHMEDNAGAR,2021-02-01,7023.0,7044.606751262905
AHMEDNAGAR,2021-03-01,6274.0,6818.914252357219
AKOLA,2020-07-01,3121.0,2905.5462605611447
AKOLA,2020-08-01,3029.0,2739.697060845164
AKOLA,2020-09-01,2763.0,2596.4964419884896
AKOLA,2020-10-01,2737.0,2525.545950863
AKOLA,2020-11-01,2700.0,2604.0791572358576
AKOLA,2020-12-01,2933.0,2692.971090372422
AKOLA,2021-01-01,3111.0,2750.573973404809
AKOLA,2021-02-01,2983.0,2749.4310839087857
AKOLA,2021-03-01,3093.0,2612.6794162271513
AMRAVATI,2020-07-01,3459.0,3784.05395640208
AMRAVATI,2020-08-01,3049.0,3639.006397190423
AMRAVATI,2020-09-01,3325.0,3589.8240783987912
AMRAVATI,2020-10-01,3191.0,3878.6632314493304
AMRAVATI,2020-11-01,3502.0,3812.618114104252
AMRAVATI,2020-12-01,4172.0,3940.7281591118845
AMRAVATI,2021-01-01,4458.0,4176.105383507901
AMRAVATI,2021-02-01,4134.0,4085.012501042347
AMRAVATI,2021-03-01,4134.0,3769.052373095946
AURANGABAD,2020-07-01,6028.0,6553.013139039551
AURANGABAD,2020-08-01,6173.0,6296.80774382045
AURANGABAD,2020-09-01,6644.0,6677.77199667071
AURANGABAD,2020-10-01,6246.0,6470.623279423217
AURANGABAD,2020-11-01,5765.0,6336.994157676098
AURANGABAD,2020-12-01,6760.0,6354.031853277094
AURANGABAD,2021-01-01,6615.0,6613.252592818813
AURANGABAD,2021-02-01,7139.0,6327.225661307721
AURANGABAD,2021-03-01,6756.0,6818.322322642514
BEED,2020-07-01,3821.0,3901.6748092608277
BEED,2020-08-01,3261.0,3844.060710179452
BEED,2020-09-01,3819.0,3670.251670515754
BEED,2020-10-01,3751.0,3882.2465745114205
BEED,2020-11-01,3332.0,3907.0797781845013
BEED,2020-12-01,4156.0,3704.2410716865156
BEED,2021-01-01,4018.0,4023.5749140176167
BEED,2021-02-01,4267.0,4021.124608381033
BEED,2021-03-01,4241.0,4067.3644491210744
BHANDARA,2020-07-01,1262,1403.5119287471098
BHANDARA,2020-08-01,1185,1457.7020350076868
BHANDARA,2020-09-01,1200,1490.5688977819168
BHANDARA,2020-10-01,1233,1500.969881827479
BHANDARA,2020-11-01,1093,1485.723592825812
BHANDARA,2020-12-01,1395,1509.8229334864443
BHANDARA,2021-01-01,1416,1464.7707246829295
BHANDARA,2021-02-01,1690,1385.7834708283626
BHANDARA,2021-03-01,1729,1312.7325086057713
BULDHANA,2020-07-01,3900.0,4132.201955607849
BULDHANA,2020-08-01,3612.0,3988.863563402962
BULDHANA,2020-09-01,4073.0,4069.3784555984957
BULDHANA,2020-10-01,3614.0,4329.007362758411
BULDHANA,2020-11-01,3484.0,4165.461081964134
BULDHANA,2020-12-01,4289.0,4145.543979971301
BULDHANA,2021-01-01,4304.0,4465.937485504824
