district,rmse,r_squared,coefficients,intercept,alpha,differencing
AHMEDNAGAR,558.3413718521233,0.034946993146244165,"[0.012407903569055715, -0.028496712346683835, -0.18601994831433616]",8310.182359040697,0.1,0
AKOLA,275.78910261877803,0.1991119583259826,"[0.17831053681525452, -0.19510270978747818, -0.3399126035498309]",3684.7072812677457,0.1,0
AMRAVATI,388.98750810092247,0.24373037884320237,"[0.43806946485305376, -0.2524020676869418, -0.15199795518738257]",3717.4170921835685,0.1,0
AURANGABAD,407.8964293750127,0.21740801287078215,"[0.337080964409043, -0.0920439227244958, 0.30263303235115907]",2974.9725678550612,0.1,0
BEED,335.20440172732566,0.16689793652318785,"[0.3999470708437605, 0.03398085643353791, -0.05905051178668309]",2469.6691436662477,0.1,0
BHANDARA,276.1342666198856,0.0891667559678746,"[-0.2470508610886367, -0.23061753153420153, 0.008227676756312467]",-3.0008165024929423,0.1,1
BULDHANA,380.89656489992063,0.16520832867558088,"[0.2554449051277713, -0.21804350971607306, -0.18826732166138896]",4810.395975746871,0.1,0
CHANDRAPUR,264.10755538332484,0.27209547280028734,"[0.5846666620552171, -0.16000331676498603, -0.030113976231077276]",1604.2601899922329,0.1,0
DHULE,346.74848332502876,0.22314494392099238,"[0.4560161280666302, -0.09505709280945086, -0.03308967529691244]",2510.0466699546955,0.1,0
GADCHIROLI,404.23882383269955,0.09944563128717254,"[-0.2375802553961525, 0.001627509962270512, 0.21372093694224037]",-0.6550125024313265,0.1,1
GONDIA,159.9761931062755,0.23897762203010042,"[0.45611276393277345, 0.094039367240002, -0.18592407337213243]",1059.0623449998957,0.1,0
HINGOLI,124.21459916715469,0.05971184251892048,"[0.14438526933365656, -0.2151762936708457, 0.04711618297646204]",1992.401327367031,0.1,0
JALGAON,578.2722281954694,0.13361508761568397,"[0.36029640269084595, -0.08137704577496571, 0.1256112282904836]",4065.965049652314,0.1,0
JALNA,212.3097403861506,0.15318889059175567,"[0.41725803255009364, -0.19865189345032908, 0.030092686068534994]",2682.1072251511837,0.1,0
KOLHAPUR,442.499577945888,0.16759219031850148,"[0.4249127913930657, -0.2375120937495942, 0.05047066679369799]",3949.2504240658272,0.1,0
LATUR,321.17711571134805,0.1475729117020711,"[0.1742446658669604, -0.36120296153228826, 0.09533976533635681]",4275.097540370014,0.1,0
MUMBAI,3508.340268234714,0.16543251151707083,"[-0.09726289309356577, 0.023784519613286634, -0.43886847588607747]",-857.6842757183767,0.1,1
NAGPUR,960.8797751426467,0.14090474233850125,"[0.37628428801552527, -0.007495360451859783, -0.03806717442942397]",4719.393332258152,0.1,0
NANDED,466.63836312804494,0.2809936585124103,"[0.43338306792411685, -0.3508581682171783, -0.059021118478102076]",5454.0015485590775,0.1,0
NANDURBAR,282.88427570834796,0.313147205177592,"[0.5830908567070507, 0.036726769527003884, -0.07645818487074608]",1452.5986081259296,0.1,0
NASHIK,592.8466373539997,0.1831300911301279,"[0.4422426882550741, -0.06270730990842956, 0.05340937514363605]",6108.713144956305,0.1,0
OSMANABAD,237.26045753876483,0.11612495362340614,"[0.35430769647675747, -0.1484526636773288, 0.0680666910734342]",1782.5918453002778,0.1,0
PALGHAR,477.59035110670817,0.22181411959878827,"[0.39186732530988505, 0.22279367684074913, -0.17477220024105922]",2938.7396637355914,0.1,0
PARBHANI,339.00153779580666,0.08782714289678983,"[0.31992554179307364, -0.04640330161492649, -0.006131501287870617]",2259.18893958591,0.1,0
PUNE,1585.5177213286897,0.1272912555460487,"[0.1317064216648364, -0.12758755824856546, -0.26704792925782883]",20697.11209473865,0.1,0
RAIGAD,1228.8172016187743,0.27768737153729395,"[-0.5552295869569039, -0.3201988434856236, -0.28258866925994375]",26.62695274048845,0.1,1
RATNAGIRI,200.9291704946141,0.3111016626258808,"[0.619556347973929, -0.14131208203153106, 0.02568313840292825]",741.9728349002512,0.1,0
SANGLI,292.38771243803285,0.312361995366662,"[0.5094006715645871, -0.2156728475031124, 0.3298479729160138]",1578.8812692268511,0.1,0
SATARA,496.9058991422997,0.04746941077645894,"[0.16230675193362898, -0.16829796355256166, 0.052070665047094865]",3850.6555119244554,0.1,0
SINDHUDURG,96.46517114861274,0.029204853944381437,"[0.15096281844444664, -0.04873366901323292, 0.07665043520647266]",556.9653538632272,0.1,0
SOLAPUR,534.6560962587446,0.2874711161705428,"[0.6059465487452819, -0.37682354845402044, 0.061672707112978634]",5026.457221199478,0.1,0
THANE,1342.8793051901325,0.11158395360816686,"[0.28407026311808564, -0.06213791036236797, -0.1658522684871454]",13156.354300780744,0.1,0
WARDHA,186.1347092312245,0.21316515156983318,"[0.43001592398192745, -0.3577495020212484, -0.00545840438459387]",1472.7927645339546,0.1,0
WASHIM,166.92676844345047,0.19603955959034913,"[0.4161952727038823, -0.36624023732411815, 0.14684180069832653]",1338.5553233253186,0.1,0
YAVATMAL,206.06489550176934,0.19006865868088074,"[0.312499447994744, 0.15131585044033896, 0.06383300853761259]",1836.1322560824901,0.1,0
MUMBAI SUBURBAN,408.38946948780693,0.9533356271809641,"[0.7410935228724529, -0.24897264840007294, 0.31132374698270593]",3041.790676093644,0.1,0
