district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6478.0,6859.3588517038515
AHMEDNAGAR,2020-08-01,5975.0,6401.842214285713
AHMEDNAGAR,2020-09-01,6550.0,7060.050281746033
AHMEDNAGAR,2020-10-01,6471.0,7092.435349206349
AHMEDNAGAR,2020-11-01,6107.0,7025.136852564104
AHMEDNAGAR,2020-12-01,7460.0,6924.44134981685
AHMEDNAGAR,2021-01-01,6692.0,7070.811375402375
AHMEDNAGAR,2021-02-01,7023.0,6833.385742174494
AHMEDNAGAR,2021-03-01,6274.0,6865.725065268065
AKOLA,2020-07-01,3121.0,2829.035326645577
AKOLA,2020-08-01,3029.0,2710.720863720412
AKOLA,2020-09-01,2763.0,2645.7613358369567
AKOLA,2020-10-01,2737.0,2591.493764587752
AKOLA,2020-11-01,2700.0,2634.7686446979233
AKOLA,2020-12-01,2933.0,2744.8682493395013
AKOLA,2021-01-01,3111.0,2797.394298382563
AKOLA,2021-02-01,2983.0,2755.6941931548668
AKOLA,2021-03-01,3093.0,2708.6207088528304
AMRAVATI,2020-07-01,3459.0,3747.897962620711
AMRAVATI,2020-08-01,3049.0,3698.9247641455736
AMRAVATI,2020-09-01,3325.0,3617.50176591464
AMRAVATI,2020-10-01,3191.0,3689.2175425824175
AMRAVATI,2020-11-01,3502.0,4168.183351190475
AMRAVATI,2020-12-01,4172.0,3971.0289072039072
AMRAVATI,2021-01-01,4458.0,4324.091714285714
AMRAVATI,2021-02-01,4134.0,4075.902181818182
AMRAVATI,2021-03-01,4134.0,3880.011792658729
AURANGABAD,2020-07-01,6028.0,6691.88
AURANGABAD,2020-08-01,6173.0,6348.08
AURANGABAD,2020-09-01,6644.0,6468.975
AURANGABAD,2020-10-01,6246.0,6382.82
AURANGABAD,2020-11-01,5765.0,6320.485
AURANGABAD,2020-12-01,6760.0,6271.965
AURANGABAD,2021-01-01,6615.0,6397.325
AURANGABAD,2021-02-01,7139.0,6359.71
AURANGABAD,2021-03-01,6756.0,6944.48
BEED,2020-07-01,3821.0,3985.0034867216123
BEED,2020-08-01,3261.0,3998.5205859140865
BEED,2020-09-01,3819.0,3432.3071626984124
BEED,2020-10-01,3751.0,3591.438781163281
BEED,2020-11-01,3332.0,3784.9006986208224
BEED,2020-12-01,4156.0,3903.787817460317
BEED,2021-01-01,4018.0,3987.0149316239313
BEED,2021-02-01,4267.0,4180.5984123654125
BEED,2021-03-01,4241.0,4396.525452561328
BHANDARA,2020-07-01,1262,1395.8848828660375
BHANDARA,2020-08-01,1185,1445.1616208144926
BHANDARA,2020-09-01,1200,1509.4692070882334
BHANDARA,2020-10-01,1233,1542.7908933741696
BHANDARA,2020-11-01,1093,1622.8649343553761
BHANDARA,2020-12-01,1395,1666.5630397488862
BHANDARA,2021-01-01,1416,1643.8022667387436
BHANDARA,2021-02-01,1690,1605.033850641425
BHANDARA,2021-03-01,1729,1644.7611952114792
BULDHANA,2020-07-01,3900.0,4069.056221826784
BULDHANA,2020-08-01,3612.0,4140.951246481675
BULDHANA,2020-09-01,4073.0,4145.90437735117
BULDHANA,2020-10-01,3614.0,3957.282817266068
BULDHANA,2020-11-01,3484.0,4191.463393038334
BULDHANA,2020-12-01,4289.0,4348.1279521783035
BULDHANA,2021-01-01,4304.0,4335.298021756021
BULDHANA,2021-02-01,4508.0,4193.794838612775
BULDHANA,2021-03-01,4443.0,4251.371442019968
CHANDRAPUR,2020-07-01,2316.0,2628.757632839383
CHANDRAPUR,2020-08-01,2209.0,2406.928023809524
CHANDRAPUR,2020-09-01,2247.0,2386.607293650793
CHANDRAPUR,2020-10-01,2187.0,2336.9321547619047
CHANDRAPUR,2020-11-01,2220.0,2496.3770833333333
CHANDRAPUR,2020-12-01,2940.0,2857.921666666666
CHANDRAPUR,2021-01-01,3096.0,3119.2845
CHANDRAPUR,2021-02-01,3083.0,3101.261333333333
CHANDRAPUR,2021-03-01,3033.0,3092.4004999999997
DHULE,2020-07-01,3857.0,3772.36
DHULE,2020-08-01,3076.0,3834.71
DHULE,2020-09-01,3376.0,3498.76
DHULE,2020-10-01,3157.0,3619.93
DHULE,2020-11-01,3146.0,3879.25
DHULE,2020-12-01,3665.0,3653.27
DHULE,2021-01-01,3484.0,4133.8
DHULE,2021-02-01,3689.0,4012.04
DHULE,2021-03-01,3358.0,3909.93
GADCHIROLI,2020-07-01,1431,1811.4984865689867
GADCHIROLI,2020-08-01,1224,1735.4395612165613
GADCHIROLI,2020-09-01,1361,1693.8374745254746
GADCHIROLI,2020-10-01,1251,1616.6179195804195
GADCHIROLI,2020-11-01,1256,1709.9796457708958
GADCHIROLI,2020-12-01,1632,1840.5794542402043
GADCHIROLI,2021-01-01,1689,1884.3574066211568
GADCHIROLI,2021-02-01,2016,1778.726976995227
GADCHIROLI,2021-03-01,2045,1784.0411595349096
GONDIA,2020-07-01,1703.0,1664.345
GONDIA,2020-08-01,1383.0,1572.325
GONDIA,2020-09-01,1445.0,1620.265
GONDIA,2020-10-01,1472.0,1520.91
GONDIA,2020-11-01,1519.0,1619.01
GONDIA,2020-12-01,1528.0,1571.905
GONDIA,2021-01-01,1531.0,1699.425
GONDIA,2021-02-01,1829.0,1714.41
GONDIA,2021-03-01,2024.0,1801.895
HINGOLI,2020-07-01,1886.0,1942.556325369075
