district,rmse,best_order,stationary
AHMEDNAGAR,15.129451880331258,"(0, 0, 1)",True
AKOLA,8.658511391202373,"(0, 1, 1)",True
AMRAVATI,18.018412841652303,"(1, 0, 0)",True
AURANGABAD,14.539092990734265,"(1, 0, 0)",False
BEED,8.959205898313199,"(1, 0, 0)",True
BHANDARA,4.698548877706212,"(1, 0, 0)",True
BULDHANA,5.461616592017904,"(2, 0, 0)",False
CHANDRAPUR,13.504074454754829,"(1, 0, 0)",True
DHULE,19.530971560606442,"(1, 0, 1)",True
GADCHIROLI,10.804321776390056,"(0, 0, 2)",True
GONDIA,7.28815440417243,"(1, 0, 0)",True
HINGOLI,4.328047853435126,"(1, 0, 0)",True
JALGAON,13.283692052499486,"(1, 0, 0)",True
JALNA,5.773351506796091,"(1, 0, 0)",True
KOLHAPUR,7.4605125040099205,"(1, 0, 0)",True
LATUR,15.071106081883562,"(0, 0, 1)",True
MUMBAI,28.62212071704857,"(0, 1, 1)",False
NAGPUR,21.103559904305758,"(3, 0, 1)",True
NANDED,9.886469684667675,"(0, 1, 1)",False
NANDURBAR,11.726902571800139,"(0, 0, 1)",True
NASHIK,19.143320059216784,"(1, 0, 0)",True
OSMANABAD,6.475899381750262,"(0, 1, 1)",True
PALGHAR,9.433047765098143,"(1, 0, 0)",False
PARBHANI,7.683860013242273,"(1, 0, 0)",True
PUNE,15.381942811694922,"(0, 1, 1)",False
RAIGAD,7.574997848100553,"(1, 1, 0)",True
RATNAGIRI,5.958407539808874,"(1, 0, 0)",True
SANGLI,8.234393318148687,"(0, 0, 1)",True
SATARA,7.110935415719497,"(2, 0, 0)",True
SINDHUDURG,2.635077051388262,"(0, 0, 0)",True
SOLAPUR,26.444328728574874,"(0, 0, 0)",False
THANE,22.827098678794314,"(1, 0, 0)",False
WARDHA,3.084117899395828,"(0, 0, 3)",True
WASHIM,4.062308825563296,"(0, 0, 1)",True
YAVATMAL,6.743906191018581,"(2, 0, 0)",True
MUMBAI SUBURBAN,21.664097597657463,"(0, 0, 0)",False
