district,date,actual,forecast
AHMEDNAGAR,2020-07-01,40.0,41.505914407455855
AHMEDNAGAR,2020-08-01,55.0,41.924739809346654
AHMEDNAGAR,2020-09-01,36.0,47.29278283410309
AHMEDNAGAR,2020-10-01,82.0,38.91650260762747
AHMEDNAGAR,2020-11-01,49.0,59.71502798640929
AHMEDNAGAR,2020-12-01,36.0,38.48109583149323
AHMEDNAGAR,2021-01-01,45.0,47.31099982863124
AHMEDNAGAR,2021-02-01,28.0,46.35472994111562
AHMEDNAGAR,2021-03-01,28.0,37.04139677111339
AKOLA,2020-07-01,34.0,43.30622529522785
AKOLA,2020-08-01,45.0,41.478628437459555
AKOLA,2020-09-01,54.0,44.217118290108175
AKOLA,2020-10-01,48.0,50.03393173572567
AKOLA,2020-11-01,39.0,49.91840905360645
AKOLA,2020-12-01,33.0,45.036585120676165
AKOLA,2021-01-01,31.0,41.2478315307919
AKOLA,2021-02-01,26.0,39.65103157969127
AKOLA,2021-03-01,33.0,38.02988665321296
AMRAVATI,2020-07-01,62.0,58.30551560178102
AMRAVATI,2020-08-01,70.0,61.62565418463447
AMRAVATI,2020-09-01,98.0,69.03674905921885
AMRAVATI,2020-10-01,55.0,80.72758416670499
AMRAVATI,2020-11-01,45.0,64.65262250811972
AMRAVATI,2020-12-01,54.0,34.22569434902102
AMRAVATI,2021-01-01,41.0,54.05650139348089
AMRAVATI,2021-02-01,32.0,54.700146307893775
AMRAVATI,2021-03-01,43.0,42.30006510948975
AURANGABAD,2020-07-01,53,61.26028752194911
AURANGABAD,2020-08-01,74,64.06772163075873
AURANGABAD,2020-09-01,76,59.597262111309846
AURANGABAD,2020-10-01,56,60.376129496694524
AURANGABAD,2020-11-01,57,64.84083021618768
AURANGABAD,2020-12-01,71,64.54243945862277
AURANGABAD,2021-01-01,69,62.390169555006274
AURANGABAD,2021-02-01,40,63.64484598683118
AURANGABAD,2021-03-01,40,70.09048814573988
BEED,2020-07-01,30.0,24.107255716812098
BEED,2020-08-01,30.0,27.61447023184731
BEED,2020-09-01,33.0,29.10737053291431
BEED,2020-10-01,16.0,29.040376641204347
BEED,2020-11-01,18.0,20.454955419370204
BEED,2020-12-01,11.0,20.468603907842056
BEED,2021-01-01,19.0,19.97098207881773
BEED,2021-02-01,11.0,23.500527891089597
BEED,2021-03-01,14.0,20.885989254473973
BHANDARA,2020-07-01,19.0,18.222347032370706
BHANDARA,2020-08-01,22.0,19.004427403143588
BHANDARA,2020-09-01,28.0,20.063186693940743
BHANDARA,2020-10-01,22.0,21.843816309802136
BHANDARA,2020-11-01,25.0,20.772803362596278
BHANDARA,2020-12-01,28.0,20.881105801903324
BHANDARA,2021-01-01,19.0,22.060285184117767
BHANDARA,2021-02-01,19.0,19.930512946114753
BHANDARA,2021-03-01,21.0,19.040266140333287
BULDHANA,2020-07-01,31,26.62866442452412
BULDHANA,2020-08-01,25,24.281620437359084
BULDHANA,2020-09-01,17,28.109396745694646
BULDHANA,2020-10-01,19,31.392798622817256
BULDHANA,2020-11-01,24,32.05055118642594
BULDHANA,2020-12-01,19,31.64071291219595
BULDHANA,2021-01-01,18,34.18479573208297
BULDHANA,2021-02-01,24,34.40639192451949
BULDHANA,2021-03-01,20,33.04567894752352
CHANDRAPUR,2020-07-01,41.0,44.185697238130366
CHANDRAPUR,2020-08-01,37.0,42.918993857122345
CHANDRAPUR,2020-09-01,44.0,41.88175927450797
CHANDRAPUR,2020-10-01,67.0,43.12784093345287
CHANDRAPUR,2020-11-01,47.0,47.69265673295147
CHANDRAPUR,2020-12-01,35.0,44.42066398141538
CHANDRAPUR,2021-01-01,23.0,39.504010358245054
CHANDRAPUR,2021-02-01,19.0,38.89523902626286
CHANDRAPUR,2021-03-01,27.0,38.90909907729314
DHULE,2020-07-01,24.0,16.189170169669545
DHULE,2020-08-01,31.0,21.87236551371297
DHULE,2020-09-01,27.0,24.842306968036212
DHULE,2020-10-01,50.0,23.58426301899965
DHULE,2020-11-01,25.0,37.959962762974286
DHULE,2020-12-01,33.0,20.72684360038666
DHULE,2021-01-01,34.0,38.98590468340505
DHULE,2021-02-01,47.0,26.899365384622513
DHULE,2021-03-01,44.0,36.26781438533236
GADCHIROLI,2020-07-01,46.0,30.059264776459926
GADCHIROLI,2020-08-01,44.0,36.94043049961311
GADCHIROLI,2020-09-01,44.0,37.061570323675376
GADCHIROLI,2020-10-01,41.0,33.32535121615642
GADCHIROLI,2020-11-01,40.0,32.81581849839467
GADCHIROLI,2020-12-01,35.0,32.229856191016644
GADCHIROLI,2021-01-01,26.0,31.220037788101664
GADCHIROLI,2021-02-01,25.0,28.231718083468635
GADCHIROLI,2021-03-01,17.0,28.06131712427195
GONDIA,2020-07-01,23.0,20.22783208289266
GONDIA,2020-08-01,21.0,21.107115898710415
GONDIA,2020-09-01,28.0,21.005449088760678
GONDIA,2020-10-01,39.0,23.725465229268746
GONDIA,2020-11-01,30.0,27.396486311439126
GONDIA,2020-12-01,23.0,24.990108275777395
GONDIA,2021-01-01,17.0,23.575124433093414
GONDIA,2021-02-01,14.0,20.580537864216698
GONDIA,2021-03-01,16.0,18.829481152716813
HINGOLI,2020-07-01,12.0,9.182730919491334
HINGOLI,2020-08-01,19.0,12.828257690433967
HINGOLI,2020-09-01,14.0,15.720857014088086
HINGOLI,2020-10-01,20.0,13.34923425680776
HINGOLI,2020-11-01,12.0,16.689384937606608
HINGOLI,2020-12-01,13.0,12.422956250563965
HINGOLI,2021-01-01,8.0,13.37843431313629
HINGOLI,2021-02-01,12.0,10.60500549754727
HINGOLI,2021-03-01,16.0,12.739472380072888
JALGAON,2020-07-01,21.0,31.562602035371157
JALGAON,2020-08-01,25.0,27.575575345432505
JALGAON,2020-09-01,41.0,28.908527813897493
JALGAON,2020-10-01,37.0,36.59051892260829
JALGAON,2020-11-01,39.0,34.81471372025656
JALGAON,2020-12-01,17.0,37.027010111847765
JALGAON,2021-01-01,24.0,25.358999614816483
JALGAON,2021-02-01,16.0,29.12826069824754
JALGAON,2021-03-01,16.0,23.37205400735742
JALNA,2020-07-01,38.0,28.039073477313423
JALNA,2020-08-01,26.0,32.919123764030964
JALNA,2020-09-01,25.0,27.63598533499856
JALNA,2020-10-01,29.0,28.657203627834992
JALNA,2020-11-01,20.0,29.332382094047155
JALNA,2020-12-01,25.0,25.670857405824243
JALNA,2021-01-01,29.0,28.291350505691252
JALNA,2021-02-01,18.0,28.8917459536643
JALNA,2021-03-01,26.0,24.917223789704522
KOLHAPUR,2020-07-01,23.0,24.713820944918425
KOLHAPUR,2020-08-01,20.0,23.25618381893841
KOLHAPUR,2020-09-01,16.0,23.044538774773
KOLHAPUR,2020-10-01,14.0,20.56822052629025
KOLHAPUR,2020-11-01,15.0,19.064355386132803
KOLHAPUR,2020-12-01,20.0,18.570101706835718
KOLHAPUR,2021-01-01,40.0,20.131111597093124
KOLHAPUR,2021-02-01,29.0,28.291968683880686
KOLHAPUR,2021-03-01,21.0,25.474049975886146
LATUR,2020-07-01,16.0,30.436702822225747
LATUR,2020-08-01,58.0,14.958341018558421
LATUR,2020-09-01,35.0,43.66853367793842
LATUR,2020-10-01,38.0,16.157929084506208
LATUR,2020-11-01,14.0,30.003679262408546
LATUR,2020-12-01,17.0,15.37911926829517
LATUR,2021-01-01,10.0,25.43614090705073
LATUR,2021-02-01,25.0,18.597649036462656
LATUR,2021-03-01,12.0,28.31376532015352
MUMBAI,2020-07-01,74,58.122568567582356
MUMBAI,2020-08-01,66,53.85510299233023
MUMBAI,2020-09-01,76,54.774483476068994
MUMBAI,2020-10-01,90,44.49534119068189
MUMBAI,2020-11-01,69,28.909329266785974
MUMBAI,2020-12-01,46,36.562095892882915
MUMBAI,2021-01-01,54,50.11416140749091
MUMBAI,2021-02-01,41,39.387972208086424
MUMBAI,2021-03-01,50,36.9755997349884
NAGPUR,2020-07-01,50.0,74.44131051807393
