district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
AHMEDNAGAR,15.812603094914769,-133.2919189796356,"[0.0034438916536789622, -0.00019018449471548237, 0.0015127961650333185, 0.0014458779474560849]","[0.018740734927776857, 0.018737301824296237, 0.018733779855210044, 0.01872262942347877]",43.70092582126396,,333996.93866893125,0,500
AKOLA,11.008633558122218,-132.70733055900538,"[0.14113531980791238, 0.13091907469375633, 0.009412137938867457, 0.022382237363872556]","[0.1121157745601413, 0.11301857421922183, 0.11321586465610348, 0.11344150204228572]",33.62831511684071,,4861.023466992287,0,500
AMRAVATI,17.32471989015258,-132.0995039432567,"[0.37920177011948636, 0.26511015658752474, -0.2328292427182579, -0.07966383018091583]","[0.14356654845522648, 0.14814385806708463, 0.14884899869683849, 0.14347670174237098]",39.22902254276393,,1029.2816661235245,0,500
AURANGABAD,15.362881711105937,-139.4495686630106,"[-0.0013505983532587106, 0.0004629224497920743, -0.00011433918322510743, 0.0004635293310755232]","[0.013377767864347738, 0.013377766803545986, 0.013385962769028288, 0.01338514923617677]",0.6178573939674828,,1187069.6486405944,1,500
BEED,8.098236153321693,-132.7002768170222,"[0.3387262010446299, 0.0595252116911144, -0.1177228156329852, 0.004974596831827022]","[0.13594657896485018, 0.140652817416538, 0.14020805177938908, 0.13276960140435418]",18.704714942839935,,1947.3624813589583,0,500
BHANDARA,4.649879197672251,-112.17498866967846,"[0.10651220504964201, 0.05056035883180311, 0.01518627444029446, -0.02189615607955267]","[0.08847487145858714, 0.08863124453956302, 0.088666902246976, 0.08915512745806715]",16.004326362461036,,2952.4245895132667,0,500
BULDHANA,8.46151098942864,-118.34126492051139,"[-0.3451426174635145, 0.07426871902212909, -0.2332252855995019, -0.10714627127489135]","[0.13580478981861357, 0.14195016250009934, 0.1418946112852316, 0.13316757421635395]",0.13624255080764902,,788.5542045497542,1,500
CHANDRAPUR,14.586614858167952,-125.3983905525499,"[0.0010362513095185676, 0.0003596417179671284, -0.0003461493012493322, -0.0006831387999538587]","[0.012328292590819983, 0.012325701773783384, 0.012325358701206086, 0.01232453289946475]",42.869653666705645,,495788.12769069144,0,500
DHULE,12.637070737963374,-143.6419361713653,"[0.2619950443173953, -0.030704254611393172, 0.24584524809242492, 0.20630029938289302]","[0.13648900009133458, 0.1366657736695784, 0.13667304239045952, 0.13574967358654785]",7.052817528731822,,2990.304982887967,0,500
GADCHIROLI,9.225119635469325,-123.89313105095592,"[0.15727949863090246, 0.08692067858567977, -0.0333706900936049, -0.0731957863877799]","[0.10700702865675726, 0.10769127547166038, 0.10646351714889986, 0.10389787651706427]",26.429434886582573,,3078.7890581298066,0,500
