district,date,actual,forecast
AHMEDNAGAR,2020-07-01,40.0,42.13033283580615
AHMEDNAGAR,2020-08-01,55.0,42.52456171643364
AHMEDNAGAR,2020-09-01,36.0,45.85696398776873
AHMEDNAGAR,2020-10-01,82.0,41.930896075095966
AHMEDNAGAR,2020-11-01,49.0,52.50669112244853
AHMEDNAGAR,2020-12-01,36.0,44.41338746760282
AHMEDNAGAR,2021-01-01,45.0,44.51192701317319
AHMEDNAGAR,2021-02-01,28.0,44.372799884424545
AHMEDNAGAR,2021-03-01,28.0,40.00612738154141
AKOLA,2020-07-01,34.0,44.55544706854497
AKOLA,2020-08-01,45.0,43.16438579061344
AKOLA,2020-09-01,54.0,45.00296886815162
AKOLA,2020-10-01,48.0,48.991512610915436
AKOLA,2020-11-01,39.0,49.34827160257594
AKOLA,2020-12-01,33.0,46.28292831496613
AKOLA,2021-01-01,31.0,43.31616566807225
AKOLA,2021-02-01,26.0,41.773324512681896
AKOLA,2021-03-01,33.0,40.316542807606396
AMRAVATI,2020-07-01,62.0,58.1252227873924
AMRAVATI,2020-08-01,70.0,61.32457019046866
AMRAVATI,2020-09-01,98.0,68.03577192505956
AMRAVATI,2020-10-01,55.0,79.02939547844946
AMRAVATI,2020-11-01,45.0,64.0903926460522
AMRAVATI,2020-12-01,54.0,37.272427316434815
AMRAVATI,2021-01-01,41.0,54.51837217119815
AMRAVATI,2021-02-01,32.0,54.7366514807546
AMRAVATI,2021-03-01,43.0,43.689580318734755
AURANGABAD,2020-07-01,53,62.25062888137725
AURANGABAD,2020-08-01,74,64.4837080418206
AURANGABAD,2020-09-01,76,61.278201399261064
AURANGABAD,2020-10-01,56,61.40602153918717
AURANGABAD,2020-11-01,57,65.39348321672824
AURANGABAD,2020-12-01,71,65.69674160836412
AURANGABAD,2021-01-01,69,63.71930272777298
AURANGABAD,2021-02-01,40,64.54887587453817
AURANGABAD,2021-03-01,40,70.11528181746718
BEED,2020-07-01,30.0,24.10719841126761
BEED,2020-08-01,30.0,27.6145580708984
BEED,2020-09-01,33.0,29.107231482424456
BEED,2020-10-01,16.0,29.040363328717113
BEED,2020-11-01,18.0,20.454947883738473
BEED,2020-12-01,11.0,20.468867282054546
BEED,2021-01-01,19.0,19.970984344673074
BEED,2021-02-01,11.0,23.500633388872973
BEED,2021-03-01,14.0,20.88590345821798
BHANDARA,2020-07-01,19.0,19.179046971499805
BHANDARA,2020-08-01,22.0,19.295824126012807
BHANDARA,2020-09-01,28.0,19.41260128052581
BHANDARA,2020-10-01,22.0,19.646155589551817
BHANDARA,2020-11-01,25.0,19.41260128052581
BHANDARA,2020-12-01,28.0,19.529378435038815
BHANDARA,2021-01-01,19.0,19.646155589551817
BHANDARA,2021-02-01,19.0,19.295824126012807
BHANDARA,2021-03-01,21.0,19.295824126012807
BULDHANA,2020-07-01,31,26.427785019925565
BULDHANA,2020-08-01,25,24.572176394740552
BULDHANA,2020-09-01,17,27.648041415750917
BULDHANA,2020-10-01,19,30.542390703081956
BULDHANA,2020-11-01,24,30.918823045138005
BULDHANA,2020-12-01,19,30.373795667797168
BULDHANA,2021-01-01,18,32.55429103049931
BULDHANA,2021-02-01,24,32.91795701549634
BULDHANA,2021-03-01,20,31.685165774615253
CHANDRAPUR,2020-07-01,41.0,42.96516383536214
CHANDRAPUR,2020-08-01,37.0,42.877411120887196
CHANDRAPUR,2020-09-01,44.0,42.701905691937306
CHANDRAPUR,2020-10-01,67.0,43.00904019259961
CHANDRAPUR,2020-11-01,47.0,44.01819640906147
CHANDRAPUR,2020-12-01,35.0,43.140669264312024
CHANDRAPUR,2021-01-01,23.0,42.61415297746237
CHANDRAPUR,2021-02-01,19.0,42.087636690612705
CHANDRAPUR,2021-03-01,27.0,41.912131261662815
DHULE,2020-07-01,24.0,16.271610042935784
DHULE,2020-08-01,31.0,21.847251943107366
DHULE,2020-09-01,27.0,24.796948486547134
DHULE,2020-10-01,50.0,23.635529680562335
DHULE,2020-11-01,25.0,37.674738502413724
DHULE,2020-12-01,33.0,21.03002095383728
DHULE,2021-01-01,34.0,38.65666831450079
DHULE,2021-02-01,47.0,26.902917327906096
DHULE,2021-03-01,44.0,36.088387950485846
GADCHIROLI,2020-07-01,46.0,30.76016337708149
GADCHIROLI,2020-08-01,44.0,34.119893566514094
GADCHIROLI,2020-09-01,44.0,33.60946635481278
GADCHIROLI,2020-10-01,41.0,33.05411473266716
GADCHIROLI,2020-11-01,40.0,32.5815761601365
GADCHIROLI,2020-12-01,35.0,32.4034947240283
GADCHIROLI,2021-01-01,26.0,31.605646147178206
GADCHIROLI,2021-02-01,25.0,30.03376609010133
GADCHIROLI,2021-03-01,17.0,30.00994899347802
GONDIA,2020-07-01,23.0,21.286670207116302
GONDIA,2020-08-01,21.0,21.615188528943175
GONDIA,2020-09-01,28.0,21.396176314391926
GONDIA,2020-10-01,39.0,22.162719065321294
GONDIA,2020-11-01,30.0,23.36728624535316
GONDIA,2020-12-01,23.0,22.381731279872543
GONDIA,2021-01-01,17.0,21.615188528943175
GONDIA,2021-02-01,14.0,20.958151885289432
GONDIA,2021-03-01,16.0,20.62963356346256
HINGOLI,2020-07-01,12.0,9.781830122972718
HINGOLI,2020-08-01,19.0,12.72125308160608
HINGOLI,2020-09-01,14.0,15.66067604023944
HINGOLI,2020-10-01,20.0,13.561088212644183
HINGOLI,2020-11-01,12.0,16.08059360575849
HINGOLI,2020-12-01,13.0,12.72125308160608
HINGOLI,2021-01-01,8.0,13.14117064712513
HINGOLI,2021-02-01,12.0,11.041582819529872
HINGOLI,2021-03-01,16.0,12.72125308160608
JALGAON,2020-07-01,21.0,31.71923530279483
JALGAON,2020-08-01,25.0,27.941032093817128
JALGAON,2020-09-01,41.0,29.368205103521376
JALGAON,2020-10-01,37.0,36.719309923794725
JALGAON,2020-11-01,39.0,34.984184517567414
JALGAON,2020-12-01,17.0,36.77560441025027
JALGAON,2021-01-01,24.0,25.897954291066746
JALGAON,2021-02-01,16.0,29.39635234674915
JALGAON,2021-03-01,16.0,24.38633955167918
JALNA,2020-07-01,38.0,28.944884502135775
JALNA,2020-08-01,26.0,31.491539833284946
JALNA,2020-09-01,25.0,28.713370381122214
