district,date,actual,forecast
AHMEDNAGAR,2020-07-01,40.0,37.82
AHMEDNAGAR,2020-08-01,55.0,41.525
AHMEDNAGAR,2020-09-01,36.0,45.59
AHMEDNAGAR,2020-10-01,82.0,34.175
AHMEDNAGAR,2020-11-01,49.0,48.035
AHMEDNAGAR,2020-12-01,36.0,43.49
AHMEDNAGAR,2021-01-01,45.0,42.55
AHMEDNAGAR,2021-02-01,28.0,40.57
AHMEDNAGAR,2021-03-01,28.0,41.43
AKOLA,2020-07-01,34.0,45.245
AKOLA,2020-08-01,45.0,46.4
AKOLA,2020-09-01,54.0,46.345
AKOLA,2020-10-01,48.0,47.56
AKOLA,2020-11-01,39.0,48.335
AKOLA,2020-12-01,33.0,48.775
AKOLA,2021-01-01,31.0,46.34
AKOLA,2021-02-01,26.0,43.425
AKOLA,2021-03-01,33.0,42.205
AMRAVATI,2020-07-01,62.0,53.81
AMRAVATI,2020-08-01,70.0,62.065
AMRAVATI,2020-09-01,98.0,67.755
AMRAVATI,2020-10-01,55.0,65.5
AMRAVATI,2020-11-01,45.0,67.38
AMRAVATI,2020-12-01,54.0,49.21
AMRAVATI,2021-01-01,41.0,50.74
AMRAVATI,2021-02-01,32.0,53.315
AMRAVATI,2021-03-01,43.0,57.005
AURANGABAD,2020-07-01,53,66.765
AURANGABAD,2020-08-01,74,74.63
AURANGABAD,2020-09-01,76,70.435
AURANGABAD,2020-10-01,56,74.91
AURANGABAD,2020-11-01,57,84.375
AURANGABAD,2020-12-01,71,84.69
AURANGABAD,2021-01-01,69,80.795
AURANGABAD,2021-02-01,40,77.39
AURANGABAD,2021-03-01,40,88.32
BEED,2020-07-01,30.0,24.0
BEED,2020-08-01,30.0,26.365
BEED,2020-09-01,33.0,25.965
BEED,2020-10-01,16.0,27.44
BEED,2020-11-01,18.0,23.89
BEED,2020-12-01,11.0,24.145
BEED,2021-01-01,19.0,28.505
BEED,2021-02-01,11.0,31.815
BEED,2021-03-01,14.0,36.435
BHANDARA,2020-07-01,19.0,17.655
BHANDARA,2020-08-01,22.0,21.295
BHANDARA,2020-09-01,28.0,21.325
BHANDARA,2020-10-01,22.0,25.435
BHANDARA,2020-11-01,25.0,17.835
BHANDARA,2020-12-01,28.0,22.875
BHANDARA,2021-01-01,19.0,23.505
BHANDARA,2021-02-01,19.0,15.59
BHANDARA,2021-03-01,21.0,15.215
BULDHANA,2020-07-01,31,26.69
BULDHANA,2020-08-01,25,18.79
BULDHANA,2020-09-01,17,27.905
BULDHANA,2020-10-01,19,28.81
BULDHANA,2020-11-01,24,26.13
BULDHANA,2020-12-01,19,23.25
BULDHANA,2021-01-01,18,27.38
BULDHANA,2021-02-01,24,24.445
BULDHANA,2021-03-01,20,18.759999999999998
CHANDRAPUR,2020-07-01,41.0,42.885
CHANDRAPUR,2020-08-01,37.0,39.55
CHANDRAPUR,2020-09-01,44.0,43.515
CHANDRAPUR,2020-10-01,67.0,43.77
CHANDRAPUR,2020-11-01,47.0,44.435
CHANDRAPUR,2020-12-01,35.0,51.915
CHANDRAPUR,2021-01-01,23.0,38.57
CHANDRAPUR,2021-02-01,19.0,46.6
CHANDRAPUR,2021-03-01,27.0,52.01
DHULE,2020-07-01,24.0,19.64
DHULE,2020-08-01,31.0,28.385
DHULE,2020-09-01,27.0,31.885
DHULE,2020-10-01,50.0,34.11
DHULE,2020-11-01,25.0,40.685
DHULE,2020-12-01,33.0,36.195
DHULE,2021-01-01,34.0,41.765
DHULE,2021-02-01,47.0,44.825
DHULE,2021-03-01,44.0,39.2
GADCHIROLI,2020-07-01,46.0,32.7
GADCHIROLI,2020-08-01,44.0,36.65
GADCHIROLI,2020-09-01,44.0,35.98
GADCHIROLI,2020-10-01,41.0,28.78
GADCHIROLI,2020-11-01,40.0,29.3
GADCHIROLI,2020-12-01,35.0,30.255
GADCHIROLI,2021-01-01,26.0,30.9
GADCHIROLI,2021-02-01,25.0,28.705
GADCHIROLI,2021-03-01,17.0,29.455
GONDIA,2020-07-01,23.0,21.94
GONDIA,2020-08-01,21.0,22.885
GONDIA,2020-09-01,28.0,26.78
GONDIA,2020-10-01,39.0,24.89
GONDIA,2020-11-01,30.0,23.995
GONDIA,2020-12-01,23.0,23.995
GONDIA,2021-01-01,17.0,25.8
GONDIA,2021-02-01,14.0,19.105
GONDIA,2021-03-01,16.0,16.825
HINGOLI,2020-07-01,12.0,7.68
HINGOLI,2020-08-01,19.0,10.25
HINGOLI,2020-09-01,14.0,14.815
HINGOLI,2020-10-01,20.0,12.38
HINGOLI,2020-11-01,12.0,17.265
HINGOLI,2020-12-01,13.0,9.7
HINGOLI,2021-01-01,8.0,12.76
HINGOLI,2021-02-01,12.0,8.67
HINGOLI,2021-03-01,16.0,12.84
JALGAON,2020-07-01,21.0,40.06
JALGAON,2020-08-01,25.0,33.21
JALGAON,2020-09-01,41.0,30.745
JALGAON,2020-10-01,37.0,33.69
JALGAON,2020-11-01,39.0,38.095
JALGAON,2020-12-01,17.0,48.69
JALGAON,2021-01-01,24.0,33.81
JALGAON,2021-02-01,16.0,31.325
JALGAON,2021-03-01,16.0,25.03
JALNA,2020-07-01,38.0,26.53
JALNA,2020-08-01,26.0,34.175
JALNA,2020-09-01,25.0,26.66
JALNA,2020-10-01,29.0,28.805
JALNA,2020-11-01,20.0,27.04
JALNA,2020-12-01,25.0,24.055
JALNA,2021-01-01,29.0,28.65
JALNA,2021-02-01,18.0,27.26
JALNA,2021-03-01,26.0,26.025
KOLHAPUR,2020-07-01,23.0,21.34
KOLHAPUR,2020-08-01,20.0,21.46
KOLHAPUR,2020-09-01,16.0,30.375
KOLHAPUR,2020-10-01,14.0,27.32
KOLHAPUR,2020-11-01,15.0,26.02
KOLHAPUR,2020-12-01,20.0,20.715
KOLHAPUR,2021-01-01,40.0,15.525
KOLHAPUR,2021-02-01,29.0,29.535
KOLHAPUR,2021-03-01,21.0,31.82
LATUR,2020-07-01,16.0,21.74
LATUR,2020-08-01,58.0,26.845
LATUR,2020-09-01,35.0,29.425
LATUR,2020-10-01,38.0,25.34
LATUR,2020-11-01,14.0,25.345
LATUR,2020-12-01,17.0,24.64
LATUR,2021-01-01,10.0,32.675
LATUR,2021-02-01,25.0,23.435
LATUR,2021-03-01,12.0,25.655
MUMBAI,2020-07-01,74,77.245
MUMBAI,2020-08-01,66,90.99
MUMBAI,2020-09-01,76,74.37
MUMBAI,2020-10-01,90,69.475
MUMBAI,2020-11-01,69,67.63
