district,rmse,r_squared,best_params,differencing
AHMEDNAGAR,18.33896017546961,0.08348293299620746,"{'n_neighbors': 7, 'weights': 'uniform'}",0
AKOLA,10.775273201085534,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
AMRAVATI,15.780883409338603,0.35603253079318586,"{'n_neighbors': 7, 'weights': 'uniform'}",0
AURANGABAD,15.076121437085,-0.05920965663618838,"{'n_neighbors': 9, 'weights': 'uniform'}",1
BEED,10.059766528419534,0.2485212005713595,"{'n_neighbors': 9, 'weights': 'uniform'}",0
BHANDARA,4.09025167076046,0.15028813206291114,"{'n_neighbors': 7, 'weights': 'uniform'}",0
BULDHANA,5.982122192206341,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
CHANDRAPUR,13.386673142818102,0.05369839557541822,"{'n_neighbors': 9, 'weights': 'uniform'}",0
DHULE,15.802418622887933,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
GADCHIROLI,10.476019629540252,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
GONDIA,6.902062200651304,1.0,"{'n_neighbors': 5, 'weights': 'distance'}",0
HINGOLI,3.8720977892400374,0.14954374664519587,"{'n_neighbors': 9, 'weights': 'uniform'}",0
JALGAON,15.502466727033182,0.14249257670525195,"{'n_neighbors': 9, 'weights': 'uniform'}",0
JALNA,5.5771186468057765,0.24738326424772417,"{'n_neighbors': 9, 'weights': 'uniform'}",0
KOLHAPUR,11.80404995904542,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",0
LATUR,15.129313645078955,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",0
MUMBAI,15.560940111151934,0.22787380769539645,"{'n_neighbors': 7, 'weights': 'uniform'}",1
NAGPUR,20.138103432958708,0.5448528798866383,"{'n_neighbors': 3, 'weights': 'uniform'}",0
NANDED,9.95364079888758,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",1
NANDURBAR,9.399892338436285,1.0,"{'n_neighbors': 5, 'weights': 'distance'}",0
NASHIK,16.13850201120082,0.3134401211645046,"{'n_neighbors': 7, 'weights': 'uniform'}",0
OSMANABAD,6.793848585361838,0.1818845213548057,"{'n_neighbors': 9, 'weights': 'uniform'}",0
PALGHAR,10.411031397510293,0.07433197359272992,"{'n_neighbors': 9, 'weights': 'uniform'}",1
PARBHANI,8.173277747379107,0.6374323761964211,"{'n_neighbors': 3, 'weights': 'uniform'}",0
PUNE,66.57874668769988,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",1
RAIGAD,7.735245258192502,0.3564929452722678,"{'n_neighbors': 9, 'weights': 'uniform'}",0
RATNAGIRI,6.170942418587099,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
SANGLI,9.115005135497727,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",0
SATARA,6.746293178874513,0.23373621055140126,"{'n_neighbors': 7, 'weights': 'uniform'}",0
SINDHUDURG,2.535617337298184,0.056144209151916646,"{'n_neighbors': 9, 'weights': 'uniform'}",0
SOLAPUR,28.2531478389894,0.3823103762737401,"{'n_neighbors': 7, 'weights': 'uniform'}",1
THANE,13.508374827350274,0.09195170915013606,"{'n_neighbors': 7, 'weights': 'uniform'}",1
WARDHA,3.454774983573055,0.9892217467110477,"{'n_neighbors': 9, 'weights': 'distance'}",0
WASHIM,4.38243782806698,0.13617852134301534,"{'n_neighbors': 9, 'weights': 'uniform'}",0
YAVATMAL,7.788279496719098,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",0
