district,date,actual,forecast
AHMEDNAGAR,2020-07-01,40.0,41.354264449730884
AHMEDNAGAR,2020-08-01,55.0,41.52533430340864
AHMEDNAGAR,2020-09-01,36.0,45.37434243827627
AHMEDNAGAR,2020-10-01,82.0,41.18693658458763
AHMEDNAGAR,2020-11-01,49.0,53.10613364725391
AHMEDNAGAR,2020-12-01,36.0,44.56863741643788
AHMEDNAGAR,2021-01-01,45.0,44.48197579813647
AHMEDNAGAR,2021-02-01,28.0,45.87994800637381
AHMEDNAGAR,2021-03-01,28.0,39.44412995550307
AKOLA,2020-07-01,34.0,44.46224417376032
AKOLA,2020-08-01,45.0,43.087578945449316
AKOLA,2020-09-01,54.0,44.82382547453876
AKOLA,2020-10-01,48.0,48.76079138731795
AKOLA,2020-11-01,39.0,49.19096705731096
AKOLA,2020-12-01,33.0,46.189150005300895
AKOLA,2021-01-01,31.0,43.25278977652506
AKOLA,2021-02-01,26.0,41.712913717138306
AKOLA,2021-03-01,33.0,40.29461060667116
AMRAVATI,2020-07-01,62.0,57.256889108142595
AMRAVATI,2020-08-01,70.0,60.534852518183854
AMRAVATI,2020-09-01,98.0,65.74533563085149
AMRAVATI,2020-10-01,55.0,74.27157705504251
AMRAVATI,2020-11-01,45.0,65.36440659705247
AMRAVATI,2020-12-01,54.0,45.72995214414779
AMRAVATI,2021-01-01,41.0,52.66112212623834
AMRAVATI,2021-02-01,32.0,48.5474477488697
AMRAVATI,2021-03-01,43.0,46.64170114523206
AURANGABAD,2020-07-01,53,62.15265021287555
AURANGABAD,2020-08-01,74,66.10872285834394
AURANGABAD,2020-09-01,76,63.15135133268208
AURANGABAD,2020-10-01,56,63.79925147575637
AURANGABAD,2020-11-01,57,67.7141771699156
AURANGABAD,2020-12-01,71,69.07039961861003
AURANGABAD,2021-01-01,69,67.39541247309486
AURANGABAD,2021-02-01,40,67.73126827150409
AURANGABAD,2021-03-01,40,73.66310242441632
BEED,2020-07-01,30.0,24.84986255582161
BEED,2020-08-01,30.0,28.69686914214889
BEED,2020-09-01,33.0,28.87298652126597
BEED,2020-10-01,16.0,29.04254164158793
BEED,2020-11-01,18.0,21.552973486443406
BEED,2020-12-01,11.0,22.404195683823897
BEED,2021-01-01,19.0,22.007821837692305
BEED,2021-02-01,11.0,25.21844179856105
BEED,2021-03-01,14.0,22.0385995377814
BHANDARA,2020-07-01,19.0,19.093088066367994
BHANDARA,2020-08-01,22.0,19.35048247351682
BHANDARA,2020-09-01,28.0,18.95954062495436
BHANDARA,2020-10-01,22.0,19.042105268777817
BHANDARA,2020-11-01,25.0,18.95954062495436
BHANDARA,2020-12-01,28.0,18.784710861628994
BHANDARA,2021-01-01,19.0,18.609881098303628
BHANDARA,2021-02-01,19.0,18.053809962094252
BHANDARA,2021-03-01,21.0,18.48603413256844
BULDHANA,2020-07-01,31,25.80024228899013
BULDHANA,2020-08-01,25,23.371813897429906
BULDHANA,2020-09-01,17,26.005784484511036
BULDHANA,2020-10-01,19,28.11051089724163
BULDHANA,2020-11-01,24,28.174397615921958
BULDHANA,2020-12-01,19,27.39878100501494
BULDHANA,2021-01-01,18,28.94806836487352
BULDHANA,2021-02-01,24,28.57316916792221
BULDHANA,2021-03-01,20,26.996933606507973
CHANDRAPUR,2020-07-01,41.0,42.92279887782289
CHANDRAPUR,2020-08-01,37.0,42.789352135750654
CHANDRAPUR,2020-09-01,44.0,42.516461278793216
CHANDRAPUR,2020-10-01,67.0,42.98699703925356
CHANDRAPUR,2020-11-01,47.0,44.536785830717044
CHANDRAPUR,2020-12-01,35.0,43.1909549667701
CHANDRAPUR,2021-01-01,23.0,42.38048932711552
CHANDRAPUR,2021-02-01,19.0,41.564973268250036
CHANDRAPUR,2021-03-01,27.0,41.30186759851374
DHULE,2020-07-01,24.0,16.395833140815164
DHULE,2020-08-01,31.0,20.225331018530582
DHULE,2020-09-01,27.0,24.63004400526707
DHULE,2020-10-01,50.0,23.858628573540294
DHULE,2020-11-01,25.0,34.12651843511995
DHULE,2020-12-01,33.0,25.76284270468388
DHULE,2021-01-01,34.0,33.757819656008394
DHULE,2021-02-01,47.0,32.48991943040281
DHULE,2021-03-01,44.0,31.57032799750334
GADCHIROLI,2020-07-01,46.0,30.089810515320632
GADCHIROLI,2020-08-01,44.0,34.50478677813906
GADCHIROLI,2020-09-01,44.0,34.38246527069994
GADCHIROLI,2020-10-01,41.0,34.179802810792374
GADCHIROLI,2020-11-01,40.0,32.7906203761411
GADCHIROLI,2020-12-01,35.0,32.58829842345608
GADCHIROLI,2021-01-01,26.0,31.355779770177243
GADCHIROLI,2021-02-01,25.0,29.21376419622932
GADCHIROLI,2021-03-01,17.0,28.913535875574787
GONDIA,2020-07-01,23.0,22.890782396209257
GONDIA,2020-08-01,21.0,22.84480497955527
GONDIA,2020-09-01,28.0,22.97329779083112
GONDIA,2020-10-01,39.0,25.11764520318657
GONDIA,2020-11-01,30.0,26.222484821408106
GONDIA,2020-12-01,23.0,23.593531127309728
GONDIA,2021-01-01,17.0,22.67199128731585
GONDIA,2021-02-01,14.0,19.471215583083413
GONDIA,2021-03-01,16.0,16.076005355099223
HINGOLI,2020-07-01,12.0,11.817870048265895
HINGOLI,2020-08-01,19.0,13.093030762350542
HINGOLI,2020-09-01,14.0,14.36819147643519
HINGOLI,2020-10-01,20.0,13.457362394946156
HINGOLI,2020-11-01,12.0,14.550357292732997
HINGOLI,2020-12-01,13.0,13.093030762350542
HINGOLI,2021-01-01,8.0,13.27519657864835
HINGOLI,2021-02-01,12.0,12.364367497159316
HINGOLI,2021-03-01,16.0,13.093030762350542
JALGAON,2020-07-01,21.0,31.120296199748047
JALGAON,2020-08-01,25.0,27.633019955786942
JALGAON,2020-09-01,41.0,28.925272702046968
JALGAON,2020-10-01,37.0,35.54542152863674
JALGAON,2020-11-01,39.0,34.32112398516981
JALGAON,2020-12-01,17.0,36.03396761975892
JALGAON,2021-01-01,24.0,26.04343080488873
JALGAON,2021-02-01,16.0,28.955827302454523
JALGAON,2021-03-01,16.0,24.464172332621366
JALNA,2020-07-01,38.0,27.822396586778872
JALNA,2020-08-01,26.0,31.43267483602796
JALNA,2020-09-01,25.0,27.839333442147783
JALNA,2020-10-01,29.0,28.217849693545936
JALNA,2020-11-01,20.0,28.63220813344263
JALNA,2020-12-01,25.0,26.01253112887192
JALNA,2021-01-01,29.0,27.675480599502066
JALNA,2021-02-01,18.0,28.270628737413382
JALNA,2021-03-01,26.0,25.44377251289433
KOLHAPUR,2020-07-01,23.0,22.663513393683683
KOLHAPUR,2020-08-01,20.0,22.300176422179074
KOLHAPUR,2020-09-01,16.0,23.19888835498047
KOLHAPUR,2020-10-01,14.0,21.145898320133476
KOLHAPUR,2020-11-01,15.0,19.37258282595781
KOLHAPUR,2020-12-01,20.0,19.373386698768844
KOLHAPUR,2021-01-01,40.0,20.967783993773892
KOLHAPUR,2021-02-01,29.0,28.1147193185744
KOLHAPUR,2021-03-01,21.0,26.005330691270977
LATUR,2020-07-01,16.0,24.16949152542373
LATUR,2020-08-01,58.0,22.342372881355935
LATUR,2020-09-01,35.0,25.99661016949153
LATUR,2020-10-01,38.0,23.995480225988704
LATUR,2020-11-01,14.0,24.256497175141245
LATUR,2020-12-01,17.0,22.168361581920905
LATUR,2021-01-01,10.0,22.429378531073446
LATUR,2021-02-01,25.0,21.82033898305085
LATUR,2021-03-01,12.0,23.125423728813562
MUMBAI,2020-07-01,74,59.3441055227403
MUMBAI,2020-08-01,66,70.16644967118016
MUMBAI,2020-09-01,76,66.28011621179515
MUMBAI,2020-10-01,90,56.03173781391736
MUMBAI,2020-11-01,69,43.22893883452885
MUMBAI,2020-12-01,46,48.823207154272325
MUMBAI,2021-01-01,54,56.119933253274354
MUMBAI,2021-02-01,41,47.17525249222085
MUMBAI,2021-03-01,50,51.86119825266813
NAGPUR,2020-07-01,50.0,70.14553068992599
NAGPUR,2020-08-01,52.0,60.766856171854684
NAGPUR,2020-09-01,35.0,55.213097572718056
NAGPUR,2020-10-01,76.0,43.410036361917044
NAGPUR,2020-11-01,33.0,43.68479990119942
NAGPUR,2020-12-01,49.0,64.49313686850863
NAGPUR,2021-01-01,48.0,43.84282409876734
NAGPUR,2021-02-01,50.0,48.53284033627607
NAGPUR,2021-03-01,32.0,46.82873650638647
NANDED,2020-07-01,26,23.370432799702677
NANDED,2020-08-01,32,25.42368514955404
NANDED,2020-09-01,50,21.075573646838784
NANDED,2020-10-01,21,13.283068622137545
NANDED,2020-11-01,33,20.72181285842701
NANDED,2020-12-01,22,14.927868781356334
NANDED,2021-01-01,25,10.434058846479287
NANDED,2021-02-01,18,14.156154539857354
NANDED,2021-03-01,21,14.863478102669857
NANDURBAR,2020-07-01,42.0,39.443482295316755
NANDURBAR,2020-08-01,48.0,37.20222508215021
NANDURBAR,2020-09-01,52.0,45.4458036162741
NANDURBAR,2020-10-01,44.0,45.26150140671436
NANDURBAR,2020-11-01,56.0,45.19703722360953
NANDURBAR,2020-12-01,37.0,42.726423313197344
NANDURBAR,2021-01-01,30.0,38.718364982111595
NANDURBAR,2021-02-01,19.0,33.24518287614209
NANDURBAR,2021-03-01,26.0,31.957432240930316
NASHIK,2020-07-01,68.0,91.10312250726506
