district,date,actual,forecast
AHMEDNAGAR,2020-07-01,40.0,40.6190293494957
AHMEDNAGAR,2020-08-01,55.0,40.570685991100035
AHMEDNAGAR,2020-09-01,36.0,45.943041449016675
AHMEDNAGAR,2020-10-01,82.0,38.36098384888085
AHMEDNAGAR,2020-11-01,49.0,58.79029798108051
AHMEDNAGAR,2020-12-01,36.0,39.99916914008249
AHMEDNAGAR,2021-01-01,45.0,47.21411984661076
AHMEDNAGAR,2021-02-01,28.0,47.912896949823654
AHMEDNAGAR,2021-03-01,28.0,38.37872210063003
AKOLA,2020-07-01,34.0,44.77628965081867
AKOLA,2020-08-01,45.0,42.890696215423446
AKOLA,2020-09-01,54.0,44.56797219774208
AKOLA,2020-10-01,48.0,49.97530351898732
AKOLA,2020-11-01,39.0,50.2745317368187
AKOLA,2020-12-01,33.0,46.61239516731767
AKOLA,2021-01-01,31.0,42.29046469799097
AKOLA,2021-02-01,26.0,39.52636689860984
AKOLA,2021-03-01,33.0,38.09185944799053
AMRAVATI,2020-07-01,62.0,57.37722704815875
AMRAVATI,2020-08-01,70.0,60.82638087544229
AMRAVATI,2020-09-01,98.0,67.25913605641148
AMRAVATI,2020-10-01,55.0,76.4912051764556
AMRAVATI,2020-11-01,45.0,66.15226866499368
AMRAVATI,2020-12-01,54.0,41.09340967581837
AMRAVATI,2021-01-01,41.0,53.84734079403057
AMRAVATI,2021-02-01,32.0,47.85315896629464
AMRAVATI,2021-03-01,43.0,44.206353761866794
AURANGABAD,2020-07-01,53,61.892088395136575
AURANGABAD,2020-08-01,74,68.64851024233921
AURANGABAD,2020-09-01,76,63.95536511416884
AURANGABAD,2020-10-01,56,65.34370129929422
AURANGABAD,2020-11-01,57,69.69694115898562
AURANGABAD,2020-12-01,71,71.87699764988004
AURANGABAD,2021-01-01,69,69.05975733585208
AURANGABAD,2021-02-01,40,68.82700876105403
AURANGABAD,2021-03-01,40,76.52455335049436
BEED,2020-07-01,30.0,24.87461170394925
BEED,2020-08-01,30.0,30.027655287124716
BEED,2020-09-01,33.0,29.681831524544926
BEED,2020-10-01,16.0,29.41665373917746
BEED,2020-11-01,18.0,19.908678111018403
BEED,2020-12-01,11.0,21.28677686850517
BEED,2021-01-01,19.0,22.22130620929871
BEED,2021-02-01,11.0,25.87469643514856
BEED,2021-03-01,14.0,21.363195090421172
BHANDARA,2020-07-01,19.0,19.54081577557459
BHANDARA,2020-08-01,22.0,20.94576544279049
BHANDARA,2020-09-01,28.0,20.133815774755497
BHANDARA,2020-10-01,22.0,21.844486982387284
BHANDARA,2020-11-01,25.0,21.6674481378736
BHANDARA,2020-12-01,28.0,20.781275117773756
BHANDARA,2021-01-01,19.0,20.494232299987676
BHANDARA,2021-02-01,19.0,17.62662124419114
BHANDARA,2021-03-01,21.0,18.295811741409157
BULDHANA,2020-07-01,31,27.48335606569056
BULDHANA,2020-08-01,25,23.64249715070596
BULDHANA,2020-09-01,17,27.61259176134073
BULDHANA,2020-10-01,19,30.60720685714299
BULDHANA,2020-11-01,24,30.149926836405108
BULDHANA,2020-12-01,19,31.76555781860709
BULDHANA,2021-01-01,18,35.69580794416815
BULDHANA,2021-02-01,24,34.146118840028144
BULDHANA,2021-03-01,20,31.59629835584876
CHANDRAPUR,2020-07-01,41.0,44.68684973654837
CHANDRAPUR,2020-08-01,37.0,43.80392082564762
CHANDRAPUR,2020-09-01,44.0,41.30035740282724
CHANDRAPUR,2020-10-01,67.0,42.818038752465284
CHANDRAPUR,2020-11-01,47.0,48.05290761099206
CHANDRAPUR,2020-12-01,35.0,45.283073553391176
CHANDRAPUR,2021-01-01,23.0,39.520731153663796
CHANDRAPUR,2021-02-01,19.0,35.94991759130345
CHANDRAPUR,2021-03-01,27.0,39.033735439010485
DHULE,2020-07-01,24.0,16.430183596216047
DHULE,2020-08-01,31.0,20.86527829108813
DHULE,2020-09-01,27.0,25.662327588588493
DHULE,2020-10-01,50.0,23.801441696752587
DHULE,2020-11-01,25.0,36.426675569876636
DHULE,2020-12-01,33.0,24.27371509729807
DHULE,2021-01-01,34.0,35.40277712648537
DHULE,2021-02-01,47.0,32.970980803813106
DHULE,2021-03-01,44.0,31.511852397957195
GADCHIROLI,2020-07-01,46.0,29.299702115842877
GADCHIROLI,2020-08-01,44.0,36.535925128800876
GADCHIROLI,2020-09-01,44.0,38.809775839614275
GADCHIROLI,2020-10-01,41.0,35.404070597507484
GADCHIROLI,2020-11-01,40.0,32.32620826796614
GADCHIROLI,2020-12-01,35.0,32.97925063350942
GADCHIROLI,2021-01-01,26.0,31.32406706086188
GADCHIROLI,2021-02-01,25.0,28.02086374949355
GADCHIROLI,2021-03-01,17.0,26.826864094868746
GONDIA,2020-07-01,23.0,22.486512281581923
GONDIA,2020-08-01,21.0,22.489858540234074
GONDIA,2020-09-01,28.0,23.706531091996553
GONDIA,2020-10-01,39.0,26.813725148874905
GONDIA,2020-11-01,30.0,28.180864347414097
GONDIA,2020-12-01,23.0,26.31785634051645
GONDIA,2021-01-01,17.0,25.733597955906156
GONDIA,2021-02-01,14.0,19.6271117025658
GONDIA,2021-03-01,16.0,12.939038533377394
HINGOLI,2020-07-01,12.0,8.769651530602957
HINGOLI,2020-08-01,19.0,11.799272968484772
HINGOLI,2020-09-01,14.0,15.229295828703217
HINGOLI,2020-10-01,20.0,15.503863901854137
HINGOLI,2020-11-01,12.0,15.595558449573858
HINGOLI,2020-12-01,13.0,10.883406374050281
HINGOLI,2021-01-01,8.0,14.45242159685584
HINGOLI,2021-02-01,12.0,8.93505184889569
HINGOLI,2021-03-01,16.0,14.120199932520693
