district,date,actual,forecast,model_params
AHMEDNAGAR,2020-06-01,39,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2020-07-01,40,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2020-08-01,55,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2020-09-01,36,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2020-10-01,82,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2020-11-01,49,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2020-12-01,36,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2021-01-01,45,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2021-02-01,28,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AHMEDNAGAR,2021-03-01,28,40.15876678047597,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F4D9010>
AKOLA,2020-06-01,37,38.21577747799181,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2020-07-01,34,37.537641843770366,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2020-08-01,45,36.859506209548925,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2020-09-01,54,36.181370575327485,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2020-10-01,48,35.503234941106044,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2020-11-01,39,34.8250993068846,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2020-12-01,33,34.14696367266316,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2021-01-01,31,33.46882803844172,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2021-02-01,26,32.79069240422028,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AKOLA,2021-03-01,33,32.11255676999884,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F8B5490>
AMRAVATI,2020-06-01,51,56.48179794025258,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2020-07-01,62,59.252106980710955,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2020-08-01,70,60.628883736438404,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2020-09-01,98,61.30777938085469,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2020-10-01,55,61.64129568910312,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2020-11-01,45,61.804843234655365,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2020-12-01,54,61.88497186435604,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2021-01-01,41,61.9242132436078,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2021-02-01,32,61.943426868954845,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AMRAVATI,2021-03-01,43,61.95283340256721,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9E4B50>
AURANGABAD,2020-06-01,63,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2020-07-01,53,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2020-08-01,74,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2020-09-01,76,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2020-10-01,56,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2020-11-01,57,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2020-12-01,71,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2021-01-01,69,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2021-02-01,40,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
AURANGABAD,2021-03-01,40,53.6691279717586,<tbats.tbats.ModelParams.ModelParams object at 0x000001656F9EFE50>
BEED,2020-06-01,21,29.107060868065492,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2020-07-01,30,29.06804370068919,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2020-08-01,30,29.03443822100906,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2020-09-01,33,29.0054915425988,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2020-10-01,16,28.980556107736877,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2020-11-01,18,28.95907480240137,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2020-12-01,11,28.940568212779553,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2021-01-01,19,28.924623705649402,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2021-02-01,11,28.91088606445866,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BEED,2021-03-01,14,28.89904945412887,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FAA1990>
BHANDARA,2020-06-01,16,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2020-07-01,19,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2020-08-01,22,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2020-09-01,28,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2020-10-01,22,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2020-11-01,25,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2020-12-01,28,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2021-01-01,19,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2021-02-01,19,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
BHANDARA,2021-03-01,21,18.222882355484696,<tbats.tbats.ModelParams.ModelParams object at 0x000001656FA41390>
