district,date,actual,forecast_mean,forecast_std
AHMEDNAGAR,2020-07-01,354.0,428.5546073448422,117.2269077970361
AHMEDNAGAR,2020-08-01,391.0,433.84047406626445,109.33855430978466
AHMEDNAGAR,2020-09-01,417.0,448.9126276931033,110.53741403049018
AHMEDNAGAR,2020-10-01,343.0,453.34332810483346,114.16234091254475
AHMEDNAGAR,2020-11-01,468.0,434.4107090229819,112.67980398369497
AHMEDNAGAR,2020-12-01,305.0,466.7626494176375,117.81598955060359
AHMEDNAGAR,2021-01-01,372.0,420.9377343954807,114.71736913516673
AHMEDNAGAR,2021-02-01,301.0,439.6382141519515,113.9277857399335
AHMEDNAGAR,2021-03-01,316.0,411.23510551214076,112.647001762772
AKOLA,2020-07-01,407.0,449.3475347736986,90.04117068542529
AKOLA,2020-08-01,306.0,449.33283206554717,90.06820386053994
AKOLA,2020-09-01,504.0,449.4612754510696,90.04253802082822
AKOLA,2020-10-01,493.0,449.47086762900494,89.99780539722384
AKOLA,2020-11-01,514.0,449.51795876956487,90.09966573687471
AKOLA,2020-12-01,450.0,449.386989948918,90.17783473944802
AKOLA,2021-01-01,481.0,449.4519365791196,90.26432747431318
AKOLA,2021-02-01,416.0,449.4687840004101,90.24639934140073
AKOLA,2021-03-01,363.0,449.4569665246199,90.19081500877493
AMRAVATI,2020-07-01,470,358.60867904770663,235.37336684673429
AMRAVATI,2020-08-01,482,329.75479673937537,235.43222900116288
AMRAVATI,2020-09-01,586,318.74942014629613,234.69355372663136
AMRAVATI,2020-10-01,819,248.64450711151719,234.98160688085667
AMRAVATI,2020-11-01,609,132.07473283473456,237.72094139422555
AMRAVATI,2020-12-01,634,192.46872993347682,238.1314404635052
AMRAVATI,2021-01-01,472,115.62309498376226,238.2314957376589
AMRAVATI,2021-02-01,753,123.71036950273816,237.45740486607855
AMRAVATI,2021-03-01,457,24.917360512419066,238.47011787527794
AURANGABAD,2020-07-01,378,415.99672446638175,124.37800853276985
AURANGABAD,2020-08-01,729,406.016529015431,124.37287125243027
AURANGABAD,2020-09-01,857,395.6343318690903,124.43173051056742
AURANGABAD,2020-10-01,889,385.49830811304753,124.44056557003043
AURANGABAD,2020-11-01,837,375.366044450773,124.4397591611085
AURANGABAD,2020-12-01,522,364.9037086881299,124.44001669571053
AURANGABAD,2021-01-01,685,354.8046815170132,124.42589589830237
AURANGABAD,2021-02-01,477,344.50927378350104,124.4318498012123
AURANGABAD,2021-03-01,489,334.5684374248856,124.45667977939443
BEED,2020-07-01,465.0,382.4121254025832,165.62827142263677
BEED,2020-08-01,554.0,376.2265969221459,164.01825605223763
BEED,2020-09-01,485.0,383.8924855053228,163.2400709988264
BEED,2020-10-01,495.0,379.27812121798,164.0465525242449
BEED,2020-11-01,472.0,381.5232017825609,163.39467640043287
BEED,2020-12-01,561.0,378.045937283343,163.49799508654468
BEED,2021-01-01,439.0,382.2286132359269,163.58847552003073
BEED,2021-02-01,414.0,378.1683484017796,163.0466636298199
BEED,2021-03-01,439.0,377.3664988912243,162.177842202052
BHANDARA,2020-07-01,267.0,278.0120020554768,72.26700667534087
BHANDARA,2020-08-01,323.0,290.14429643873166,72.26253852895368
BHANDARA,2020-09-01,344.0,324.6642860180899,74.89793443193845
BHANDARA,2020-10-01,397.0,329.8677723441887,78.34637129175007
BHANDARA,2020-11-01,285.0,355.5594325832535,83.40146075510167
BHANDARA,2020-12-01,316.0,283.7038515215145,82.5889428955972
BHANDARA,2021-01-01,194.0,298.7462561974313,84.11819024384991
BHANDARA,2021-02-01,173.0,221.76121828810042,80.95357088661619
BHANDARA,2021-03-01,225.0,232.6393802071524,72.60253333732582
BULDHANA,2020-07-01,186.0,214.16553513599598,50.45919904789296
BULDHANA,2020-08-01,211.0,226.39295619800058,49.58956033837531
BULDHANA,2020-09-01,266.0,228.7398786161676,49.63940988242709
BULDHANA,2020-10-01,280.0,253.12308956316255,55.0957909476636
BULDHANA,2020-11-01,328.0,270.24013708455243,57.002992459398904
BULDHANA,2020-12-01,268.0,267.52535716489456,62.90693052500406
BULDHANA,2021-01-01,168.0,254.265334500479,63.13254804239629
BULDHANA,2021-02-01,139.0,188.6993992622805,58.66192600728498
BULDHANA,2021-03-01,195.0,156.47876566921684,56.925892512361905
CHANDRAPUR,2020-07-01,445,319.1338133741741,97.6072082331574
CHANDRAPUR,2020-08-01,502,311.34675085432866,97.61954808562791
CHANDRAPUR,2020-09-01,592,303.1144131813692,97.62199732767172
CHANDRAPUR,2020-10-01,628,294.9673497345265,97.62491193877514
CHANDRAPUR,2020-11-01,562,287.0545614475965,97.62613314608542
CHANDRAPUR,2020-12-01,467,278.98962038445933,97.61669240600574
CHANDRAPUR,2021-01-01,385,271.21642811962414,97.62232206673352
CHANDRAPUR,2021-02-01,422,263.53272298416994,97.62103589961711
CHANDRAPUR,2021-03-01,385,255.75771980280092,97.62115149173741
DHULE,2020-07-01,106.0,331.8616881072901,138.9229012488117
DHULE,2020-08-01,142.0,306.1977400115892,132.01955756460026
DHULE,2020-09-01,210.0,315.60081847029323,130.93707834739968
DHULE,2020-10-01,167.0,335.0876152381228,131.78324133357887
DHULE,2020-11-01,356.0,327.36354603314544,130.02372352478173
DHULE,2020-12-01,294.0,375.29692476666133,135.81268244498938
DHULE,2021-01-01,398.0,358.13029540049075,137.98245268694924
DHULE,2021-02-01,333.0,383.38563242060565,142.58145649822242
DHULE,2021-03-01,368.0,361.1392869466291,145.63756112973985
GADCHIROLI,2020-07-01,294,314.9299289603801,57.38336676151102
GADCHIROLI,2020-08-01,439,311.77242071291306,57.3821112159651
GADCHIROLI,2020-09-01,482,308.7079699425611,57.41247798490644
GADCHIROLI,2020-10-01,431,305.572421799539,57.4151063432089
GADCHIROLI,2020-11-01,434,302.42078580292844,57.416684847740825
GADCHIROLI,2020-12-01,399,299.05625056042555,57.41585710319836
GADCHIROLI,2021-01-01,360,295.8402769752035,57.38719897303154
GADCHIROLI,2021-02-01,235,292.73676445814857,57.386717102790634
GADCHIROLI,2021-03-01,272,289.5124189547075,57.40555871674359
GONDIA,2020-07-01,335,238.63996037248324,86.80104952284185
GONDIA,2020-08-01,304,195.93888513672687,87.0717986732507
