district,date,actual,forecast
AHMEDNAGAR,2020-07-01,354.0,437.8854711214602
AHMEDNAGAR,2020-08-01,391.0,442.2546416812604
AHMEDNAGAR,2020-09-01,417.0,437.8854711214602
AHMEDNAGAR,2020-10-01,343.0,476.76991354531276
AHMEDNAGAR,2020-11-01,468.0,422.36509861217405
AHMEDNAGAR,2020-12-01,305.0,543.5612397095556
AHMEDNAGAR,2021-01-01,372.0,383.96532309470234
AHMEDNAGAR,2021-02-01,301.0,531.1691574210644
AHMEDNAGAR,2021-03-01,316.0,442.2546416812604
AKOLA,2020-07-01,407.0,468.4471371243497
AKOLA,2020-08-01,306.0,470.78411614620535
AKOLA,2020-09-01,504.0,417.2115712680023
AKOLA,2020-10-01,493.0,459.3420790960823
AKOLA,2020-11-01,514.0,500.99596871777305
AKOLA,2020-12-01,450.0,479.5928266864897
AKOLA,2021-01-01,481.0,402.39004041860204
AKOLA,2021-02-01,416.0,485.69555506688386
AKOLA,2021-03-01,363.0,493.0036040710983
AMRAVATI,2020-07-01,470,353.7504338951131
AMRAVATI,2020-08-01,482,332.72460112938353
AMRAVATI,2020-09-01,586,329.23598710497265
AMRAVATI,2020-10-01,819,322.85525303378165
AMRAVATI,2020-11-01,609,313.1173226070181
AMRAVATI,2020-12-01,634,399.07447641731477
AMRAVATI,2021-01-01,472,357.2117520428054
AMRAVATI,2021-02-01,753,330.58781725549323
AMRAVATI,2021-03-01,457,302.5660333592011
AURANGABAD,2020-07-01,378,416.3477742769353
AURANGABAD,2020-08-01,729,403.17912400899013
AURANGABAD,2020-09-01,857,399.38443671555626
AURANGABAD,2020-10-01,889,368.1670760083579
AURANGABAD,2020-11-01,837,354.1248532073383
AURANGABAD,2020-12-01,522,342.40454420923436
AURANGABAD,2021-01-01,685,335.7601688744113
AURANGABAD,2021-02-01,477,332.5948223518177
AURANGABAD,2021-03-01,489,330.60204906764625
BEED,2020-07-01,465.0,431.24425651111244
BEED,2020-08-01,554.0,378.9140634496965
BEED,2020-09-01,485.0,358.0739148056138
BEED,2020-10-01,495.0,373.4742046402355
BEED,2020-11-01,472.0,358.0739148056138
BEED,2020-12-01,561.0,364.7188237488371
BEED,2021-01-01,439.0,364.7188237488371
BEED,2021-02-01,414.0,371.0691422910337
BEED,2021-03-01,439.0,431.24425651111244
BHANDARA,2020-07-01,267.0,244.82471958629475
BHANDARA,2020-08-01,323.0,270.8290348745273
BHANDARA,2020-09-01,344.0,314.5638401787891
BHANDARA,2020-10-01,397.0,314.5964965922413
BHANDARA,2020-11-01,285.0,437.2170103755879
BHANDARA,2020-12-01,316.0,290.2352689281852
BHANDARA,2021-01-01,194.0,315.36244304254836
BHANDARA,2021-02-01,173.0,282.8665702544691
BHANDARA,2021-03-01,225.0,284.7920284630631
BULDHANA,2020-07-01,186.0,217.67556614593119
BULDHANA,2020-08-01,211.0,229.47469447692745
BULDHANA,2020-09-01,266.0,222.692144489802
BULDHANA,2020-10-01,280.0,229.89342815499313
BULDHANA,2020-11-01,328.0,231.39569160528072
BULDHANA,2020-12-01,268.0,235.18428604517226
BULDHANA,2021-01-01,168.0,229.86774164303583
BULDHANA,2021-02-01,139.0,230.34295764303582
BULDHANA,2021-03-01,195.0,219.59084533286287
CHANDRAPUR,2020-07-01,445,316.61166498581747
CHANDRAPUR,2020-08-01,502,297.3065961064172
CHANDRAPUR,2020-09-01,592,277.6220106333301
CHANDRAPUR,2020-10-01,628,258.72335049990755
