district,date,actual,forecast
AHMEDNAGAR,2020-07-01,354.0,467.42857142857144
AHMEDNAGAR,2020-08-01,391.0,418.85714285714283
AHMEDNAGAR,2020-09-01,417.0,424.2857142857143
AHMEDNAGAR,2020-10-01,343.0,417.57142857142856
AHMEDNAGAR,2020-11-01,468.0,405.85714285714283
AHMEDNAGAR,2020-12-01,305.0,438.2857142857143
AHMEDNAGAR,2021-01-01,372.0,427.2857142857143
AHMEDNAGAR,2021-02-01,301.0,448.2857142857143
AHMEDNAGAR,2021-03-01,316.0,436.7142857142857
AKOLA,2020-07-01,407.0,471.22222222222223
AKOLA,2020-08-01,306.0,467.0
AKOLA,2020-09-01,504.0,441.55555555555554
AKOLA,2020-10-01,493.0,452.77777777777777
AKOLA,2020-11-01,514.0,464.3333333333333
AKOLA,2020-12-01,450.0,443.44444444444446
AKOLA,2021-01-01,481.0,453.22222222222223
AKOLA,2021-02-01,416.0,469.1111111111111
AKOLA,2021-03-01,363.0,487.44444444444446
AMRAVATI,2020-07-01,470,337.37203561777665
AMRAVATI,2020-08-01,482,339.48425389405713
AMRAVATI,2020-09-01,586,468.2915293327343
AMRAVATI,2020-10-01,819,425.60240481196837
AMRAVATI,2020-11-01,609,427.7845365800921
AMRAVATI,2020-12-01,634,647.3030733291141
AMRAVATI,2021-01-01,472,615.6936987785047
AMRAVATI,2021-02-01,753,599.8696991710432
AMRAVATI,2021-03-01,457,625.5045976546628
AURANGABAD,2020-07-01,378,409.3333333333333
AURANGABAD,2020-08-01,729,431.8888888888889
AURANGABAD,2020-09-01,857,421.55555555555554
AURANGABAD,2020-10-01,889,384.8888888888889
AURANGABAD,2020-11-01,837,385.22222222222223
AURANGABAD,2020-12-01,522,298.6666666666667
AURANGABAD,2021-01-01,685,296.1111111111111
AURANGABAD,2021-02-01,477,259.44444444444446
AURANGABAD,2021-03-01,489,286.8888888888889
BEED,2020-07-01,465.0,474.82004970946457
BEED,2020-08-01,554.0,480.47781777653074
BEED,2020-09-01,485.0,484.7689040569139
BEED,2020-10-01,495.0,477.709476246617
BEED,2020-11-01,472.0,482.85791747171453
BEED,2020-12-01,561.0,479.47036263129223
BEED,2021-01-01,439.0,487.2712379295414
BEED,2021-02-01,414.0,483.03121287167556
BEED,2021-03-01,439.0,456.94218747776785
BHANDARA,2020-07-01,267.0,287.8
BHANDARA,2020-08-01,323.0,287.8
BHANDARA,2020-09-01,344.0,331.0
BHANDARA,2020-10-01,397.0,373.6
BHANDARA,2020-11-01,285.0,385.2
BHANDARA,2020-12-01,316.0,288.6
BHANDARA,2021-01-01,194.0,248.2
BHANDARA,2021-02-01,173.0,244.2
BHANDARA,2021-03-01,225.0,250.8
BULDHANA,2020-07-01,186.0,203.2
BULDHANA,2020-08-01,211.0,205.0
BULDHANA,2020-09-01,266.0,216.4
BULDHANA,2020-10-01,280.0,281.2
BULDHANA,2020-11-01,328.0,272.8
BULDHANA,2020-12-01,268.0,266.8
BULDHANA,2021-01-01,168.0,228.2
BULDHANA,2021-02-01,139.0,235.8
BULDHANA,2021-03-01,195.0,217.2
CHANDRAPUR,2020-07-01,445,363.22222222222223
CHANDRAPUR,2020-08-01,502,404.22222222222223
CHANDRAPUR,2020-09-01,592,412.0
CHANDRAPUR,2020-10-01,628,410.0
CHANDRAPUR,2020-11-01,562,393.44444444444446
CHANDRAPUR,2020-12-01,467,382.0
CHANDRAPUR,2021-01-01,385,348.8888888888889
CHANDRAPUR,2021-02-01,422,373.3333333333333
CHANDRAPUR,2021-03-01,385,411.55555555555554
DHULE,2020-07-01,106.0,368.22222222222223
DHULE,2020-08-01,142.0,354.22222222222223
DHULE,2020-09-01,210.0,363.1111111111111
DHULE,2020-10-01,167.0,363.1111111111111
DHULE,2020-11-01,356.0,387.6666666666667
DHULE,2020-12-01,294.0,397.44444444444446
DHULE,2021-01-01,398.0,460.1111111111111
DHULE,2021-02-01,333.0,421.22222222222223
DHULE,2021-03-01,368.0,411.0
GADCHIROLI,2020-07-01,294,298.3333333333333
GADCHIROLI,2020-08-01,439,362.3333333333333
GADCHIROLI,2020-09-01,482,375.0
GADCHIROLI,2020-10-01,431,409.3333333333333
GADCHIROLI,2020-11-01,434,367.6666666666667
GADCHIROLI,2020-12-01,399,377.6666666666667
GADCHIROLI,2021-01-01,360,359.0
GADCHIROLI,2021-02-01,235,326.3333333333333
GADCHIROLI,2021-03-01,272,317.3333333333333
GONDIA,2020-07-01,335,301.03935761305013
GONDIA,2020-08-01,304,246.07576512846776
GONDIA,2020-09-01,282,344.28173424667693
GONDIA,2020-10-01,335,385.37874648399816
GONDIA,2020-11-01,425,451.32035132905156
GONDIA,2020-12-01,365,314.1404173293729
GONDIA,2021-01-01,314,405.0225637235799
GONDIA,2021-02-01,254,443.02426733138685
GONDIA,2021-03-01,336,480.13094382757015
HINGOLI,2020-07-01,138.0,163.42857142857142
HINGOLI,2020-08-01,86.0,138.14285714285714
HINGOLI,2020-09-01,165.0,151.57142857142858
HINGOLI,2020-10-01,164.0,148.57142857142858
HINGOLI,2020-11-01,125.0,178.42857142857142
HINGOLI,2020-12-01,79.0,148.28571428571428
HINGOLI,2021-01-01,296.0,158.85714285714286
HINGOLI,2021-02-01,102.0,212.57142857142858
HINGOLI,2021-03-01,126.0,146.85714285714286
JALGAON,2020-07-01,244.0,345.6666666666667
JALGAON,2020-08-01,292.0,321.3333333333333
JALGAON,2020-09-01,362.0,246.0
JALGAON,2020-10-01,415.0,267.1111111111111
JALGAON,2020-11-01,469.0,321.22222222222223
JALGAON,2020-12-01,593.0,359.44444444444446
JALGAON,2021-01-01,340.0,382.22222222222223
JALGAON,2021-02-01,239.0,394.22222222222223
JALGAON,2021-03-01,243.0,374.22222222222223
JALNA,2020-07-01,260.0,216.44444444444446
JALNA,2020-08-01,218.0,240.55555555555554
JALNA,2020-09-01,164.0,238.88888888888889
JALNA,2020-10-01,226.0,219.0
JALNA,2020-11-01,211.0,232.77777777777777
JALNA,2020-12-01,163.0,229.66666666666666
JALNA,2021-01-01,184.0,219.0
JALNA,2021-02-01,166.0,232.77777777777777
JALNA,2021-03-01,149.0,232.33333333333334
KOLHAPUR,2020-07-01,383.0,372.3333333333333
KOLHAPUR,2020-08-01,292.0,369.44444444444446
KOLHAPUR,2020-09-01,390.0,385.0
KOLHAPUR,2020-10-01,332.0,373.22222222222223
KOLHAPUR,2020-11-01,381.0,367.55555555555554
KOLHAPUR,2020-12-01,365.0,398.55555555555554
KOLHAPUR,2021-01-01,395.0,405.22222222222223
KOLHAPUR,2021-02-01,621.0,384.6666666666667
KOLHAPUR,2021-03-01,408.0,392.3333333333333
LATUR,2020-07-01,345.0,298.6306271219218
LATUR,2020-08-01,387.0,282.8074709690297
LATUR,2020-09-01,426.0,293.1676974649912
LATUR,2020-10-01,448.0,274.65191169401135
LATUR,2020-11-01,462.0,307.23381638630195
LATUR,2020-12-01,367.0,300.6029154348794
LATUR,2021-01-01,570.0,270.6668899528302
LATUR,2021-02-01,322.0,306.2018926045976
LATUR,2021-03-01,401.0,279.4216919564008
MUMBAI,2020-07-01,513,518.7495242243212
MUMBAI,2020-08-01,579,591.6747564268994
MUMBAI,2020-09-01,683,517.602344698915
MUMBAI,2020-10-01,763,598.8025184904789
MUMBAI,2020-11-01,583,724.9311943880634
MUMBAI,2020-12-01,934,686.2244534651426
MUMBAI,2021-01-01,474,590.8250819344321
MUMBAI,2021-02-01,543,614.2791689189995
MUMBAI,2021-03-01,484,518.2200589116836
NAGPUR,2020-07-01,617.0,720.8571428571429
NAGPUR,2020-08-01,638.0,720.8571428571429
NAGPUR,2020-09-01,488.0,720.8571428571429
NAGPUR,2020-10-01,603.0,720.8571428571429
NAGPUR,2020-11-01,560.0,720.8571428571429
NAGPUR,2020-12-01,819.0,685.0
NAGPUR,2021-01-01,599.0,860.1428571428571
NAGPUR,2021-02-01,374.0,762.0
NAGPUR,2021-03-01,416.0,720.8571428571429
NANDED,2020-07-01,261.0,326.088966437529
NANDED,2020-08-01,400.0,322.5654163730733
NANDED,2020-09-01,435.0,367.8430531023094
NANDED,2020-10-01,391.0,413.6433130035213
NANDED,2020-11-01,412.0,402.77942631789955
NANDED,2020-12-01,334.0,414.9928722301366
NANDED,2021-01-01,287.0,353.59923730263375
NANDED,2021-02-01,220.0,327.3952741376654
NANDED,2021-03-01,285.0,315.05470190543207
NANDURBAR,2020-07-01,480.0,296.54211960647314
NANDURBAR,2020-08-01,533.0,460.1482385992828
NANDURBAR,2020-09-01,497.0,553.8813428343831
NANDURBAR,2020-10-01,568.0,458.5949891748132
NANDURBAR,2020-11-01,511.0,422.53376604035566
NANDURBAR,2020-12-01,505.0,455.5252109401268
NANDURBAR,2021-01-01,342.0,446.2359299086082
NANDURBAR,2021-02-01,363.0,340.9781973443147
NANDURBAR,2021-03-01,354.0,386.75567627862023
NASHIK,2020-07-01,975.0,934.0
NASHIK,2020-08-01,1023.0,997.8
NASHIK,2020-09-01,1143.0,985.0
NASHIK,2020-10-01,1264.0,1030.8
NASHIK,2020-11-01,1037.0,1148.8
NASHIK,2020-12-01,976.0,1095.8
NASHIK,2021-01-01,882.0,970.6
NASHIK,2021-02-01,909.0,833.2
NASHIK,2021-03-01,1000.0,820.0
OSMANABAD,2020-07-01,177.0,180.0
OSMANABAD,2020-08-01,234.0,171.0
OSMANABAD,2020-09-01,190.0,185.57142857142858
OSMANABAD,2020-10-01,248.0,163.42857142857142
OSMANABAD,2020-11-01,189.0,178.42857142857142
OSMANABAD,2020-12-01,200.0,166.85714285714286
OSMANABAD,2021-01-01,138.0,159.14285714285714
OSMANABAD,2021-02-01,133.0,155.57142857142858
OSMANABAD,2021-03-01,169.0,161.57142857142858
PALGHAR,2020-07-01,784.0,778.4459026775268
PALGHAR,2020-08-01,785.0,729.7831915137755
PALGHAR,2020-09-01,795.0,734.4714599284736
PALGHAR,2020-10-01,1020.0,725.2498647942448
PALGHAR,2020-11-01,1006.0,850.2763719226613
PALGHAR,2020-12-01,948.0,910.6296939755202
PALGHAR,2021-01-01,784.0,896.346881908441
PALGHAR,2021-02-01,589.0,809.1828046563314
PALGHAR,2021-03-01,678.0,707.9354973149575
PARBHANI,2020-07-01,257.0,132.33333333333334
PARBHANI,2020-08-01,232.0,227.0
PARBHANI,2020-09-01,291.0,166.66666666666666
PARBHANI,2020-10-01,315.0,268.0
PARBHANI,2020-11-01,205.0,236.33333333333334
PARBHANI,2020-12-01,179.0,180.33333333333334
PARBHANI,2021-01-01,287.0,180.0
PARBHANI,2021-02-01,196.0,209.66666666666666
PARBHANI,2021-03-01,212.0,192.33333333333334
PUNE,2020-07-01,1326.0,1716.4285714285713
PUNE,2020-08-01,1529.0,1681.7142857142858
PUNE,2020-09-01,1439.0,1812.142857142857
PUNE,2020-10-01,1349.0,1738.4285714285713
PUNE,2020-11-01,1578.0,1698.5714285714287
PUNE,2020-12-01,1364.0,1812.142857142857
PUNE,2021-01-01,1384.0,1653.142857142857
PUNE,2021-02-01,1070.0,1698.5714285714287
PUNE,2021-03-01,1211.0,1716.4285714285713
RAIGAD,2020-07-01,420.0,397.77777777777777
RAIGAD,2020-08-01,459.0,353.22222222222223
RAIGAD,2020-09-01,475.0,361.1111111111111
RAIGAD,2020-10-01,491.0,361.22222222222223
RAIGAD,2020-11-01,465.0,361.1111111111111
RAIGAD,2020-12-01,444.0,361.22222222222223
RAIGAD,2021-01-01,377.0,361.22222222222223
RAIGAD,2021-02-01,298.0,357.77777777777777
RAIGAD,2021-03-01,261.0,364.44444444444446
RATNAGIRI,2020-07-01,203,405.2857142857143
RATNAGIRI,2020-08-01,179,401.7142857142857
RATNAGIRI,2020-09-01,255,434.57142857142856
RATNAGIRI,2020-10-01,253,460.1428571428571
RATNAGIRI,2020-11-01,257,438.0
RATNAGIRI,2020-12-01,209,435.42857142857144
RATNAGIRI,2021-01-01,184,454.1428571428571
RATNAGIRI,2021-02-01,197,450.7142857142857
RATNAGIRI,2021-03-01,151,462.1428571428571
SANGLI,2020-07-01,547.0,461.22222222222223
SANGLI,2020-08-01,406.0,471.8888888888889
SANGLI,2020-09-01,461.0,457.0
SANGLI,2020-10-01,373.0,449.44444444444446
SANGLI,2020-11-01,410.0,466.44444444444446
SANGLI,2020-12-01,432.0,443.1111111111111
SANGLI,2021-01-01,300.0,450.0
SANGLI,2021-02-01,294.0,467.22222222222223
SANGLI,2021-03-01,339.0,450.6666666666667
SATARA,2020-07-01,347.0,421.42857142857144
SATARA,2020-08-01,349.0,443.14285714285717
SATARA,2020-09-01,446.0,440.2857142857143
SATARA,2020-10-01,494.0,477.57142857142856
SATARA,2020-11-01,518.0,476.14285714285717
SATARA,2020-12-01,814.0,480.2857142857143
SATARA,2021-01-01,577.0,504.42857142857144
SATARA,2021-02-01,423.0,438.14285714285717
SATARA,2021-03-01,401.0,442.0
SINDHUDURG,2020-07-01,121.0,120.73896421421074
SINDHUDURG,2020-08-01,97.0,116.84001234865322
SINDHUDURG,2020-09-01,141.0,120.6257208332058
SINDHUDURG,2020-10-01,144.0,108.81993434922273
SINDHUDURG,2020-11-01,117.0,118.4191581845166
SINDHUDURG,2020-12-01,117.0,123.04787926939662
SINDHUDURG,2021-01-01,86.0,121.12123969137247
SINDHUDURG,2021-02-01,90.0,115.1448396473389
SINDHUDURG,2021-03-01,89.0,120.46996790111692
SOLAPUR,2020-07-01,410.0,584.2
SOLAPUR,2020-08-01,405.0,620.2
SOLAPUR,2020-09-01,654.0,500.0
SOLAPUR,2020-10-01,535.0,539.0
SOLAPUR,2020-11-01,622.0,615.6
SOLAPUR,2020-12-01,481.0,614.2
SOLAPUR,2021-01-01,416.0,534.4
SOLAPUR,2021-02-01,453.0,475.2
SOLAPUR,2021-03-01,595.0,577.4
THANE,2020-07-01,708,738.2222222222222
THANE,2020-08-01,893,670.7777777777778
THANE,2020-09-01,916,599.4444444444445
THANE,2020-10-01,1156,527.6666666666667
THANE,2020-11-01,848,548.5555555555555
THANE,2020-12-01,1031,508.22222222222223
THANE,2021-01-01,949,462.8888888888889
THANE,2021-02-01,620,381.11111111111114
THANE,2021-03-01,686,347.7777777777778
WARDHA,2020-07-01,179.0,213.28571428571428
WARDHA,2020-08-01,192.0,221.14285714285714
WARDHA,2020-09-01,251.0,221.14285714285714
WARDHA,2020-10-01,241.0,244.14285714285714
WARDHA,2020-11-01,231.0,238.42857142857142
WARDHA,2020-12-01,310.0,214.71428571428572
WARDHA,2021-01-01,166.0,242.85714285714286
WARDHA,2021-02-01,150.0,204.85714285714286
WARDHA,2021-03-01,125.0,207.14285714285714
WASHIM,2020-07-01,154.0,115.0
WASHIM,2020-08-01,127.0,135.33333333333334
WASHIM,2020-09-01,120.0,101.0
WASHIM,2020-10-01,113.0,82.33333333333333
WASHIM,2020-11-01,154.0,122.66666666666667
WASHIM,2020-12-01,123.0,149.66666666666666
WASHIM,2021-01-01,105.0,97.0
WASHIM,2021-02-01,100.0,101.0
WASHIM,2021-03-01,99.0,130.33333333333334
YAVATMAL,2020-07-01,148.0,150.62224882654613
YAVATMAL,2020-08-01,201.0,196.59758626170662
YAVATMAL,2020-09-01,225.0,181.01229565390665
YAVATMAL,2020-10-01,182.0,175.55378630836395
YAVATMAL,2020-11-01,174.0,140.390216737225
YAVATMAL,2020-12-01,163.0,144.87388460297373
YAVATMAL,2021-01-01,146.0,138.20933664787802
YAVATMAL,2021-02-01,140.0,150.50135919821497
YAVATMAL,2021-03-01,161.0,154.65472063401313
MUMBAI SUBURBAN,2021-02-01,607.0,800.3333333333334
MUMBAI SUBURBAN,2021-03-01,618.0,800.3333333333334
