district,date,actual,forecast
AHMEDNAGAR,2020-07-01,354,402.9501
AHMEDNAGAR,2020-08-01,391,393.8801
AHMEDNAGAR,2020-09-01,417,392.49866
AHMEDNAGAR,2020-10-01,343,397.86917
AHMEDNAGAR,2020-11-01,468,393.13354
AHMEDNAGAR,2020-12-01,305,413.32538
AHMEDNAGAR,2021-01-01,372,397.25864
AHMEDNAGAR,2021-02-01,301,396.6967
AHMEDNAGAR,2021-03-01,316,384.18393
AKOLA,2020-07-01,407,427.83817
AKOLA,2020-08-01,306,414.44604
AKOLA,2020-09-01,504,410.8366
AKOLA,2020-10-01,493,424.7728
AKOLA,2020-11-01,514,448.67175
AKOLA,2020-12-01,450,428.39233
AKOLA,2021-01-01,481,443.9156
AKOLA,2021-02-01,416,451.231
AKOLA,2021-03-01,363,459.6472
BEED,2020-07-01,465,373.88852
BEED,2020-08-01,554,323.48636
BEED,2020-09-01,485,357.5147
BEED,2020-10-01,495,338.27112
BEED,2020-11-01,472,370.26486
BEED,2020-12-01,561,336.01523
BEED,2021-01-01,439,360.39276
BEED,2021-02-01,414,339.6378
BEED,2021-03-01,439,348.66043
BHANDARA,2020-07-01,267,279.78027
BHANDARA,2020-08-01,323,288.2253
BHANDARA,2020-09-01,344,307.42874
BHANDARA,2020-10-01,397,321.95398
BHANDARA,2020-11-01,285,341.62653
BHANDARA,2020-12-01,316,311.38083
BHANDARA,2021-01-01,194,297.01962
BHANDARA,2021-02-01,173,262.54077
BHANDARA,2021-03-01,225,246.70337
BULDHANA,2020-07-01,186,208.64789
BULDHANA,2020-08-01,211,204.82703
BULDHANA,2020-09-01,266,206.2735
BULDHANA,2020-10-01,280,217.4617
BULDHANA,2020-11-01,328,233.04544
BULDHANA,2020-12-01,268,254.01901
BULDHANA,2021-01-01,168,260.45557
BULDHANA,2021-02-01,139,241.2226
BULDHANA,2021-03-01,195,218.51184
DHULE,2020-07-01,106,310.72415
DHULE,2020-08-01,142,275.28534
DHULE,2020-09-01,210,231.56857
DHULE,2020-10-01,167,226.20036
DHULE,2020-11-01,356,229.76018
DHULE,2020-12-01,294,256.5201
DHULE,2021-01-01,398,266.4108
DHULE,2021-02-01,333,305.7871
DHULE,2021-03-01,368,309.1475
HINGOLI,2020-07-01,138,148.97583
