district,date,actual,forecast
AHMEDNAGAR,2020-07-01,354.0,430.56271794871793
AHMEDNAGAR,2020-08-01,391.0,402.0302482517482
AHMEDNAGAR,2020-09-01,417.0,416.0675058275057
AHMEDNAGAR,2020-10-01,343.0,433.10460683760687
AHMEDNAGAR,2020-11-01,468.0,404.69260106560097
AHMEDNAGAR,2020-12-01,305.0,449.3703831168831
AHMEDNAGAR,2021-01-01,372.0,369.8886346153846
AHMEDNAGAR,2021-02-01,301.0,405.28232905982907
AHMEDNAGAR,2021-03-01,316.0,427.4930512820513
AKOLA,2020-07-01,407.0,438.82858689839566
AKOLA,2020-08-01,306.0,441.89525360750355
AKOLA,2020-09-01,504.0,451.5631313131314
AKOLA,2020-10-01,493.0,462.5489339402427
AKOLA,2020-11-01,514.0,456.39239935064927
AKOLA,2020-12-01,450.0,468.8745007215007
AKOLA,2021-01-01,481.0,475.5259787157288
AKOLA,2021-02-01,416.0,503.1340988031577
AKOLA,2021-03-01,363.0,552.779432136491
AMRAVATI,2020-07-01,470,324.62409013209015
AMRAVATI,2020-08-01,482,353.88876197413697
AMRAVATI,2020-09-01,586,420.12284254634255
AMRAVATI,2020-10-01,819,402.6512759324009
AMRAVATI,2020-11-01,609,443.3817835081585
AMRAVATI,2020-12-01,634,673.062483904984
AMRAVATI,2021-01-01,472,510.0558182650683
AMRAVATI,2021-02-01,753,528.0321557470307
AMRAVATI,2021-03-01,457,571.024749000999
AURANGABAD,2020-07-01,378,423.25
AURANGABAD,2020-08-01,729,387.87
AURANGABAD,2020-09-01,857,424.75
AURANGABAD,2020-10-01,889,294.59000000000003
AURANGABAD,2020-11-01,837,268.28999999999996
AURANGABAD,2020-12-01,522,212.73
AURANGABAD,2021-01-01,685,164.73000000000002
AURANGABAD,2021-02-01,477,153.27000000000004
AURANGABAD,2021-03-01,489,154.46000000000004
BEED,2020-07-01,465.0,515.99
BEED,2020-08-01,554.0,518.59
BEED,2020-09-01,485.0,526.5
BEED,2020-10-01,495.0,501.07
BEED,2020-11-01,472.0,506.73
BEED,2020-12-01,561.0,503.13
BEED,2021-01-01,439.0,506.01
BEED,2021-02-01,414.0,502.35
BEED,2021-03-01,439.0,505.44
BHANDARA,2020-07-01,267.0,257.8654788854935
BHANDARA,2020-08-01,323.0,297.8072770285269
BHANDARA,2020-09-01,344.0,296.30801218062976
BHANDARA,2020-10-01,397.0,295.75240319454366
BHANDARA,2020-11-01,285.0,435.43833333333333
BHANDARA,2020-12-01,316.0,275.7979362794284
BHANDARA,2021-01-01,194.0,273.42346132382846
BHANDARA,2021-02-01,173.0,260.86243127014035
BHANDARA,2021-03-01,225.0,265.67361299119693
BULDHANA,2020-07-01,186.0,197.20207675657676
BULDHANA,2020-08-01,211.0,236.01053088578092
BULDHANA,2020-09-01,266.0,223.69458724608722
BULDHANA,2020-10-01,280.0,257.46918759018763
BULDHANA,2020-11-01,328.0,262.7276805555556
BULDHANA,2020-12-01,268.0,263.3704508477634
BULDHANA,2021-01-01,168.0,225.48480446527165
BULDHANA,2021-02-01,139.0,230.295132742086
BULDHANA,2021-03-01,195.0,185.89507954545454
CHANDRAPUR,2020-07-01,445,354.67816317364174
CHANDRAPUR,2020-08-01,502,351.69950533373816
CHANDRAPUR,2020-09-01,592,341.5401694002779
CHANDRAPUR,2020-10-01,628,361.0334828244044
CHANDRAPUR,2020-11-01,562,358.2505672206144
CHANDRAPUR,2020-12-01,467,366.11412013974456
CHANDRAPUR,2021-01-01,385,367.94699687175773
CHANDRAPUR,2021-02-01,422,388.77355715852025
CHANDRAPUR,2021-03-01,385,440.31058622117496
DHULE,2020-07-01,106.0,299.7776730842257
DHULE,2020-08-01,142.0,266.9569354636592
DHULE,2020-09-01,210.0,249.33523809523808
DHULE,2020-10-01,167.0,252.95857142857142
DHULE,2020-11-01,356.0,290.3332380952381
DHULE,2020-12-01,294.0,344.29064835164843
DHULE,2021-01-01,398.0,316.80390476190473
DHULE,2021-02-01,333.0,434.60302497502505
DHULE,2021-03-01,368.0,327.78801109674635
GADCHIROLI,2020-07-01,294,303.78
GADCHIROLI,2020-08-01,439,346.0
GADCHIROLI,2020-09-01,482,342.67
GADCHIROLI,2020-10-01,431,353.44
GADCHIROLI,2020-11-01,434,355.71
GADCHIROLI,2020-12-01,399,334.65
GADCHIROLI,2021-01-01,360,278.57
GADCHIROLI,2021-02-01,235,285.2
GADCHIROLI,2021-03-01,272,312.74
GONDIA,2020-07-01,335,311.89060606060605
GONDIA,2020-08-01,304,314.54454545454547
GONDIA,2020-09-01,282,365.6645454545454
GONDIA,2020-10-01,335,378.54681818181814
GONDIA,2020-11-01,425,386.40575757575755
GONDIA,2020-12-01,365,342.16803030303026
GONDIA,2021-01-01,314,442.7730303030303
GONDIA,2021-02-01,254,467.6430303030303
GONDIA,2021-03-01,336,482.9680303030303
HINGOLI,2020-07-01,138.0,186.495
HINGOLI,2020-08-01,86.0,176.695
HINGOLI,2020-09-01,165.0,140.71
HINGOLI,2020-10-01,164.0,138.71
HINGOLI,2020-11-01,125.0,198.205
HINGOLI,2020-12-01,79.0,120.07
HINGOLI,2021-01-01,296.0,191.345
HINGOLI,2021-02-01,102.0,232.33
HINGOLI,2021-03-01,126.0,144.035
JALGAON,2020-07-01,244.0,348.165
JALGAON,2020-08-01,292.0,278.095
JALGAON,2020-09-01,362.0,275.35
JALGAON,2020-10-01,415.0,308.535
JALGAON,2020-11-01,469.0,352.06
JALGAON,2020-12-01,593.0,390.86
JALGAON,2021-01-01,340.0,434.075
JALGAON,2021-02-01,239.0,414.595
JALGAON,2021-03-01,243.0,320.405
JALNA,2020-07-01,260.0,213.27
JALNA,2020-08-01,218.0,205.15
JALNA,2020-09-01,164.0,253.12
JALNA,2020-10-01,226.0,213.74
JALNA,2020-11-01,211.0,230.32
JALNA,2020-12-01,163.0,252.25
JALNA,2021-01-01,184.0,206.92
JALNA,2021-02-01,166.0,227.21
JALNA,2021-03-01,149.0,254.7
KOLHAPUR,2020-07-01,383.0,367.8
KOLHAPUR,2020-08-01,292.0,331.225
KOLHAPUR,2020-09-01,390.0,386.1539880952381
KOLHAPUR,2020-10-01,332.0,380.9650000000001
KOLHAPUR,2020-11-01,381.0,405.25875
KOLHAPUR,2020-12-01,365.0,383.3185000000001
KOLHAPUR,2021-01-01,395.0,394.64599999999996
KOLHAPUR,2021-02-01,621.0,362.60357142857146
KOLHAPUR,2021-03-01,408.0,415.37357142857144
LATUR,2020-07-01,345.0,293.2444323107448
LATUR,2020-08-01,387.0,263.0597445686623
LATUR,2020-09-01,426.0,289.96010049051824
LATUR,2020-10-01,448.0,329.17370159774435
LATUR,2020-11-01,462.0,389.29163095238096
LATUR,2020-12-01,367.0,439.1716666666666
LATUR,2021-01-01,570.0,412.08899305555553
LATUR,2021-02-01,322.0,434.9141666666667
LATUR,2021-03-01,401.0,314.8526448412698
MUMBAI,2020-07-01,513,306.44
MUMBAI,2020-08-01,579,395.44
MUMBAI,2020-09-01,683,325.90999999999997
MUMBAI,2020-10-01,763,310.71999999999997
MUMBAI,2020-11-01,583,374.5
MUMBAI,2020-12-01,934,375.12
MUMBAI,2021-01-01,474,236.72000000000003
MUMBAI,2021-02-01,543,291.90000000000003
MUMBAI,2021-03-01,484,131.28999999999996
NAGPUR,2020-07-01,617.0,679.9205807701072
NAGPUR,2020-08-01,638.0,661.8745410875675
NAGPUR,2020-09-01,488.0,701.4748744209007
NAGPUR,2020-10-01,603.0,626.7772943343207
NAGPUR,2020-11-01,560.0,641.5734153660666
NAGPUR,2020-12-01,819.0,686.7448042549555
NAGPUR,2021-01-01,599.0,810.4164751082253
NAGPUR,2021-02-01,374.0,681.0206594136857
NAGPUR,2021-03-01,416.0,654.988330770107
NANDED,2020-07-01,261.0,289.415
NANDED,2020-08-01,400.0,336.855
NANDED,2020-09-01,435.0,421.15
NANDED,2020-10-01,391.0,409.075
NANDED,2020-11-01,412.0,396.855
NANDED,2020-12-01,334.0,395.11583333333334
NANDED,2021-01-01,287.0,355.38425
NANDED,2021-02-01,220.0,288.195
NANDED,2021-03-01,285.0,280.83
NANDURBAR,2020-07-01,480.0,369.47278464835813
NANDURBAR,2020-08-01,533.0,446.0485148070885
NANDURBAR,2020-09-01,497.0,556.8768472222225
NANDURBAR,2020-10-01,568.0,485.08785317460314
NANDURBAR,2020-11-01,511.0,511.84064087301607
NANDURBAR,2020-12-01,505.0,423.7925930205415
NANDURBAR,2021-01-01,342.0,426.47395925153273
NANDURBAR,2021-02-01,363.0,387.9270482295482
NANDURBAR,2021-03-01,354.0,348.0677449658184
NASHIK,2020-07-01,975.0,939.1793571428572
NASHIK,2020-08-01,1023.0,960.5589583333334
NASHIK,2020-09-01,1143.0,998.8297976190476
NASHIK,2020-10-01,1264.0,1029.3929384920636
NASHIK,2020-11-01,1037.0,1104.6265099206348
NASHIK,2020-12-01,976.0,1051.2582123015873
NASHIK,2021-01-01,882.0,873.6379563492063
NASHIK,2021-02-01,909.0,862.261845238095
NASHIK,2021-03-01,1000.0,876.1687380952379
OSMANABAD,2020-07-01,177.0,178.58657955932955
OSMANABAD,2020-08-01,234.0,169.45045408757906
OSMANABAD,2020-09-01,190.0,178.6415476190476
OSMANABAD,2020-10-01,248.0,175.57836527361528
OSMANABAD,2020-11-01,189.0,187.08552813852816
OSMANABAD,2020-12-01,200.0,176.94320762570763
OSMANABAD,2021-01-01,138.0,179.5758852813853
OSMANABAD,2021-02-01,133.0,152.69787798312794
OSMANABAD,2021-03-01,169.0,169.3117021034521
PALGHAR,2020-07-01,784.0,756.07
PALGHAR,2020-08-01,785.0,681.2
PALGHAR,2020-09-01,795.0,687.085
PALGHAR,2020-10-01,1020.0,683.27
PALGHAR,2020-11-01,1006.0,697.905
PALGHAR,2020-12-01,948.0,911.39
PALGHAR,2021-01-01,784.0,912.105
PALGHAR,2021-02-01,589.0,847.465
PALGHAR,2021-03-01,678.0,728.83
PARBHANI,2020-07-01,257.0,135.615
PARBHANI,2020-08-01,232.0,223.38
PARBHANI,2020-09-01,291.0,215.95
PARBHANI,2020-10-01,315.0,263.15
PARBHANI,2020-11-01,205.0,299.49
PARBHANI,2020-12-01,179.0,198.32
PARBHANI,2021-01-01,287.0,179.625
PARBHANI,2021-02-01,196.0,223.52
PARBHANI,2021-03-01,212.0,177.4
PUNE,2020-07-01,1326.0,1503.7208333333335
PUNE,2020-08-01,1529.0,1504.4541666666669
PUNE,2020-09-01,1439.0,1526.490777777778
PUNE,2020-10-01,1349.0,1556.243277777778
PUNE,2020-11-01,1578.0,1504.444166666667
PUNE,2020-12-01,1364.0,1529.375777777778
PUNE,2021-01-01,1384.0,1575.0775
PUNE,2021-02-01,1070.0,1505.8041666666668
PUNE,2021-03-01,1211.0,1509.0808333333334
RAIGAD,2020-07-01,420.0,363.82507831221074
RAIGAD,2020-08-01,459.0,349.8182871572871
RAIGAD,2020-09-01,475.0,359.91432070707066
RAIGAD,2020-10-01,491.0,388.10617857142853
RAIGAD,2020-11-01,465.0,389.90442857142864
RAIGAD,2020-12-01,444.0,378.8363333333334
RAIGAD,2021-01-01,377.0,378.71566666666666
RAIGAD,2021-02-01,298.0,388.47082539682543
RAIGAD,2021-03-01,261.0,334.48481654456657
RATNAGIRI,2020-07-01,203,363.72530452880454
RATNAGIRI,2020-08-01,179,347.9076151348651
RATNAGIRI,2020-09-01,255,413.7126996141114
RATNAGIRI,2020-10-01,253,448.96276966905646
RATNAGIRI,2020-11-01,257,406.5655070427938
