district,date,actual,forecast,model_params
AHMEDNAGAR,2020-06-01,378,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2020-07-01,354,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2020-08-01,391,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2020-09-01,417,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2020-10-01,343,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2020-11-01,468,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2020-12-01,305,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2021-01-01,372,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2021-02-01,301,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AHMEDNAGAR,2021-03-01,316,339.7067713028291,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB36BC2790>
AKOLA,2020-06-01,339,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
AKOLA,2020-07-01,407,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
AKOLA,2020-08-01,306,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
AKOLA,2020-09-01,504,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
AKOLA,2020-10-01,493,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
AKOLA,2020-11-01,514,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
AKOLA,2020-12-01,450,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
AKOLA,2021-01-01,481,433.1774082620141,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A3BB7D0>
