district,date,actual,forecast
AHMEDNAGAR,2020-06-01,378,333.74886900935735
AHMEDNAGAR,2020-07-01,354,333.74886900935735
AHMEDNAGAR,2020-08-01,391,333.74886900935735
AHMEDNAGAR,2020-09-01,417,333.74886900935735
AHMEDNAGAR,2020-10-01,343,333.74886900935735
AHMEDNAGAR,2020-11-01,468,333.74886900935735
AHMEDNAGAR,2020-12-01,305,333.74886900935735
AHMEDNAGAR,2021-01-01,372,333.74886900935735
AHMEDNAGAR,2021-02-01,301,333.74886900935735
AHMEDNAGAR,2021-03-01,316,333.74886900935735
AKOLA,2020-06-01,339,452.8420454252148
AKOLA,2020-07-01,407,452.8420454252148
AKOLA,2020-08-01,306,452.8420454252148
AKOLA,2020-09-01,504,452.8420454252148
AKOLA,2020-10-01,493,452.8420454252148
AKOLA,2020-11-01,514,452.8420454252148
AKOLA,2020-12-01,450,452.8420454252148
AKOLA,2021-01-01,481,452.8420454252148
AKOLA,2021-02-01,416,452.8420454252148
AKOLA,2021-03-01,363,452.8420454252148
AMRAVATI,2020-06-01,380,440.78016465679264
AMRAVATI,2020-07-01,470,440.78016465679264
AMRAVATI,2020-08-01,482,440.78016465679264
AMRAVATI,2020-09-01,586,440.78016465679264
AMRAVATI,2020-10-01,819,440.78016465679264
AMRAVATI,2020-11-01,609,440.78016465679264
AMRAVATI,2020-12-01,634,440.78016465679264
AMRAVATI,2021-01-01,472,440.78016465679264
AMRAVATI,2021-02-01,753,440.78016465679264
AMRAVATI,2021-03-01,457,440.78016465679264
AURANGABAD,2020-06-01,426,473.09999221409555
AURANGABAD,2020-07-01,378,473.09999221409555
AURANGABAD,2020-08-01,729,473.09999221409555
AURANGABAD,2020-09-01,857,473.09999221409555
AURANGABAD,2020-10-01,889,473.09999221409555
AURANGABAD,2020-11-01,837,473.09999221409555
AURANGABAD,2020-12-01,522,473.09999221409555
AURANGABAD,2021-01-01,685,473.09999221409555
AURANGABAD,2021-02-01,477,473.09999221409555
AURANGABAD,2021-03-01,489,473.09999221409555
BEED,2020-06-01,546,474.3274444079193
BEED,2020-07-01,465,474.3274444079193
BEED,2020-08-01,554,474.3274444079193
BEED,2020-09-01,485,474.3274444079193
BEED,2020-10-01,495,474.3274444079193
BEED,2020-11-01,472,474.3274444079193
BEED,2020-12-01,561,474.3274444079193
BEED,2021-01-01,439,474.3274444079193
BEED,2021-02-01,414,474.3274444079193
BEED,2021-03-01,439,474.3274444079193
BHANDARA,2020-06-01,250,221.26906782572468
BHANDARA,2020-07-01,267,221.26906782572468
BHANDARA,2020-08-01,323,221.26906782572468
BHANDARA,2020-09-01,344,221.26906782572468
BHANDARA,2020-10-01,397,221.26906782572468
BHANDARA,2020-11-01,285,221.26906782572468
BHANDARA,2020-12-01,316,221.26906782572468
BHANDARA,2021-01-01,194,221.26906782572468
BHANDARA,2021-02-01,173,221.26906782572468
BHANDARA,2021-03-01,225,221.26906782572468
BULDHANA,2020-06-01,197,189.26487680989393
BULDHANA,2020-07-01,186,189.26487680989393
BULDHANA,2020-08-01,211,189.26487680989393
BULDHANA,2020-09-01,266,189.26487680989393
BULDHANA,2020-10-01,280,189.26487680989393
BULDHANA,2020-11-01,328,189.26487680989393
BULDHANA,2020-12-01,268,189.26487680989393
BULDHANA,2021-01-01,168,189.26487680989393
BULDHANA,2021-02-01,139,189.26487680989393
BULDHANA,2021-03-01,195,189.26487680989393
CHANDRAPUR,2020-06-01,327,485.8246537408237
CHANDRAPUR,2020-07-01,445,485.8246537408237
CHANDRAPUR,2020-08-01,502,485.8246537408237
CHANDRAPUR,2020-09-01,592,485.8246537408237
CHANDRAPUR,2020-10-01,628,485.8246537408237
CHANDRAPUR,2020-11-01,562,485.8246537408237
CHANDRAPUR,2020-12-01,467,485.8246537408237
CHANDRAPUR,2021-01-01,385,485.8246537408237
CHANDRAPUR,2021-02-01,422,485.8246537408237
CHANDRAPUR,2021-03-01,385,485.8246537408237
DHULE,2020-06-01,227,235.72228649621468
DHULE,2020-07-01,106,235.72228649621468
DHULE,2020-08-01,142,235.72228649621468
DHULE,2020-09-01,210,235.72228649621468
DHULE,2020-10-01,167,235.72228649621468
DHULE,2020-11-01,356,235.72228649621468
DHULE,2020-12-01,294,235.72228649621468
DHULE,2021-01-01,398,235.72228649621468
DHULE,2021-02-01,333,235.72228649621468
DHULE,2021-03-01,368,235.72228649621468
GADCHIROLI,2020-06-01,318,279.0000000745058
GADCHIROLI,2020-07-01,294,279.0000000745058
GADCHIROLI,2020-08-01,439,279.0000000745058
GADCHIROLI,2020-09-01,482,279.0000000745058
GADCHIROLI,2020-10-01,431,279.0000000745058
GADCHIROLI,2020-11-01,434,279.0000000745058
GADCHIROLI,2020-12-01,399,279.0000000745058
GADCHIROLI,2021-01-01,360,279.0000000745058
GADCHIROLI,2021-02-01,235,279.0000000745058
GADCHIROLI,2021-03-01,272,279.0000000745058
GONDIA,2020-06-01,261,263.76499825864755
GONDIA,2020-07-01,335,263.76499825864755
GONDIA,2020-08-01,304,263.76499825864755
GONDIA,2020-09-01,282,263.76499825864755
GONDIA,2020-10-01,335,263.76499825864755
GONDIA,2020-11-01,425,263.76499825864755
GONDIA,2020-12-01,365,263.76499825864755
GONDIA,2021-01-01,314,263.76499825864755
GONDIA,2021-02-01,254,263.76499825864755
GONDIA,2021-03-01,336,263.76499825864755
HINGOLI,2020-06-01,91,119.33969959461577
HINGOLI,2020-07-01,138,119.33969959461577
HINGOLI,2020-08-01,86,119.33969959461577
HINGOLI,2020-09-01,165,119.33969959461577
HINGOLI,2020-10-01,164,119.33969959461577
HINGOLI,2020-11-01,125,119.33969959461577
HINGOLI,2020-12-01,79,119.33969959461577
HINGOLI,2021-01-01,296,119.33969959461577
HINGOLI,2021-02-01,102,119.33969959461577
HINGOLI,2021-03-01,126,119.33969959461577
JALGAON,2020-06-01,281,373.05798850342035
JALGAON,2020-07-01,244,373.05798850342035
JALGAON,2020-08-01,292,373.05798850342035
JALGAON,2020-09-01,362,373.05798850342035
JALGAON,2020-10-01,415,373.05798850342035
JALGAON,2020-11-01,469,373.05798850342035
JALGAON,2020-12-01,593,373.05798850342035
JALGAON,2021-01-01,340,373.05798850342035
JALGAON,2021-02-01,239,373.05798850342035
JALGAON,2021-03-01,243,373.05798850342035
JALNA,2020-06-01,159,314.31461202262295
JALNA,2020-07-01,260,314.31461202262295
JALNA,2020-08-01,218,314.31461202262295
JALNA,2020-09-01,164,314.31461202262295
JALNA,2020-10-01,226,314.31461202262295
JALNA,2020-11-01,211,314.31461202262295
JALNA,2020-12-01,163,314.31461202262295
JALNA,2021-01-01,184,314.31461202262295
JALNA,2021-02-01,166,314.31461202262295
JALNA,2021-03-01,149,314.31461202262295
KOLHAPUR,2020-06-01,356,372.8396498521453
KOLHAPUR,2020-07-01,383,372.8396498521453
KOLHAPUR,2020-08-01,292,372.8396498521453
KOLHAPUR,2020-09-01,390,372.8396498521453
KOLHAPUR,2020-10-01,332,372.8396498521453
KOLHAPUR,2020-11-01,381,372.8396498521453
KOLHAPUR,2020-12-01,365,372.8396498521453
