district,date,actual,forecast,residual
AHMEDNAGAR,2020-07-01,354.0,416.8106779796065,-62.81067797960651
AHMEDNAGAR,2020-08-01,391.0,402.34887184701154,-11.348871847011537
AHMEDNAGAR,2020-09-01,417.0,423.708290681029,-6.708290681028984
AHMEDNAGAR,2020-10-01,343.0,436.46612542342916,-93.46612542342916
AHMEDNAGAR,2020-11-01,468.0,398.57291842563336,69.42708157436664
AHMEDNAGAR,2020-12-01,305.0,464.81976753417484,-159.81976753417484
AHMEDNAGAR,2021-01-01,372.0,377.32242186722704,-5.322421867227035
AHMEDNAGAR,2021-02-01,301.0,416.2002349269153,-115.2002349269153
AHMEDNAGAR,2021-03-01,316.0,374.98997237763274,-58.98997237763274
AKOLA,2020-07-01,407.0,400.533221718325,6.466778281674976
AKOLA,2020-08-01,306.0,443.7050318030638,-137.70503180306378
AKOLA,2020-09-01,504.0,412.87376121064597,91.12623878935403
AKOLA,2020-10-01,493.0,454.5698368067699,38.4301631932301
AKOLA,2020-11-01,514.0,425.7338821251574,88.26611787484262
AKOLA,2020-12-01,450.0,438.1386353700708,11.861364629929199
AKOLA,2021-01-01,481.0,426.4787488098878,54.521251190112196
AKOLA,2021-02-01,416.0,439.0659836031482,-23.065983603148197
AKOLA,2021-03-01,363.0,423.89335653540707,-60.893356535407065
AMRAVATI,2020-07-01,470,324.60498975311253,145.39501024688747
AMRAVATI,2020-08-01,482,265.1193345613035,216.8806654386965
AMRAVATI,2020-09-01,586,248.02180375306494,337.97819624693506
AMRAVATI,2020-10-01,819,188.95435533178386,630.0456446682161
AMRAVATI,2020-11-01,609,91.99766570980296,517.002334290197
AMRAVATI,2020-12-01,634,180.97906756312042,453.02093243687955
AMRAVATI,2021-01-01,472,125.937641898692,346.062358101308
AMRAVATI,2021-02-01,753,149.87875860969538,603.1212413903046
AMRAVATI,2021-03-01,457,-2.980894857032297,459.9808948570323
AURANGABAD,2020-07-01,378,429.3225948503333,-51.3225948503333
AURANGABAD,2020-08-01,729,423.245910967584,305.754089032416
AURANGABAD,2020-09-01,857,377.16357124716956,479.83642875283044
AURANGABAD,2020-10-01,889,397.51000555008983,491.48999444991017
AURANGABAD,2020-11-01,837,403.2794691551391,433.7205308448609
AURANGABAD,2020-12-01,522,406.6428472608106,115.35715273918942
AURANGABAD,2021-01-01,685,427.01428527186675,257.98571472813325
AURANGABAD,2021-02-01,477,370.30657434965576,106.69342565034424
