district,date,actual,forecast,lower_ci,upper_ci
AHMEDNAGAR,2020-06-01,5761,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2020-07-01,6225,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2020-08-01,6609,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2020-09-01,7268,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2020-10-01,6799,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2020-11-01,5248,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2020-12-01,4923,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2021-01-01,4542,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2021-02-01,4301,5533.787308180026,3211.0433917511255,7856.531224608927
AHMEDNAGAR,2021-03-01,3941,5533.787308180026,3211.0433917511255,7856.531224608927
AKOLA,2020-06-01,1889,2466.6307542210893,984.1970813648459,3949.0644270773328
AKOLA,2020-07-01,1999,2466.6307542210893,863.156589769239,4070.1049186729397
AKOLA,2020-08-01,1927,2466.6307542210893,750.6327362411539,4182.628772201025
AKOLA,2020-09-01,2604,2466.6307542210893,645.046553763264,4288.214954678915
AKOLA,2020-10-01,2342,2466.6307542210893,545.2539559318827,4388.007552510296
AKOLA,2020-11-01,2550,2466.6307542210893,450.39450748545687,4482.867000956721
AKOLA,2020-12-01,2513,2466.6307542210893,359.8017615648041,4573.4597468773745
AKOLA,2021-01-01,2215,2466.6307542210893,272.9470473153724,4660.314461126806
AKOLA,2021-02-01,1967,2466.6307542210893,189.40261290759463,4743.858895534584
AKOLA,2021-03-01,2265,2466.6307542210893,108.81655262745608,4824.444955814723
AMRAVATI,2020-06-01,3183,2359.9113637930805,1900.7970273154174,2819.0257002707435
AMRAVATI,2020-07-01,2772,2282.1084635614634,1754.2071342518202,2810.0097928711066
AMRAVATI,2020-08-01,3081,2237.9524237033215,1689.729553638183,2786.17529376846
