district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6225.0,6288.916666666667
AHMEDNAGAR,2020-08-01,6609.0,6288.916666666667
AHMEDNAGAR,2020-09-01,7268.0,6288.916666666667
AHMEDNAGAR,2020-10-01,6799.0,6288.916666666667
AHMEDNAGAR,2020-11-01,5248.0,6288.916666666667
AHMEDNAGAR,2020-12-01,4923.0,3809.0
AHMEDNAGAR,2021-01-01,4542.0,5282.111111111111
AHMEDNAGAR,2021-02-01,4301.0,4571.333333333333
AHMEDNAGAR,2021-03-01,3941.0,4571.333333333333
AKOLA,2020-07-01,1999,1967.5
AKOLA,2020-08-01,1927,2563.0
AKOLA,2020-09-01,2604,2641.5
AKOLA,2020-10-01,2342,2315.875
AKOLA,2020-11-01,2550,2394.375
AKOLA,2020-12-01,2513,3252.7083333333335
AKOLA,2021-01-01,2215,3331.2083333333335
AKOLA,2021-02-01,1967,3409.7083333333335
AKOLA,2021-03-01,2265,3488.2083333333335
AMRAVATI,2020-07-01,2772,2424.0
AMRAVATI,2020-08-01,3081,2227.6
AMRAVATI,2020-09-01,3483,2187.85
AMRAVATI,2020-10-01,3505,2241.577272727273
AMRAVATI,2020-11-01,3484,2623.2439393939394
AMRAVATI,2020-12-01,3227,2583.4939393939394
AMRAVATI,2021-01-01,2783,2543.7439393939394
AMRAVATI,2021-02-01,2216,2503.9939393939394
AMRAVATI,2021-03-01,2626,2264.9939393939394
AURANGABAD,2020-07-01,5621,5554.5
AURANGABAD,2020-08-01,5821,5273.0
AURANGABAD,2020-09-01,6050,4991.5
AURANGABAD,2020-10-01,6041,4710.0
AURANGABAD,2020-11-01,6010,4428.5
AURANGABAD,2020-12-01,6373,4409.0
AURANGABAD,2021-01-01,6136,3768.5
AURANGABAD,2021-02-01,5864,3749.0
AURANGABAD,2021-03-01,5897,3729.5
BEED,2020-07-01,2942.0,2440.5555555555557
BEED,2020-08-01,2934.0,2440.5555555555557
BEED,2020-09-01,2943.0,2440.5555555555557
BEED,2020-10-01,3112.0,2440.5555555555557
BEED,2020-11-01,2812.0,2440.5555555555557
BEED,2020-12-01,2752.0,2440.5555555555557
BEED,2021-01-01,2275.0,2440.5555555555557
BEED,2021-02-01,2079.0,3477.0
BEED,2021-03-01,2382.0,1825.5
BHANDARA,2020-07-01,1119,1010.2857142857143
BHANDARA,2020-08-01,1256,1095.6607142857142
BHANDARA,2020-09-01,1297,1007.9464285714286
BHANDARA,2020-10-01,1524,1019.2191558441559
BHANDARA,2020-11-01,1320,931.5048701298701
BHANDARA,2020-12-01,1448,849.1715367965369
BHANDARA,2021-01-01,1100,761.4572510822511
BHANDARA,2021-02-01,954,772.7299783549784
BHANDARA,2021-03-01,1076,858.1049783549784
BULDHANA,2020-07-01,1172,1086.1666666666667
BULDHANA,2020-08-01,1332,1041.3333333333333
BULDHANA,2020-09-01,1442,942.0833333333333
BULDHANA,2020-10-01,1664,1028.0833333333333
BULDHANA,2020-11-01,1582,1114.0833333333333
BULDHANA,2020-12-01,1464,1161.810606060606
BULDHANA,2021-01-01,1211,1209.5378787878788
BULDHANA,2021-02-01,1338,1359.7878787878788
BULDHANA,2021-03-01,1567,1260.5378787878788
CHANDRAPUR,2020-07-01,1983.0,2270.75
CHANDRAPUR,2020-08-01,2295.0,2270.75
CHANDRAPUR,2020-09-01,2647.0,1825.8333333333333
CHANDRAPUR,2020-10-01,2760.0,1825.8333333333333
CHANDRAPUR,2020-11-01,2186.0,1825.8333333333333
CHANDRAPUR,2020-12-01,1946.0,1825.8333333333333
CHANDRAPUR,2021-01-01,1652.0,1825.8333333333333
CHANDRAPUR,2021-02-01,1528.0,1538.2857142857142
CHANDRAPUR,2021-03-01,1680.0,1320.6666666666667
DHULE,2020-07-01,1662.0,1535.875
DHULE,2020-08-01,2372.0,1914.5
DHULE,2020-09-01,2023.0,1914.5
DHULE,2020-10-01,2028.0,1425.5555555555557
DHULE,2020-11-01,1809.0,1425.5555555555557
DHULE,2020-12-01,1803.0,1745.0
DHULE,2021-01-01,1700.0,1745.0
DHULE,2021-02-01,1662.0,1745.0
DHULE,2021-03-01,1633.0,1425.5555555555557
GADCHIROLI,2020-07-01,1238.0,1176.0
GADCHIROLI,2020-08-01,1510.0,1178.0
GADCHIROLI,2020-09-01,1648.0,1645.625
GADCHIROLI,2020-10-01,1751.0,1645.625
GADCHIROLI,2020-11-01,1807.0,1645.625
GADCHIROLI,2020-12-01,1797.0,1481.5
GADCHIROLI,2021-01-01,1553.0,1335.0
GADCHIROLI,2021-02-01,1320.0,1335.0
GADCHIROLI,2021-03-01,1502.0,1317.1666666666667
GONDIA,2020-07-01,973.0,887.0
GONDIA,2020-08-01,997.0,745.0
GONDIA,2020-09-01,986.0,745.0
GONDIA,2020-10-01,1065.0,887.0
GONDIA,2020-11-01,934.0,887.0
GONDIA,2020-12-01,990.0,887.0
GONDIA,2021-01-01,953.0,745.0
GONDIA,2021-02-01,1090.0,887.0
GONDIA,2021-03-01,1022.0,745.0
HINGOLI,2020-07-01,1043.0,879.6
HINGOLI,2020-08-01,1101.0,930.0
HINGOLI,2020-09-01,1343.0,1249.375
HINGOLI,2020-10-01,1229.0,1249.375
HINGOLI,2020-11-01,1073.0,1249.375
HINGOLI,2020-12-01,996.0,930.0
HINGOLI,2021-01-01,848.0,930.0
HINGOLI,2021-02-01,788.0,879.6
HINGOLI,2021-03-01,890.0,1120.75
JALGAON,2020-07-01,3714,4874.0
JALGAON,2020-08-01,15827,4871.5
JALGAON,2020-09-01,5302,4601.9
JALGAON,2020-10-01,4900,4950.233333333334
JALGAON,2020-11-01,4163,5513.233333333334
JALGAON,2020-12-01,6939,6441.233333333334
