district,date,actual,forecast
AHMEDNAGAR,2020-06-01,5761,5670.582900313841
AHMEDNAGAR,2020-07-01,6225,5670.582900313841
AHMEDNAGAR,2020-08-01,6609,5670.582900313841
AHMEDNAGAR,2020-09-01,7268,5670.582900313841
AHMEDNAGAR,2020-10-01,6799,5670.582900313841
AHMEDNAGAR,2020-11-01,5248,5670.582900313841
AHMEDNAGAR,2020-12-01,4923,5670.582900313841
AHMEDNAGAR,2021-01-01,4542,5670.582900313841
AHMEDNAGAR,2021-02-01,4301,5670.582900313841
AHMEDNAGAR,2021-03-01,3941,5670.582900313841
AKOLA,2020-06-01,1889,2485.768404403654
AKOLA,2020-07-01,1999,2485.768404403654
AKOLA,2020-08-01,1927,2485.768404403654
AKOLA,2020-09-01,2604,2485.768404403654
AKOLA,2020-10-01,2342,2485.768404403654
AKOLA,2020-11-01,2550,2485.768404403654
AKOLA,2020-12-01,2513,2485.768404403654
AKOLA,2021-01-01,2215,2485.768404403654
AKOLA,2021-02-01,1967,2485.768404403654
AKOLA,2021-03-01,2265,2485.768404403654
AMRAVATI,2020-06-01,3183,2474.910259554872
AMRAVATI,2020-07-01,2772,2474.910259554872
AMRAVATI,2020-08-01,3081,2474.910259554872
AMRAVATI,2020-09-01,3483,2474.910259554872
AMRAVATI,2020-10-01,3505,2474.910259554872
AMRAVATI,2020-11-01,3484,2474.910259554872
AMRAVATI,2020-12-01,3227,2474.910259554872
AMRAVATI,2021-01-01,2783,2474.910259554872
AMRAVATI,2021-02-01,2216,2474.910259554872
AMRAVATI,2021-03-01,2626,2474.910259554872
AURANGABAD,2020-06-01,5574,5776.362666573405
AURANGABAD,2020-07-01,5621,5776.362666573405
AURANGABAD,2020-08-01,5821,5776.362666573405
AURANGABAD,2020-09-01,6050,5776.362666573405
AURANGABAD,2020-10-01,6041,5776.362666573405
AURANGABAD,2020-11-01,6010,5776.362666573405
AURANGABAD,2020-12-01,6373,5776.362666573405
AURANGABAD,2021-01-01,6136,5776.362666573405
AURANGABAD,2021-02-01,5864,5776.362666573405
AURANGABAD,2021-03-01,5897,5776.362666573405
BEED,2020-06-01,2392,2393.065610800043
BEED,2020-07-01,2942,2393.065610800043
BEED,2020-08-01,2934,2393.065610800043
BEED,2020-09-01,2943,2393.065610800043
BEED,2020-10-01,3112,2393.065610800043
BEED,2020-11-01,2812,2393.065610800043
BEED,2020-12-01,2752,2393.065610800043
BEED,2021-01-01,2275,2393.065610800043
BEED,2021-02-01,2079,2393.065610800043
BEED,2021-03-01,2382,2393.065610800043
BHANDARA,2020-06-01,1098,969.730040114467
BHANDARA,2020-07-01,1119,969.730040114467
BHANDARA,2020-08-01,1256,969.730040114467
BHANDARA,2020-09-01,1297,969.730040114467
BHANDARA,2020-10-01,1524,969.730040114467
BHANDARA,2020-11-01,1320,969.730040114467
BHANDARA,2020-12-01,1448,969.730040114467
BHANDARA,2021-01-01,1100,969.730040114467
BHANDARA,2021-02-01,954,969.730040114467
BHANDARA,2021-03-01,1076,969.730040114467
BULDHANA,2020-06-01,1131,1092.355948484411
BULDHANA,2020-07-01,1172,1092.355948484411
BULDHANA,2020-08-01,1332,1092.355948484411
BULDHANA,2020-09-01,1442,1092.355948484411
BULDHANA,2020-10-01,1664,1092.355948484411
BULDHANA,2020-11-01,1582,1092.355948484411
BULDHANA,2020-12-01,1464,1092.355948484411
BULDHANA,2021-01-01,1211,1092.355948484411
BULDHANA,2021-02-01,1338,1092.355948484411
BULDHANA,2021-03-01,1567,1092.355948484411
CHANDRAPUR,2020-06-01,1843,1633.4760298443452
CHANDRAPUR,2020-07-01,1983,1633.4760298443452
CHANDRAPUR,2020-08-01,2295,1633.4760298443452
CHANDRAPUR,2020-09-01,2647,1633.4760298443452
CHANDRAPUR,2020-10-01,2760,1633.4760298443452
CHANDRAPUR,2020-11-01,2186,1633.4760298443452
CHANDRAPUR,2020-12-01,1946,1633.4760298443452
CHANDRAPUR,2021-01-01,1652,1633.4760298443452
CHANDRAPUR,2021-02-01,1528,1633.4760298443452
CHANDRAPUR,2021-03-01,1680,1633.4760298443452
DHULE,2020-06-01,1791,1440.4978826544166
DHULE,2020-07-01,1662,1440.4978826544166
DHULE,2020-08-01,2372,1440.4978826544166
DHULE,2020-09-01,2023,1440.4978826544166
DHULE,2020-10-01,2028,1440.4978826544166
DHULE,2020-11-01,1809,1440.4978826544166
DHULE,2020-12-01,1803,1440.4978826544166
DHULE,2021-01-01,1700,1440.4978826544166
DHULE,2021-02-01,1662,1440.4978826544166
DHULE,2021-03-01,1633,1440.4978826544166
GADCHIROLI,2020-06-01,1153,1161.7025259057375
GADCHIROLI,2020-07-01,1238,1161.7025259057375
GADCHIROLI,2020-08-01,1510,1161.7025259057375
GADCHIROLI,2020-09-01,1648,1161.7025259057375
GADCHIROLI,2020-10-01,1751,1161.7025259057375
GADCHIROLI,2020-11-01,1807,1161.7025259057375
GADCHIROLI,2020-12-01,1797,1161.7025259057375
GADCHIROLI,2021-01-01,1553,1161.7025259057375
GADCHIROLI,2021-02-01,1320,1161.7025259057375
GADCHIROLI,2021-03-01,1502,1161.7025259057375
GONDIA,2020-06-01,905,980.7080759097114
GONDIA,2020-07-01,973,980.7080759097114
GONDIA,2020-08-01,997,980.7080759097114
GONDIA,2020-09-01,986,980.7080759097114
GONDIA,2020-10-01,1065,980.7080759097114
GONDIA,2020-11-01,934,980.7080759097114
GONDIA,2020-12-01,990,980.7080759097114
GONDIA,2021-01-01,953,980.7080759097114
GONDIA,2021-02-01,1090,980.7080759097114
GONDIA,2021-03-01,1022,980.7080759097114
HINGOLI,2020-06-01,891,966.9752326297803
HINGOLI,2020-07-01,1043,966.9752326297803
HINGOLI,2020-08-01,1101,966.9752326297803
HINGOLI,2020-09-01,1343,966.9752326297803
HINGOLI,2020-10-01,1229,966.9752326297803
HINGOLI,2020-11-01,1073,966.9752326297803
HINGOLI,2020-12-01,996,966.9752326297803
HINGOLI,2021-01-01,848,966.9752326297803
HINGOLI,2021-02-01,788,966.9752326297803
HINGOLI,2021-03-01,890,966.9752326297803
JALGAON,2020-06-01,4311,4278.292151069064
JALGAON,2020-07-01,3714,4278.292151069064
JALGAON,2020-08-01,15827,4278.292151069064
JALGAON,2020-09-01,5302,4278.292151069064
JALGAON,2020-10-01,4900,4278.292151069064
JALGAON,2020-11-01,4163,4278.292151069064
JALGAON,2020-12-01,6939,4278.292151069064
JALGAON,2021-01-01,3425,4278.292151069064
JALGAON,2021-02-01,3322,4278.292151069064
JALGAON,2021-03-01,2919,4278.292151069064
JALNA,2020-06-01,1794,1638.001759080569
JALNA,2020-07-01,1894,1638.001759080569
JALNA,2020-08-01,1719,1638.001759080569
JALNA,2020-09-01,1730,1638.001759080569
JALNA,2020-10-01,2115,1638.001759080569
JALNA,2020-11-01,1968,1638.001759080569
JALNA,2020-12-01,1879,1638.001759080569
JALNA,2021-01-01,936,1638.001759080569
JALNA,2021-02-01,997,1638.001759080569
JALNA,2021-03-01,830,1638.001759080569
KOLHAPUR,2020-06-01,6692,6893.568966099478
KOLHAPUR,2020-07-01,6281,6893.568966099478
KOLHAPUR,2020-08-01,6879,6893.568966099478
KOLHAPUR,2020-09-01,7432,6893.568966099478
KOLHAPUR,2020-10-01,6246,6893.568966099478
KOLHAPUR,2020-11-01,5778,6893.568966099478
KOLHAPUR,2020-12-01,5687,6893.568966099478
KOLHAPUR,2021-01-01,5502,6893.568966099478
KOLHAPUR,2021-02-01,5141,6893.568966099478
KOLHAPUR,2021-03-01,4987,6893.568966099478
LATUR,2020-06-01,3154,2929.00154035068
LATUR,2020-07-01,2947,2929.00154035068
LATUR,2020-08-01,3092,2929.00154035068
LATUR,2020-09-01,3775,2929.00154035068
