district,date,actual,forecast
AHMEDNAGAR,2020-06-01,5761,6581.872315170605
AHMEDNAGAR,2020-07-01,6225,5830.747154305395
AHMEDNAGAR,2020-08-01,6609,5984.308492858927
AHMEDNAGAR,2020-09-01,7268,6256.978277441581
AHMEDNAGAR,2020-10-01,6799,6103.416938888049
AHMEDNAGAR,2020-11-01,5248,5830.747154305395
AHMEDNAGAR,2020-12-01,4923,5984.308492858927
AHMEDNAGAR,2021-01-01,4542,6256.978277441581
AHMEDNAGAR,2021-02-01,4301,6103.416938888049
AHMEDNAGAR,2021-03-01,3941,5830.747154305395
AKOLA,2020-06-01,1889,2190.103003552487
AKOLA,2020-07-01,1999,2519.9508222731383
AKOLA,2020-08-01,1927,2447.42818685549
AKOLA,2020-09-01,2604,2433.340575599357
AKOLA,2020-10-01,2342,2910.790435769348
AKOLA,2020-11-01,2550,3223.358194958272
AKOLA,2020-12-01,2513,3150.8355595406238
AKOLA,2021-01-01,2215,3136.7479482844906
AKOLA,2021-02-01,1967,3614.1978084544817
AKOLA,2021-03-01,2265,3926.7655676434056
AMRAVATI,2020-06-01,3183,2264.703953744513
AMRAVATI,2020-07-01,2772,2268.396803758693
AMRAVATI,2020-08-01,3081,2267.9530920449847
AMRAVATI,2020-09-01,3483,2081.028139721124
AMRAVATI,2020-10-01,3505,2035.8956757051972
AMRAVATI,2020-11-01,3484,2169.297916508052
AMRAVATI,2020-12-01,3227,1823.7659911893136
AMRAVATI,2021-01-01,2783,1738.5420829776897
AMRAVATI,2021-02-01,2216,1924.223469036016
AMRAVATI,2021-03-01,2626,1877.8720710171583
AURANGABAD,2020-06-01,5574,5730.036846378061
AURANGABAD,2020-07-01,5621,5560.265789829552
AURANGABAD,2020-08-01,5821,5571.277273444903
AURANGABAD,2020-09-01,6050,5401.506216896394
AURANGABAD,2020-10-01,6041,5426.031088034919
AURANGABAD,2020-11-01,6010,5256.26003148641
AURANGABAD,2020-12-01,6373,5280.784902624935
AURANGABAD,2021-01-01,6136,5111.0138460764265
AURANGABAD,2021-02-01,5864,5135.538717214951
AURANGABAD,2021-03-01,5897,4965.767660666443
BEED,2020-06-01,2392,2289.2281806814703
BEED,2020-07-01,2942,2289.2281806814703
BEED,2020-08-01,2934,2393.337851506611
BEED,2020-09-01,2943,2393.337851506611
