district,model,RMSE
AHMEDNAGAR,ANN,669.757494553255
AKOLA,HUBER,285.2480725760571
AMRAVATI,KNN,435.70551827648814
AURANGABAD,EXP,278.23123445087475
BEED,HUBER,318.73505258841044
BHANDARA,BAYESIAN,202.3918418926256
BULDHANA,LGBM,217.49995241555163
CHANDRAPUR,HUBER,277.99691285216534
DHULE,LGBM,281.6729968318723
GADCHIROLI,RIDGE,158.51568900425318
GONDIA,EXP,54.65817071189404
HINGOLI,RF,106.53194163671704
JALGAON,PROPHET,2113.665873006927
JALNA,SARIMA,387.80164704020683
KOLHAPUR,TBATS,958.5412621928299
LATUR,PROPHET,258.78915022183287
MUMBAI,LINEAR,639.7530067430447
MUMBAI SUBURBAN,ARIMA,861.7158332395448
NAGPUR,PROPHET,270.89109194300414
NANDED,GB,798.5176101030645
NANDURBAR,PROPHET,274.0637325991082
NASHIK,SARIMA,824.9957876461074
OSMANABAD,RIDGE,254.8983323826759
PALGHAR,BAYESIAN,477.4957698504846
PARBHANI,EXP,424.0973464668312
PUNE,PROPHET,1062.391328190097
RAIGAD,PROPHET,675.0664261351493
RATNAGIRI,PROPHET,327.1887173597828
SANGLI,DT,739.859920495618
SATARA,HUBER,330.9771652138322
SINDHUDURG,EXP,52.168778777953186
SOLAPUR,LGBM,1226.8683736189369
THANE,LINEAR,2419.483606987477
WARDHA,EXP,153.94355629228187
WASHIM,TBATS,76.77579021359796
YAVATMAL,TBATS,437.6825348873966
