district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6225.0,5876.579270573055
AHMEDNAGAR,2020-08-01,6609.0,5876.579270573055
AHMEDNAGAR,2020-09-01,7268.0,5746.849145437811
AHMEDNAGAR,2020-10-01,6799.0,5746.849145437811
AHMEDNAGAR,2020-11-01,5248.0,5450.242791742843
AHMEDNAGAR,2020-12-01,4923.0,5569.361432729935
AHMEDNAGAR,2021-01-01,4542.0,5576.296336460679
AHMEDNAGAR,2021-02-01,4301.0,5609.710415875076
AHMEDNAGAR,2021-03-01,3941.0,5187.618549945655
AKOLA,2020-07-01,1999,1804.6950061976195
AKOLA,2020-08-01,1927,1904.1956643612903
AKOLA,2020-09-01,2604,2003.6963225249608
AKOLA,2020-10-01,2342,2045.3835767035755
AKOLA,2020-11-01,2550,2144.8842348672465
AKOLA,2020-12-01,2513,2244.384893030917
AKOLA,2021-01-01,2215,2343.8855511945876
AKOLA,2021-02-01,1967,2443.3862093582584
AKOLA,2021-03-01,2265,2542.886867521929
AMRAVATI,2020-07-01,2772,3098.5804192654596
AMRAVATI,2020-08-01,3081,3160.240070680372
AMRAVATI,2020-09-01,3483,3182.3225289390402
AMRAVATI,2020-10-01,3505,3222.8397286920017
AMRAVATI,2020-11-01,3484,3229.7959232680873
AMRAVATI,2020-12-01,3227,3226.6429459804626
AMRAVATI,2021-01-01,2783,3271.1173225753864
AMRAVATI,2021-02-01,2216,3322.037337567786
AMRAVATI,2021-03-01,2626,3348.57769141182
AURANGABAD,2020-07-01,5621,5686.018027799537
AURANGABAD,2020-08-01,5821,5441.514960477517
AURANGABAD,2020-09-01,6050,5232.115345526487
AURANGABAD,2020-10-01,6041,4998.470557540878
AURANGABAD,2020-11-01,6010,4761.388438744821
AURANGABAD,2020-12-01,6373,4755.488494483005
AURANGABAD,2021-01-01,6136,4772.36570827057
AURANGABAD,2021-02-01,5864,4821.004543854609
AURANGABAD,2021-03-01,5897,4706.911094591073
BEED,2020-07-01,2942.0,2287.273358454721
BEED,2020-08-01,2934.0,2360.7301454721005
BEED,2020-09-01,2943.0,2373.450403303763
BEED,2020-10-01,3112.0,2443.462379709154
BEED,2020-11-01,2812.0,2411.1018806617503
BEED,2020-12-01,2752.0,2443.462379709154
BEED,2021-01-01,2275.0,2443.462379709154
BEED,2021-02-01,2079.0,2741.183260347818
BEED,2021-03-01,2382.0,2254.4221327767987
BHANDARA,2020-07-01,1119,1087.3953809239636
BHANDARA,2020-08-01,1256,1095.828155225123
BHANDARA,2020-09-01,1297,1081.3677203512068
BHANDARA,2020-10-01,1524,1089.8004946523663
BHANDARA,2020-11-01,1320,1074.5773921552034
BHANDARA,2020-12-01,1448,1069.887765256548
BHANDARA,2021-01-01,1100,1055.4285747794345
BHANDARA,2021-02-01,954,1069.3847765186988
BHANDARA,2021-03-01,1076,1089.349801190443
BULDHANA,2020-07-01,1172,1132.0379319454698
BULDHANA,2020-08-01,1332,1126.851005253088
BULDHANA,2020-09-01,1442,1112.511724511116
BULDHANA,2020-10-01,1664,1095.3834381229592
BULDHANA,2020-11-01,1582,1076.5715083390405
BULDHANA,2020-12-01,1464,1064.4322170267806
BULDHANA,2021-01-01,1211,1050.5657765963774
BULDHANA,2021-02-01,1338,1058.6164220510389
BULDHANA,2021-03-01,1567,1045.472612990327
CHANDRAPUR,2020-07-01,1983.0,2013.1969499204104
CHANDRAPUR,2020-08-01,2295.0,1840.609843687189
CHANDRAPUR,2020-09-01,2647.0,1776.5604644800858
CHANDRAPUR,2020-10-01,2760.0,1764.3463811467525
CHANDRAPUR,2020-11-01,2186.0,1764.3463811467525
CHANDRAPUR,2020-12-01,1946.0,1764.3463811467525
CHANDRAPUR,2021-01-01,1652.0,1757.279913516281
CHANDRAPUR,2021-02-01,1528.0,1596.4233577704808
CHANDRAPUR,2021-03-01,1680.0,1613.605934015885
DHULE,2020-07-01,1662.0,1597.770922595462
DHULE,2020-08-01,2372.0,1596.4880094135576
DHULE,2020-09-01,2023.0,1606.0839288986772
DHULE,2020-10-01,2028.0,1577.6679145734017
DHULE,2020-11-01,1809.0,1622.658859856579
DHULE,2020-12-01,1803.0,1629.8983407454014
DHULE,2021-01-01,1700.0,1617.775680321379
DHULE,2021-02-01,1662.0,1590.6078702188877
DHULE,2021-03-01,1633.0,1590.6078702188877
GADCHIROLI,2020-07-01,1238.0,1300.25712046804
GADCHIROLI,2020-08-01,1510.0,1353.2641875178058
