district,rmse,r_squared,best_params,differencing,best_iteration,feature_importances
AHMEDNAGAR,992.97495741708,0.6390699061228919,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,82,"[0.7397993096413314, 0.11355414918325463, 0.14664654117541387]"
AKOLA,340.53382143423113,0.15280086865832376,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,11,"[0.6894868451586329, 0.0, 0.31051315484136716]"
AMRAVATI,508.94996395522065,0.14565860164593636,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,22,"[0.48280693749064874, 0.3728704453387193, 0.14432261717063183]"
AURANGABAD,1077.1909504125088,0.8574577843181879,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",1,39,"[0.5509015912523222, 0.22166349271703048, 0.22743491603064742]"
BEED,501.96189709220346,0.5564600009971525,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0,12,"[0.47076558658767287, 0.20662489491752162, 0.3226095184948056]"
BHANDARA,231.02668354074237,0.17490595082872284,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",1,11,"[0.7324057165308183, 0.06366081138613185, 0.20393347208304988]"
BULDHANA,375.12485439961614,0.1354349505759488,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,11,"[0.4919372372648241, 0.2851020918134297, 0.22296067092174626]"
CHANDRAPUR,492.9882783462475,0.49226525471964155,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0,11,"[0.7414722798911645, 0.15949411061448515, 0.09903360949435033]"
DHULE,343.26928075494186,0.11856059365869098,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,11,"[0.43357301699510453, 0.40187488556557527, 0.16455209743932023]"
GADCHIROLI,210.98491188753306,0.7547536682682117,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0,11,"[0.6050410447043234, 0.30582199284531136, 0.08913696245036523]"
