district,date,actual,forecast
AHMEDNAGAR,2020-07-01,6225.0,6129.969395548895
AHMEDNAGAR,2020-08-01,6609.0,6249.325250962837
AHMEDNAGAR,2020-09-01,7268.0,6333.878490988462
AHMEDNAGAR,2020-10-01,6799.0,5990.239354628273
AHMEDNAGAR,2020-11-01,5248.0,6003.371396510967
AHMEDNAGAR,2020-12-01,4923.0,5601.361565560205
AHMEDNAGAR,2021-01-01,4542.0,5363.73044115279
AHMEDNAGAR,2021-02-01,4301.0,5052.877196840407
AHMEDNAGAR,2021-03-01,3941.0,5641.93993813499
AKOLA,2020-07-01,1999,1222.7142857142858
AKOLA,2020-08-01,1927,1306.0
AKOLA,2020-09-01,2604,1368.5714285714284
AKOLA,2020-10-01,2342,1602.2857142857142
AKOLA,2020-11-01,2550,1508.857142857143
AKOLA,2020-12-01,2513,1674.4285714285713
AKOLA,2021-01-01,2215,1762.7142857142858
AKOLA,2021-02-01,1967,1849.0
AKOLA,2021-03-01,2265,2170.0
AMRAVATI,2020-07-01,2772,3112.3000541185693
AMRAVATI,2020-08-01,3081,3087.942381430158
AMRAVATI,2020-09-01,3483,3006.7616543377144
AMRAVATI,2020-10-01,3505,2844.3943465875464
AMRAVATI,2020-11-01,3484,2887.493919531619
AMRAVATI,2020-12-01,3227,2826.3323219584404
AMRAVATI,2021-01-01,2783,2751.5363748350514
AMRAVATI,2021-02-01,2216,2792.44343275264
AMRAVATI,2021-03-01,2626,2908.608368739226
AURANGABAD,2020-07-01,5621,5657.666666666667
AURANGABAD,2020-08-01,5821,5706.333333333333
AURANGABAD,2020-09-01,6050,5604.333333333333
AURANGABAD,2020-10-01,6041,5513.222222222223
AURANGABAD,2020-11-01,6010,5365.111111111111
AURANGABAD,2020-12-01,6373,5241.666666666667
AURANGABAD,2021-01-01,6136,5165.666666666667
AURANGABAD,2021-02-01,5864,5080.444444444444
AURANGABAD,2021-03-01,5897,5144.888888888889
BEED,2020-07-01,2942.0,2521.7844370862276
BEED,2020-08-01,2934.0,2554.677284985113
BEED,2020-09-01,2943.0,2466.3377844139422
BEED,2020-10-01,3112.0,2497.946914695269
BEED,2020-11-01,2812.0,2428.3752256821454
BEED,2020-12-01,2752.0,2360.5848239416177
BEED,2021-01-01,2275.0,2401.9813488817763
BEED,2021-02-01,2079.0,2309.8355658572855
BEED,2021-03-01,2382.0,2237.8562935848754
BHANDARA,2020-07-01,1119,1088.857142857143
BHANDARA,2020-08-01,1256,1068.0
BHANDARA,2020-09-01,1297,1048.7142857142858
BHANDARA,2020-10-01,1524,1055.5714285714287
BHANDARA,2020-11-01,1320,1026.4285714285713
BHANDARA,2020-12-01,1448,1026.5714285714287
BHANDARA,2021-01-01,1100,1088.142857142857
BHANDARA,2021-02-01,954,1065.5714285714287
BHANDARA,2021-03-01,1076,1132.5714285714287
BULDHANA,2020-07-01,1172,1121.5555555555557
BULDHANA,2020-08-01,1332,1130.888888888889
BULDHANA,2020-09-01,1442,1131.2222222222222
BULDHANA,2020-10-01,1664,1145.111111111111
BULDHANA,2020-11-01,1582,1101.4444444444443
BULDHANA,2020-12-01,1464,1133.888888888889
BULDHANA,2021-01-01,1211,1143.6666666666667
BULDHANA,2021-02-01,1338,1167.2222222222222
BULDHANA,2021-03-01,1567,1151.0
CHANDRAPUR,2020-07-01,1983.0,1838.0
CHANDRAPUR,2020-08-01,2295.0,1854.111111111111
CHANDRAPUR,2020-09-01,2647.0,1955.0
CHANDRAPUR,2020-10-01,2760.0,1919.0
CHANDRAPUR,2020-11-01,2186.0,1788.6666666666667
CHANDRAPUR,2020-12-01,1946.0,1654.5555555555557
CHANDRAPUR,2021-01-01,1652.0,1539.7777777777778
CHANDRAPUR,2021-02-01,1528.0,1525.3333333333333
CHANDRAPUR,2021-03-01,1680.0,1535.6666666666667
DHULE,2020-07-01,1662.0,1699.0
DHULE,2020-08-01,2372.0,1562.6
DHULE,2020-09-01,2023.0,1689.8
DHULE,2020-10-01,2028.0,1713.4
DHULE,2020-11-01,1809.0,1613.6
DHULE,2020-12-01,1803.0,1703.6
DHULE,2021-01-01,1700.0,1422.2
DHULE,2021-02-01,1662.0,1353.0
DHULE,2021-03-01,1633.0,1415.0
GADCHIROLI,2020-07-01,1238.0,1305.044942545656
GADCHIROLI,2020-08-01,1510.0,1370.261249929095
GADCHIROLI,2020-09-01,1648.0,1523.5352600891497
GADCHIROLI,2020-10-01,1751.0,1619.1349425316514
GADCHIROLI,2020-11-01,1807.0,1598.5388199922725
GADCHIROLI,2020-12-01,1797.0,1540.0829779865296
GADCHIROLI,2021-01-01,1553.0,1427.0183104984742
GADCHIROLI,2021-02-01,1320.0,1368.6425078657066
GADCHIROLI,2021-03-01,1502.0,1271.3354703521463
GONDIA,2020-07-01,973.0,871.0
GONDIA,2020-08-01,997.0,834.0
GONDIA,2020-09-01,986.0,841.0
GONDIA,2020-10-01,1065.0,834.6666666666666
GONDIA,2020-11-01,934.0,871.0
GONDIA,2020-12-01,990.0,841.0
GONDIA,2021-01-01,953.0,741.0
GONDIA,2021-02-01,1090.0,745.6666666666666
GONDIA,2021-03-01,1022.0,812.0
HINGOLI,2020-07-01,1043.0,966.8473445516581
HINGOLI,2020-08-01,1101.0,1033.5244104487058
HINGOLI,2020-09-01,1343.0,1071.0575781673215
HINGOLI,2020-10-01,1229.0,1364.495070734802
HINGOLI,2020-11-01,1073.0,1250.8719175252925
HINGOLI,2020-12-01,996.0,1068.6006385764456
HINGOLI,2021-01-01,848.0,948.0024753264785
HINGOLI,2021-02-01,788.0,922.4183354091701
HINGOLI,2021-03-01,890.0,914.471454908322
