district,rmse,r_squared,best_params,differencing
AHMEDNAGAR,809.9745702359075,0.8181060124118725,"{'max_depth': 5, 'n_estimators': 200}",0
AKOLA,1025.30487593306,0.8288697146036039,"{'max_depth': 5, 'n_estimators': 200}",1
AMRAVATI,582.6202524393093,0.8488879614900325,"{'max_depth': 10, 'n_estimators': 100}",1
AURANGABAD,947.9507271184743,0.862569467853436,"{'max_depth': None, 'n_estimators': 100}",1
BEED,459.8883916418737,0.8304735897493412,"{'max_depth': 5, 'n_estimators': 200}",0
BHANDARA,232.6824358301846,0.7670936002309588,"{'max_depth': 5, 'n_estimators': 200}",1
BULDHANA,253.04119087067215,0.8344008853600906,"{'max_depth': 10, 'n_estimators': 200}",1
CHANDRAPUR,420.60495869045576,0.8662617484130078,"{'max_depth': None, 'n_estimators': 200}",0
DHULE,316.2820701042733,0.8430345294710773,"{'max_depth': None, 'n_estimators': 200}",0
GADCHIROLI,171.11905689704267,0.8752701284169231,"{'max_depth': 10, 'n_estimators': 100}",0
GONDIA,226.04432649440014,0.8343376275186326,"{'max_depth': 5, 'n_estimators': 200}",0
HINGOLI,106.53194163671704,0.9467211507637783,"{'max_depth': None, 'n_estimators': 100}",0
JALGAON,4011.249140661242,0.8173157505046607,"{'max_depth': None, 'n_estimators': 100}",1
JALNA,587.6191335782236,0.831589700940117,"{'max_depth': None, 'n_estimators': 200}",1
KOLHAPUR,8413.818375875619,0.8538254145854498,"{'max_depth': 10, 'n_estimators': 100}",1
LATUR,458.47637421560654,0.8641222320507911,"{'max_depth': None, 'n_estimators': 200}",1
MUMBAI,1990.558981819444,0.8145504465023113,"{'max_depth': 10, 'n_estimators': 200}",1
NAGPUR,583.4772465773382,0.830120758753094,"{'max_depth': 5, 'n_estimators': 100}",1
NANDED,862.5632071660725,0.9413677458085402,"{'max_depth': 5, 'n_estimators': 100}",0
NANDURBAR,477.0487436467567,0.8170717954698608,"{'max_depth': 5, 'n_estimators': 100}",1
NASHIK,1332.9436289010039,0.8690939813509043,"{'max_depth': None, 'n_estimators': 200}",1
OSMANABAD,284.63332698070707,0.8488933866780088,"{'max_depth': 5, 'n_estimators': 200}",1
PALGHAR,736.4550395876373,0.7877078162092452,"{'max_depth': 5, 'n_estimators': 200}",1
PARBHANI,468.3002386850348,0.8174414887977723,"{'max_depth': 5, 'n_estimators': 100}",0
PUNE,1441.8040757941355,0.858618801537754,"{'max_depth': 5, 'n_estimators': 200}",0
RAIGAD,1665.5327580353649,0.8781437935261543,"{'max_depth': None, 'n_estimators': 100}",1
RATNAGIRI,461.21207984746263,0.8761927306362839,"{'max_depth': None, 'n_estimators': 200}",0
SANGLI,822.8770099946757,0.8698866419087169,"{'max_depth': 10, 'n_estimators': 100}",0
SATARA,1105.1908376082988,0.8832261661135326,"{'max_depth': None, 'n_estimators': 100}",1
SINDHUDURG,70.69185315704898,0.8410829533385956,"{'max_depth': None, 'n_estimators': 200}",1
SOLAPUR,2357.5731604625407,0.8407081028129978,"{'max_depth': None, 'n_estimators': 100}",1
THANE,2870.7190490150333,0.864545341946885,"{'max_depth': None, 'n_estimators': 100}",1
WARDHA,264.71583968054836,0.8170318640357006,"{'max_depth': None, 'n_estimators': 100}",1
WASHIM,95.61063550107427,0.8340636364933579,"{'max_depth': 5, 'n_estimators': 100}",0
YAVATMAL,517.5270878958034,0.8283769615141703,"{'max_depth': 5, 'n_estimators': 100}",0
MUMBAI SUBURBAN,1569.0283704653018,0.869653491724216,"{'max_depth': None, 'n_estimators': 200}",1
