district,date,actual,forecast
AMRAVATI,2020-07-01,1905,2231.6226
AMRAVATI,2020-08-01,1776,2146.7576
AMRAVATI,2020-09-01,1794,2327.0688
AMRAVATI,2020-10-01,1814,2226.857
AMRAVATI,2020-11-01,1896,2252.7068
AMRAVATI,2020-12-01,2379,2147.3198
AMRAVATI,2021-01-01,2249,2349.7568
AMRAVATI,2021-02-01,2476,2046.112
AMRAVATI,2021-03-01,2570,2204.7734
GONDIA,2020-07-01,1454,1463.4668
GONDIA,2020-08-01,1331,1574.9144
GONDIA,2020-09-01,1309,1443.4753
GONDIA,2020-10-01,1341,1263.5713
GONDIA,2020-11-01,1444,1144.6033
GONDIA,2020-12-01,1405,1182.2897
GONDIA,2021-01-01,1340,1214.2208
GONDIA,2021-02-01,1508,1436.0997
GONDIA,2021-03-01,1746,1545.7386
JALNA,2020-07-01,2128,1849.0872
JALNA,2020-08-01,1604,1729.9977
JALNA,2020-09-01,1731,1351.0798
JALNA,2020-10-01,1698,1638.3997
JALNA,2020-11-01,1869,1213.9722
JALNA,2020-12-01,2109,1836.9534
JALNA,2021-01-01,2118,1907.8279
JALNA,2021-02-01,1948,1820.2926
JALNA,2021-03-01,1905,1583.3958
NANDED,2020-07-01,4668,4937.944
NANDED,2020-08-01,4358,4684.1885
NANDED,2020-09-01,5176,4511.02
NANDED,2020-10-01,4553,5247.9375
NANDED,2020-11-01,4475,4548.5522
NANDED,2020-12-01,4906,4557.175
NANDED,2021-01-01,5001,4924.468
NANDED,2021-02-01,5274,4664.9165
NANDED,2021-03-01,4873,5332.734
PUNE,2020-07-01,5520,7129.6597
PUNE,2020-08-01,5630,6432.4116
PUNE,2020-09-01,5491,6776.7905
PUNE,2020-10-01,6135,6322.9385
PUNE,2020-11-01,6162,6936.687
PUNE,2020-12-01,7696,6352.5527
PUNE,2021-01-01,7485,7905.3066
PUNE,2021-02-01,7795,6053.4834
PUNE,2021-03-01,7315,7415.8613
WARDHA,2020-07-01,1258,1511.6635
WARDHA,2020-08-01,1219,1376.4133
WARDHA,2020-09-01,1186,1253.4229
WARDHA,2020-10-01,1151,1224.1632
WARDHA,2020-11-01,1033,1283.4636
WARDHA,2020-12-01,1337,1279.4972
WARDHA,2021-01-01,1369,1493.0105
WARDHA,2021-02-01,1492,1653.3015
WARDHA,2021-03-01,1483,1411.1285
YAVATMAL,2020-07-01,3187,2999.7798
YAVATMAL,2020-08-01,2613,3143.655
YAVATMAL,2020-09-01,2629,2850.179
YAVATMAL,2020-10-01,2797,2953.9329
YAVATMAL,2020-11-01,2682,2951.585
YAVATMAL,2020-12-01,3140,2800.4749
YAVATMAL,2021-01-01,3105,2594.4473
YAVATMAL,2021-02-01,3242,2993.6213
YAVATMAL,2021-03-01,3717,3022.0813
