district,date,actual,forecast
AHMEDNAGAR,2020-07-01,5982,6348.795
AHMEDNAGAR,2020-08-01,5559,6465.45
AHMEDNAGAR,2020-09-01,5903,6989.8150000000005
AHMEDNAGAR,2020-10-01,5719,6924.08
AHMEDNAGAR,2020-11-01,5427,6803.705
AHMEDNAGAR,2020-12-01,6256,6932.0650000000005
AHMEDNAGAR,2021-01-01,6196,7016.605
AHMEDNAGAR,2021-02-01,6458,7689.775
AHMEDNAGAR,2021-03-01,5735,7693.895
AKOLA,2020-07-01,1555,1690.785
AKOLA,2020-08-01,1523,1776.35
AKOLA,2020-09-01,1606,1807.72
AKOLA,2020-10-01,1395,1811.83
AKOLA,2020-11-01,1204,1854.4
AKOLA,2020-12-01,1630,1904.1
AKOLA,2021-01-01,1745,1902.39
AKOLA,2021-02-01,1618,2020.845
AKOLA,2021-03-01,1782,1986.79
AMRAVATI,2020-07-01,1905.0,2319.14
AMRAVATI,2020-08-01,1776.0,2284.095
AMRAVATI,2020-09-01,1794.0,2276.165
AMRAVATI,2020-10-01,1814.0,2357.96
AMRAVATI,2020-11-01,1896.0,2354.51
AMRAVATI,2020-12-01,2379.0,2183.02
AMRAVATI,2021-01-01,2249.0,2174.295
AMRAVATI,2021-02-01,2476.0,1960.11
AMRAVATI,2021-03-01,2570.0,2009.92
AURANGABAD,2020-07-01,2897,3549.605
AURANGABAD,2020-08-01,3107,3725.31
AURANGABAD,2020-09-01,3639,3812.335
AURANGABAD,2020-10-01,5000,3529.235
AURANGABAD,2020-11-01,4498,3457.815
AURANGABAD,2020-12-01,5448,3640.415
AURANGABAD,2021-01-01,5221,3621.215
AURANGABAD,2021-02-01,5126,3838.15
AURANGABAD,2021-03-01,4791,3667.515
BEED,2020-07-01,3407,3494.995
BEED,2020-08-01,2907,3444.975
BEED,2020-09-01,3136,3569.935
BEED,2020-10-01,3117,3566.025
BEED,2020-11-01,2842,3588.12
BEED,2020-12-01,3110,3758.73
BEED,2021-01-01,3208,3730.24
BEED,2021-02-01,3318,3748.005
BEED,2021-03-01,3225,3907.265
BHANDARA,2020-07-01,1165,1270.48
BHANDARA,2020-08-01,1101,1230.445
BHANDARA,2020-09-01,1151,1274.025
BHANDARA,2020-10-01,1152,1296.235
BHANDARA,2020-11-01,1031,1328.27
BHANDARA,2020-12-01,1279,1353.155
BHANDARA,2021-01-01,1355,1389.715
BHANDARA,2021-02-01,1557,1436.68
BHANDARA,2021-03-01,1591,1441.14
BULDHANA,2020-07-01,1439,1623.945
BULDHANA,2020-08-01,1345,1756.46
BULDHANA,2020-09-01,1602,1816.07625
BULDHANA,2020-10-01,1459,1659.15125
BULDHANA,2020-11-01,1389,1702.9412499999999
BULDHANA,2020-12-01,1711,1825.56125
BULDHANA,2021-01-01,1734,1554.7962499999999
BULDHANA,2021-02-01,1818,1634.66625
BULDHANA,2021-03-01,2057,1810.78125
CHANDRAPUR,2020-07-01,2279,2374.935
CHANDRAPUR,2020-08-01,2103,2460.98
CHANDRAPUR,2020-09-01,2030,2736.0825
CHANDRAPUR,2020-10-01,2073,2883.385
CHANDRAPUR,2020-11-01,1897,3077.375
CHANDRAPUR,2020-12-01,2498,3232.9191666666666
CHANDRAPUR,2021-01-01,2799,3704.9541666666664
CHANDRAPUR,2021-02-01,3217,3594.184166666667
CHANDRAPUR,2021-03-01,3581,3756.9641666666666
DHULE,2020-07-01,3317,3562.415
DHULE,2020-08-01,2764,3907.5950000000003
DHULE,2020-09-01,3344,4209.055
DHULE,2020-10-01,3020,4085.005
DHULE,2020-11-01,2908,4111.905
DHULE,2020-12-01,3477,4331.645
DHULE,2021-01-01,3554,4131.4
DHULE,2021-02-01,3873,4305.705
DHULE,2021-03-01,3478,4328.645
GADCHIROLI,2020-07-01,1437,1816.27
