district,date,actual,forecast
AHMEDNAGAR,2020-10-01,5719,6306.582435484011
AHMEDNAGAR,2020-11-01,5427,6344.190161669766
AHMEDNAGAR,2020-12-01,6256,5877.522819896653
AHMEDNAGAR,2021-01-01,6196,5732.465008430665
AHMEDNAGAR,2021-02-01,6458,5763.1976581614
AHMEDNAGAR,2021-03-01,5735,5482.973219896607
AKOLA,2020-10-01,1395,1654.121686616324
AKOLA,2020-11-01,1204,1851.7701569971528
AKOLA,2020-12-01,1630,1483.619318565474
AKOLA,2021-01-01,1745,1759.9469360281585
AKOLA,2021-02-01,1618,1554.445836838264
AKOLA,2021-03-01,1782,1743.4962035191172
AMRAVATI,2020-10-01,1814,2267.6594358655016
AMRAVATI,2020-11-01,1896,2176.46053749506
AMRAVATI,2020-12-01,2379,2315.989026898634
AMRAVATI,2021-01-01,2249,1945.993019072965
AMRAVATI,2021-02-01,2476,2261.4289021810982
AMRAVATI,2021-03-01,2570,2437.304926316176
AURANGABAD,2020-10-01,5000,4427.666458239548
AURANGABAD,2020-11-01,4498,4164.144895529141
AURANGABAD,2020-12-01,5448,3683.326585965372
AURANGABAD,2021-01-01,5221,3348.180153838231
AURANGABAD,2021-02-01,5126,3584.4177710671306
AURANGABAD,2021-03-01,4791,3795.32332708886
BEED,2020-10-01,3117,3649.848807250343
BEED,2020-11-01,2842,3366.275961513784
BEED,2020-12-01,3110,3388.2941555590137
BEED,2021-01-01,3208,3457.146849683592
BEED,2021-02-01,3318,3465.569885355697
BEED,2021-03-01,3225,3749.6405148020935
BHANDARA,2020-10-01,1152,1086.2290963687258
BHANDARA,2020-11-01,1031,1083.3142749891913
BHANDARA,2020-12-01,1279,1018.768132957646
BHANDARA,2021-01-01,1355,993.0056790484132
BHANDARA,2021-02-01,1557,1231.4551127915772
BHANDARA,2021-03-01,1591,1285.593687402892
BULDHANA,2020-10-01,1459,1837.210709635193
BULDHANA,2020-11-01,1389,1967.7607083022392
BULDHANA,2020-12-01,1711,1887.235598820514
BULDHANA,2021-01-01,1734,1605.7698298037003
BULDHANA,2021-02-01,1818,2051.946337821094
BULDHANA,2021-03-01,2057,1915.0244603476417
CHANDRAPUR,2020-10-01,2073,2652.321262300909
CHANDRAPUR,2020-11-01,1897,2964.0556626290013
CHANDRAPUR,2020-12-01,2498,2652.726891281697
CHANDRAPUR,2021-01-01,2799,2385.241741007639
CHANDRAPUR,2021-02-01,3217,3256.5286461685832
CHANDRAPUR,2021-03-01,3581,3292.607558545224
DHULE,2020-10-01,3020,3397.153508468766
DHULE,2020-11-01,2908,3696.946854321623
DHULE,2020-12-01,3477,2910.345025027353
DHULE,2021-01-01,3554,3324.3475136779048
DHULE,2021-02-01,3873,3388.866448501694
DHULE,2021-03-01,3478,3261.7705877471208
GADCHIROLI,2020-10-01,1197,1437.6840831855409
GADCHIROLI,2020-11-01,1211,1425.9768308605187
GADCHIROLI,2020-12-01,1363,1384.7149875739613
GADCHIROLI,2021-01-01,1302,1462.8784994467214
GADCHIROLI,2021-02-01,1566,1530.7667391315674
GADCHIROLI,2021-03-01,1609,1734.3168521953748
GONDIA,2020-10-01,1341,1311.6851361246445
GONDIA,2020-11-01,1444,1429.2612562086915
GONDIA,2020-12-01,1405,1255.306937079176
GONDIA,2021-01-01,1340,1146.669956517509
GONDIA,2021-02-01,1508,1433.7725069985534
GONDIA,2021-03-01,1746,1482.6296966570808
HINGOLI,2020-10-01,1749,1752.7601475770489
HINGOLI,2020-11-01,1616,1932.619210721197
HINGOLI,2020-12-01,1687,1815.3498668033992
HINGOLI,2021-01-01,1732,1724.0491287664931
HINGOLI,2021-02-01,1870,2206.214222386324
HINGOLI,2021-03-01,1716,1957.410527486411
JALGAON,2020-10-01,4731,4880.605525908002
JALGAON,2020-11-01,4652,4835.442293944319
JALGAON,2020-12-01,5392,4136.022493631327
JALGAON,2021-01-01,5235,4170.172192558031
JALGAON,2021-02-01,5794,4466.786197760332
JALGAON,2021-03-01,5061,4401.470837387104
JALNA,2020-10-01,1698,1825.9147047644717
JALNA,2020-11-01,1869,1745.412245760307
JALNA,2020-12-01,2109,1771.144976356612
JALNA,2021-01-01,2118,2191.639839736912
JALNA,2021-02-01,1948,2255.175061920594
JALNA,2021-03-01,1905,2011.4603457677376
KOLHAPUR,2020-10-01,3711,3614.789645936058
KOLHAPUR,2020-11-01,3480,4057.6320181499095
KOLHAPUR,2020-12-01,4336,4223.364051820026
KOLHAPUR,2021-01-01,4042,4152.098983545261
KOLHAPUR,2021-02-01,4038,4064.6971444445935
KOLHAPUR,2021-03-01,3954,3899.007002681637
LATUR,2020-10-01,3408,3462.794225104877
LATUR,2020-11-01,3363,4087.000937225278
LATUR,2020-12-01,3601,3663.2099286216535
LATUR,2021-01-01,3699,4129.437642228998
LATUR,2021-02-01,3954,4534.650142896715
LATUR,2021-03-01,3892,3942.769183069079
MUMBAI,2020-10-01,1756,9216.747088847133
MUMBAI,2020-11-01,2196,5521.540282127521
MUMBAI,2020-12-01,2738,4242.850004530785
MUMBAI,2021-01-01,2397,6118.92420804555
MUMBAI,2021-02-01,2276,8447.805367193963
MUMBAI,2021-03-01,2515,7094.661691366948
NAGPUR,2020-10-01,4837,5416.510544232201
NAGPUR,2020-11-01,5721,5593.88149922164
NAGPUR,2020-12-01,6553,5732.724040069819
NAGPUR,2021-01-01,6620,5213.192762534434
NAGPUR,2021-02-01,6722,4944.95309764785
NAGPUR,2021-03-01,8096,5922.63470109316
NANDED,2020-10-01,4553,4449.967419455581
NANDED,2020-11-01,4475,4645.603388331993
NANDED,2020-12-01,4906,5459.6611720152105
NANDED,2021-01-01,5001,5975.511687936743
NANDED,2021-02-01,5274,6128.660375579731
NANDED,2021-03-01,4873,5844.9193561098855
NANDURBAR,2020-10-01,2322,3118.615978415782
NANDURBAR,2020-11-01,2311,2834.7360424964927
NANDURBAR,2020-12-01,2661,3179.9418444466896
NANDURBAR,2021-01-01,2528,3123.1659616062666
NANDURBAR,2021-02-01,2723,3509.6560855162816
NANDURBAR,2021-03-01,2883,3482.920104309944
NASHIK,2020-10-01,6938,9971.189385543254
NASHIK,2020-11-01,7314,8837.432428155096
NASHIK,2020-12-01,7560,7847.4078231489775
NASHIK,2021-01-01,7807,7882.935524074396
NASHIK,2021-02-01,8582,9236.868172295735
NASHIK,2021-03-01,7998,8563.884957105798
OSMANABAD,2020-10-01,1701,1805.9767674942232
OSMANABAD,2020-11-01,1857,2085.3843998435664
OSMANABAD,2020-12-01,2177,1939.334409843536
OSMANABAD,2021-01-01,2344,1690.7533932839112
OSMANABAD,2021-02-01,2300,2392.672348697364
OSMANABAD,2021-03-01,2538,2170.737986678222
PALGHAR,2020-10-01,3271,4649.102549136525
PALGHAR,2020-11-01,3189,4590.312840252377
PALGHAR,2020-12-01,3657,4829.068418259282
PALGHAR,2021-01-01,3513,3413.379870571372
PALGHAR,2021-02-01,3791,3516.6764528340004
PALGHAR,2021-03-01,4256,4268.034521538683
PARBHANI,2020-10-01,1580,1286.7832809267968
PARBHANI,2020-11-01,1311,1304.0165224761654
PARBHANI,2020-12-01,1730,1557.3391205576138
PARBHANI,2021-01-01,1473,1618.8056445531986
PARBHANI,2021-02-01,1569,1690.531702141668
PARBHANI,2021-03-01,1622,1698.9239270946446
PUNE,2020-10-01,6135,6712.412023778596
PUNE,2020-11-01,6162,7160.987310127902
PUNE,2020-12-01,7696,8237.981650727916
PUNE,2021-01-01,7485,6622.886404441145
PUNE,2021-02-01,7795,5892.530982650972
PUNE,2021-03-01,7315,6301.732023722638
RAIGAD,2020-10-01,1569,2335.45263660512
RAIGAD,2020-11-01,2801,2783.0222774685817
RAIGAD,2020-12-01,3265,2155.3511012457584
RAIGAD,2021-01-01,3701,1827.323614895027
RAIGAD,2021-02-01,3207,2224.104507452545
RAIGAD,2021-03-01,3532,2759.59967888176
RATNAGIRI,2020-10-01,679,870.3620442345666
RATNAGIRI,2020-11-01,551,995.5802656000012
RATNAGIRI,2020-12-01,665,892.9108975291219
RATNAGIRI,2021-01-01,683,754.7912914696736
RATNAGIRI,2021-02-01,675,801.4541949933218
RATNAGIRI,2021-03-01,749,851.9358993571557
SANGLI,2020-10-01,1492,2302.91032491186
SANGLI,2020-11-01,1581,2052.8180219606893
SANGLI,2020-12-01,1633,2066.95430126537
SANGLI,2021-01-01,1529,2043.8988204646744
SANGLI,2021-02-01,1803,2256.951122462669
