district,date,actual,forecast
AHMEDNAGAR,2020-07-01,5982.0,6520.8657
AHMEDNAGAR,2020-08-01,5559.0,6358.687
AHMEDNAGAR,2020-09-01,5903.0,6346.2393
AHMEDNAGAR,2020-10-01,5719.0,6302.273
AHMEDNAGAR,2020-11-01,5427.0,6131.1807
AHMEDNAGAR,2020-12-01,6256.0,6090.712
AHMEDNAGAR,2021-01-01,6196.0,6055.2764
AHMEDNAGAR,2021-02-01,6458.0,6752.6807
AHMEDNAGAR,2021-03-01,5735.0,6968.065
AKOLA,2020-07-01,1555.0,1680.3329
AKOLA,2020-08-01,1523.0,1620.1346
AKOLA,2020-09-01,1606.0,1651.1439
AKOLA,2020-10-01,1395.0,1734.4847
AKOLA,2020-11-01,1204.0,1698.1384
AKOLA,2020-12-01,1630.0,1767.34
AKOLA,2021-01-01,1745.0,1858.969
AKOLA,2021-02-01,1618.0,2103.8235
AKOLA,2021-03-01,1782.0,2136.4243
AMRAVATI,2020-07-01,1905.0,2271.2993
AMRAVATI,2020-08-01,1776.0,2047.2864
AMRAVATI,2020-09-01,1794.0,2035.5952
AMRAVATI,2020-10-01,1814.0,2216.971
AMRAVATI,2020-11-01,1896.0,2171.424
AMRAVATI,2020-12-01,2379.0,2164.6099
AMRAVATI,2021-01-01,2249.0,2422.1897
AMRAVATI,2021-02-01,2476.0,1955.0975
AMRAVATI,2021-03-01,2570.0,1994.7847
AURANGABAD,2020-07-01,2897.0,3559.2676
AURANGABAD,2020-08-01,3107.0,3665.43
AURANGABAD,2020-09-01,3639.0,3809.3384
AURANGABAD,2020-10-01,5000.0,3444.1216
AURANGABAD,2020-11-01,4498.0,3487.9814
AURANGABAD,2020-12-01,5448.0,3762.337
AURANGABAD,2021-01-01,5221.0,3775.1636
AURANGABAD,2021-02-01,5126.0,4127.5566
AURANGABAD,2021-03-01,4791.0,3938.7173
BEED,2020-07-01,3407.0,3370.6711
BEED,2020-08-01,2907.0,3380.8286
BEED,2020-09-01,3136.0,3325.3818
BEED,2020-10-01,3117.0,3275.484
BEED,2020-11-01,2842.0,3305.1506
BEED,2020-12-01,3110.0,3400.6924
BEED,2021-01-01,3208.0,3361.1812
BEED,2021-02-01,3318.0,3346.2544
BEED,2021-03-01,3225.0,3541.445
BHANDARA,2020-07-01,1165.0,1272.4054
BHANDARA,2020-08-01,1101.0,1169.0192
BHANDARA,2020-09-01,1151.0,1183.4232
BHANDARA,2020-10-01,1152.0,1234.5061
BHANDARA,2020-11-01,1031.0,1242.7313
BHANDARA,2020-12-01,1279.0,1195.1943
BHANDARA,2021-01-01,1355.0,1229.4563
