district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LGBM,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
AHMEDNAGAR,,944.3750652671167,1045.384759428752,2387.3889319370655,1779.5052749237,1153.2508257614406,938.1788169827535,1235.5596223454286,1816.1573641871698,947.1126029036227,531.9255170399563,1891.102136102216,1779.6604565418804,,590.3203039501782,1066.2935427924758,1364.8080988868264,944.3750652671167,967.4102521478468,633.931623737478
AKOLA,,214.85925625860293,184.05606744733853,221.78660602279638,287.36489460397036,337.3438101551591,181.15219942332863,226.98705331458575,269.2357647112527,594.7660500743025,295.6730947784814,390.7629421620926,287.57566746111814,,292.66665154617465,226.19249428060616,304.34162972679076,214.85925625860293,164.4482193486913,294.41020590687754
AMRAVATI,366.3662890312917,410.665688731376,292.64615231266424,340.07377826901444,228.17832401218024,446.23119984985857,402.0231588686028,259.6451501846688,239.7521358400302,417.5216276679264,361.71469750564006,417.97253265393636,228.19226809536474,353.2856939722785,271.997962205199,367.5655902444026,319.53627509729387,410.665688731376,403.4330996661878,362.48426453356103
AURANGABAD,,1149.025137668319,1234.500405547379,1679.2164397365461,1316.6123670256038,1194.0050172040037,1160.8479447218083,1016.158581878061,1082.458571436031,1312.1719648377352,402.7568080918855,895.1845486507958,1316.5604188192947,,1318.357510548913,1373.6591261329477,1276.6590238892366,1149.025137668319,1160.2612839834437,1099.2689715449612
BEED,,701.1830003643842,596.362735054642,1770.6958354752933,846.4228209824785,536.216516245485,659.0793748440459,575.9443564171323,778.2492016901809,685.1450270129294,352.4878770266026,743.6097200754442,846.6590687771123,,407.2958518838155,522.7302363206944,1070.1550989443979,701.1830003643842,583.3824808336461,280.91650686366063
BHANDARA,,220.198092634791,177.47202219481068,263.24747812537345,189.36567494871014,147.50871703996944,219.5567249230587,165.20356476766668,192.26402511371427,173.11742282457024,277.3174320355758,169.75854930616418,189.4188155445442,,259.8318679195504,163.72822499835243,171.2480509597381,220.198092634791,219.17977582187063,144.27200518009568
BULDHANA,,252.744098048827,188.37201280168446,251.9319295011944,209.69941794486536,242.0802111154798,252.97195272943222,230.28577645662023,209.01858041962674,172.04024236538754,342.71874900337014,245.40246622030094,209.7839038371727,,316.33242115348185,284.20157517608476,226.91551715071452,252.744098048827,201.45474394173613,399.5786265260749
CHANDRAPUR,,538.0095724055475,501.0817524765703,468.9434642067445,580.2492247865003,684.7550338503619,550.0441423334726,451.79666056689894,716.4044722558198,475.3735676355853,194.01052728893137,538.3196728761411,580.298918563667,,540.6924470881129,820.0956602025781,851.4745301276203,538.0095724055475,545.4729074761576,695.3160999821733
DHULE,,340.64983408282444,679.6492291058468,560.0391603433726,861.8391641206064,861.1762284095967,338.22828451102134,515.6557876653411,762.6047161696242,912.1168995292993,336.726616626879,547.0043266047628,861.9885349168944,,486.42582295745837,1049.7124759194412,894.9775987941027,375.01135551059696,345.1789179128548,1155.8237699186332
GADCHIROLI,,381.4298100568439,411.0362765814785,556.6850136974307,478.5965749908141,530.0019812227121,383.2265078927277,514.6780876720952,491.4833054181065,833.8873781707562,305.1203639818911,436.31229501818274,478.9542340124549,,156.76042979168506,594.4315989549372,471.7563437127972,177.76670602633038,382.7792622004568,553.4931106570724
