district,date,actual,forecast
AHMEDNAGAR,2020-07-01,5982,6556.252241851962
AHMEDNAGAR,2020-08-01,5559,6970.81964882368
AHMEDNAGAR,2020-09-01,5903,7460.043274167977
AHMEDNAGAR,2020-10-01,5719,7617.842182169527
AHMEDNAGAR,2020-11-01,5427,7834.872913900525
AHMEDNAGAR,2020-12-01,6256,8094.714797780562
AHMEDNAGAR,2021-01-01,6196,8004.787757403363
AHMEDNAGAR,2021-02-01,6458,8056.328992917284
AHMEDNAGAR,2021-03-01,5735,8003.621501861805
AKOLA,2020-07-01,1555,1639.1417479637018
AKOLA,2020-08-01,1523,1631.1173023208357
AKOLA,2020-09-01,1606,1710.6682201509855
AKOLA,2020-10-01,1395,1735.099809354586
AKOLA,2020-11-01,1204,1825.8859958359765
AKOLA,2020-12-01,1630,1917.8455386629198
AKOLA,2021-01-01,1745,1915.3853144468417
AKOLA,2021-02-01,1618,1919.652284007298
AKOLA,2021-03-01,1782,1878.3476903004214
AMRAVATI,2020-07-01,1905.0,2085.2177542895306
AMRAVATI,2020-08-01,1776.0,2077.1749833741437
AMRAVATI,2020-09-01,1794.0,1936.141842532438
AMRAVATI,2020-10-01,1814.0,1937.8649122386212
AMRAVATI,2020-11-01,1896.0,1920.990351991114
AMRAVATI,2020-12-01,2379.0,1971.6124895016412
AMRAVATI,2021-01-01,2249.0,2255.8393044348536
AMRAVATI,2021-02-01,2476.0,2141.6794871548213
AMRAVATI,2021-03-01,2570.0,2392.4959473260415
AURANGABAD,2020-07-01,2897,3604.6229920725045
AURANGABAD,2020-08-01,3107,3804.160518687182
AURANGABAD,2020-09-01,3639,3623.750868209112
AURANGABAD,2020-10-01,5000,3386.565721299807
AURANGABAD,2020-11-01,4498,3044.4374995739654
AURANGABAD,2020-12-01,5448,3593.8538845058747
AURANGABAD,2021-01-01,5221,3430.1384347786393
AURANGABAD,2021-02-01,5126,3614.3868998281714
AURANGABAD,2021-03-01,4791,3807.661217311759
BEED,2020-07-01,3407,3610.1343978751697
BEED,2020-08-01,2907,3734.822028456578
BEED,2020-09-01,3136,3913.19114989426
BEED,2020-10-01,3117,3959.2631280505666
BEED,2020-11-01,2842,3959.3780348084015
BEED,2020-12-01,3110,4103.517943654267
BEED,2021-01-01,3208,4110.8176899746495
BEED,2021-02-01,3318,4084.2021628881134
BEED,2021-03-01,3225,4104.625455041128
BHANDARA,2020-07-01,1165,1248.2607142738743
BHANDARA,2020-08-01,1101,1253.8750146679818
BHANDARA,2020-09-01,1151,1269.0525736367708
BHANDARA,2020-10-01,1152,1268.3706629219444
BHANDARA,2020-11-01,1031,1276.3746757707888
BHANDARA,2020-12-01,1279,1291.1159724671484
BHANDARA,2021-01-01,1355,1265.4442291421888
BHANDARA,2021-02-01,1557,1273.9787300793344
BHANDARA,2021-03-01,1591,1249.4492313893795
BULDHANA,2020-07-01,1439,1524.6489980698343
BULDHANA,2020-08-01,1345,1597.2824368991191
BULDHANA,2020-09-01,1602,1717.317775628082
BULDHANA,2020-10-01,1459,1694.6591474753995
BULDHANA,2020-11-01,1389,1743.9152844565267
BULDHANA,2020-12-01,1711,1849.1856283862521
BULDHANA,2021-01-01,1734,1796.2648829376963
BULDHANA,2021-02-01,1818,1752.1279177830545
BULDHANA,2021-03-01,2057,1736.076643287669
CHANDRAPUR,2020-07-01,2279,2469.064142203803
CHANDRAPUR,2020-08-01,2103,2545.8614910033634
CHANDRAPUR,2020-09-01,2030,2571.576739850354
CHANDRAPUR,2020-10-01,2073,2646.722989388043
CHANDRAPUR,2020-11-01,1897,2675.2605026527885
CHANDRAPUR,2020-12-01,2498,2689.0032934865053
CHANDRAPUR,2021-01-01,2799,2742.2365305521507
CHANDRAPUR,2021-02-01,3217,2560.543011552294
CHANDRAPUR,2021-03-01,3581,2532.3447350758584
DHULE,2020-07-01,3317,3506.00533835266
DHULE,2020-08-01,2764,3742.610960139872
DHULE,2020-09-01,3344,4146.656664277445
DHULE,2020-10-01,3020,4175.010943652829
DHULE,2020-11-01,2908,4208.761666367922
DHULE,2020-12-01,3477,4451.46172404426
DHULE,2021-01-01,3554,4330.132563227824
DHULE,2021-02-01,3873,4182.409571917603
DHULE,2021-03-01,3478,4091.053893094804
GADCHIROLI,2020-07-01,1437,1689.5554339786072
GADCHIROLI,2020-08-01,1218,1727.3914512180336
GADCHIROLI,2020-09-01,1327,1789.5800929369354
GADCHIROLI,2020-10-01,1197,1830.7873388738178
GADCHIROLI,2020-11-01,1211,1834.4705958028135
GADCHIROLI,2020-12-01,1363,1868.196143477737
GADCHIROLI,2021-01-01,1302,1870.6018053284258
GADCHIROLI,2021-02-01,1566,1864.1699716357762
GADCHIROLI,2021-03-01,1609,1872.6128243810667
GONDIA,2020-07-01,1454.0,1477.1895079433516
GONDIA,2020-08-01,1331.0,1441.1921110248975
GONDIA,2020-09-01,1309.0,1378.1649110702356
GONDIA,2020-10-01,1341.0,1369.47312789455
GONDIA,2020-11-01,1444.0,1374.9225980679803
GONDIA,2020-12-01,1405.0,1424.7577116628945
GONDIA,2021-01-01,1340.0,1393.9624275225017
GONDIA,2021-02-01,1508.0,1375.7810620981427
GONDIA,2021-03-01,1746.0,1471.7606088679897
HINGOLI,2020-07-01,1514,1695.4172919205312
HINGOLI,2020-08-01,1569,1794.273617222004
HINGOLI,2020-09-01,1745,1899.393744813978
HINGOLI,2020-10-01,1749,1901.9705681433497
HINGOLI,2020-11-01,1616,1863.9068413928933
HINGOLI,2020-12-01,1687,1917.8156313281665
HINGOLI,2021-01-01,1732,2002.8467268046545
HINGOLI,2021-02-01,1870,2033.7753977668503
HINGOLI,2021-03-01,1716,2009.2121199221376
JALGAON,2020-07-01,4641,5626.018500434729
JALGAON,2020-08-01,4335,5833.223190594654
JALGAON,2020-09-01,4806,6003.7902872448585
JALGAON,2020-10-01,4731,6072.334791296509
JALGAON,2020-11-01,4652,6157.462336480587
JALGAON,2020-12-01,5392,6243.3055568956315
JALGAON,2021-01-01,5235,6236.889034071324
JALGAON,2021-02-01,5794,6312.773737904164
JALGAON,2021-03-01,5061,6307.466229214462
JALNA,2020-07-01,2128.0,1814.9339248421318
JALNA,2020-08-01,1604.0,1967.1311320599505
JALNA,2020-09-01,1731.0,1591.384778668988
JALNA,2020-10-01,1698.0,1754.9675912088046
JALNA,2020-11-01,1869.0,1667.2069834079539
JALNA,2020-12-01,2109.0,1794.9010067478034
JALNA,2021-01-01,2118.0,1927.7516820079918
JALNA,2021-02-01,1948.0,1921.940611596705
JALNA,2021-03-01,1905.0,1833.6266455478617
KOLHAPUR,2020-07-01,3357,3578.735567598873
KOLHAPUR,2020-08-01,3163,3738.4762142776262
KOLHAPUR,2020-09-01,3576,3937.892166426051
KOLHAPUR,2020-10-01,3711,3979.460491874184
KOLHAPUR,2020-11-01,3480,3940.315158592898
KOLHAPUR,2020-12-01,4336,3952.3840835613414
KOLHAPUR,2021-01-01,4042,3750.371426634901
KOLHAPUR,2021-02-01,4038,3758.7453646962854
KOLHAPUR,2021-03-01,3954,3696.629424048296
LATUR,2020-07-01,3500,3808.5599734548696
LATUR,2020-08-01,3274,3984.6891830820778
LATUR,2020-09-01,3634,4223.5130264755735
LATUR,2020-10-01,3408,4324.108219512159
LATUR,2020-11-01,3363,4473.417369169396
LATUR,2020-12-01,3601,4578.356032242314
LATUR,2021-01-01,3699,4670.75548730578
LATUR,2021-02-01,3954,4720.920302725196
LATUR,2021-03-01,3892,4704.576058275591
