district,rmse,r_squared,params,differencing
AHMEDNAGAR,1779.6604565418804,0.1426196084274396,"{'const': 154.6054255124958, 'lag_1': -0.397057322148072, 'lag_2': -0.2020972061152268, 'lag_3': -0.1392155977467966}",1
AKOLA,287.5756674611181,0.10274022272494288,"{'const': 37.772474948115054, 'lag_1': -0.26029933233368563, 'lag_2': -0.11275545254711149, 'lag_3': -0.23278921788369}",1
AMRAVATI,228.19226809536454,0.5410925997875984,"{'const': 663.7454496293469, 'lag_1': 0.5986145224293954, 'lag_2': -0.11058264184913003, 'lag_3': 0.2081888615721753}",0
AURANGABAD,1316.560418819295,0.1907295756112527,"{'const': 23.718325389114575, 'lag_1': -0.3671359678963365, 'lag_2': 0.17873295270409223, 'lag_3': 0.18447416358752672}",1
BEED,846.6590687771122,0.0835441292679191,"{'const': 50.385593247486725, 'lag_1': -0.28793848366552777, 'lag_2': -0.12759812890663813, 'lag_3': 0.053043092319352836}",1
BHANDARA,189.4188155445442,0.015551088349331166,"{'const': 4.03521496009626, 'lag_1': -0.1045460761621379, 'lag_2': 0.030909366445700248, 'lag_3': -0.03949805691601832}",1
BULDHANA,209.7839038371727,0.17474093497551413,"{'const': 54.559054379378956, 'lag_1': -0.43529992708413373, 'lag_2': -0.2938386468359863, 'lag_3': -0.08474175814431519}",1
CHANDRAPUR,580.298918563667,0.09746704727197031,"{'const': 24.98340864503105, 'lag_1': -0.045707854780243196, 'lag_2': -0.2944189996013351, 'lag_3': 0.09075593520245735}",1
DHULE,861.9885349168944,0.2144601124216271,"{'const': 86.92144666423697, 'lag_1': -0.4449230177340359, 'lag_2': -0.35528107919560664, 'lag_3': -0.01579971833359735}",1
GADCHIROLI,478.95423401245495,0.02841487768598261,"{'const': 13.830182515139086, 'lag_1': -0.058295218557332634, 'lag_2': -0.15695701815917376, 'lag_3': 0.0028173014577479033}",1
GONDIA,115.00610995678792,0.268437994210436,"{'const': 643.978540352306, 'lag_1': 0.5498009097327035, 'lag_2': -0.12862833859565936, 'lag_3': 0.12173969420423517}",0
HINGOLI,219.0345469601615,0.20488104346311797,"{'const': 49.582675850331555, 'lag_1': -0.29829514867104, 'lag_2': -0.4315149673305179, 'lag_3': -0.1910288682896844}",1
JALGAON,1167.4539560590526,0.019363120863687855,"{'const': 87.23648463795699, 'lag_1': -0.13499291022474835, 'lag_2': -0.04752146904812364, 'lag_3': -0.03316733398997164}",1
JALNA,219.58510676505563,0.3668594073580017,"{'const': 609.2613694058915, 'lag_1': 0.6512881412745386, 'lag_2': -0.11831214848755045, 'lag_3': 0.09779094710090122}",0
KOLHAPUR,360.816622713646,0.12871873185779092,"{'const': 58.901521550300295, 'lag_1': -0.3326251316751058, 'lag_2': -0.23348168681822887, 'lag_3': -0.2231210030952674}",1
LATUR,827.8536589845982,0.09715939265379259,"{'const': 112.6211013665357, 'lag_1': -0.2792168580806078, 'lag_2': -0.1793751297669901, 'lag_3': -0.16884993398496018}",1
MUMBAI,846.7815399198552,0.025256960973324527,"{'const': -114.93057721958624, 'lag_1': -0.0008521214051180268, 'lag_2': 0.11677269435234293, 'lag_3': -0.13166349601882268}",1
NAGPUR,1471.2892059883275,0.255676773298366,"{'const': 87.48601802125307, 'lag_1': -0.47174355414603236, 'lag_2': -0.38591798709965414, 'lag_3': 0.036479080866269414}",1
NANDED,378.76786829563775,0.44866895002787555,"{'const': 1327.1436309292926, 'lag_1': 0.6608064388400541, 'lag_2': -0.023792792741014035, 'lag_3': 0.061312213253094716}",0
NANDURBAR,1472.371542378017,0.2870558122785558,"{'const': 61.79533635745554, 'lag_1': -0.4669354681357947, 'lag_2': 0.19224579209825934, 'lag_3': 0.1431862304681284}",1
NASHIK,501.0116798412672,0.01607461603478355,"{'const': 102.60230543293667, 'lag_1': 0.10314726471251397, 'lag_2': 0.0546590910501673, 'lag_3': -0.045768495206267856}",1
OSMANABAD,552.0178660213691,0.37690928788459355,"{'const': 34.0284108066154, 'lag_1': -0.49733699974086043, 'lag_2': -0.6244966669584284, 'lag_3': -0.21799194431852464}",1
PALGHAR,641.9809050219194,0.07909814878306609,"{'const': 36.47233648602493, 'lag_1': -0.131747904435825, 'lag_2': -0.10440630749555166, 'lag_3': -0.286635905581651}",1
PARBHANI,247.227734741216,0.1458124784688809,"{'const': 28.299634398250795, 'lag_1': -0.2372203031579413, 'lag_2': -0.1469752397653811, 'lag_3': -0.2964939733127122}",1
PUNE,733.3256595838573,0.3380132784494745,"{'const': 3787.5706770169454, 'lag_1': 0.7003611159675736, 'lag_2': -0.40806936702265323, 'lag_3': 0.1495753666912405}",0
RAIGAD,1837.9306452421915,0.18121705694986512,"{'const': 1.7454550006943474, 'lag_1': -0.3207896232834505, 'lag_2': -0.08316392531583906, 'lag_3': 0.26754534909924615}",1
RATNAGIRI,372.19930642077054,0.3246811279957451,"{'const': 22.924389037745144, 'lag_1': -0.562621583347303, 'lag_2': -0.3657366746353874, 'lag_3': -0.3579412439453237}",1
SANGLI,312.8518331446557,0.14103802678683697,"{'const': 32.82137642290344, 'lag_1': -0.32549072120334316, 'lag_2': -0.12391364775957428, 'lag_3': 0.16279804059764824}",1
SATARA,2245.512200371346,0.1297278629566374,"{'const': 20.63688127747948, 'lag_1': -0.38090079022569423, 'lag_2': -0.12423721087866584, 'lag_3': -0.08129066073833502}",1
SINDHUDURG,119.8879103307813,0.14811864340645386,"{'const': 12.957052120043263, 'lag_1': -0.011517842514870286, 'lag_2': -0.1667288310890294, 'lag_3': -0.34625101332661556}",1
SOLAPUR,600.0384531917178,0.14824142024483733,"{'const': 98.74185431144979, 'lag_1': -0.34399604916358734, 'lag_2': -0.1418897294051134, 'lag_3': 0.15527392524214634}",1
THANE,1819.2206270666247,0.22331657806429728,"{'const': 178.37232396195964, 'lag_1': -0.3682962401498263, 'lag_2': -0.29328572100821426, 'lag_3': -0.4003246450197378}",1
WARDHA,152.6232606427947,0.12347998461093357,"{'const': 1179.4766839708147, 'lag_1': 0.3582220329092862, 'lag_2': -0.13441811746344157, 'lag_3': -0.06946550033441357}",0
WASHIM,160.44548587754397,0.23695803099554413,"{'const': 34.47967837309807, 'lag_1': -0.18740695634619783, 'lag_2': -0.4722568892616084, 'lag_3': -0.17134063226467702}",1
YAVATMAL,309.8845575651117,0.4009735267826624,"{'const': 883.1954063886543, 'lag_1': 0.3360826831850856, 'lag_2': 0.2830233876716758, 'lag_3': 0.08653421261720379}",0
MUMBAI SUBURBAN,1672.4660242819002,0.6789443099637158,"{'const': 1505.7929836375686, 'lag_1': -0.9642383823206284, 'lag_2': -0.6260013564369387, 'lag_3': -0.45158748177789354}",1
