district,date,actual,forecast,lower_ci,upper_ci
AHMEDNAGAR,2020-06-01,6372,6843.879400743853,5741.934101585773,7945.824699901933
AHMEDNAGAR,2020-07-01,5982,6843.879400743853,5507.037067945883,8180.721733541823
AHMEDNAGAR,2020-08-01,5559,6843.879400743853,5307.646539754072,8380.112261733633
AHMEDNAGAR,2020-09-01,5903,6843.879400743853,5131.315421323237,8556.443380164468
AHMEDNAGAR,2020-10-01,5719,6843.879400743853,4971.517426115789,8716.241375371917
AHMEDNAGAR,2020-11-01,5427,6843.879400743853,4824.3241664268435,8863.434635060863
AHMEDNAGAR,2020-12-01,6256,6843.879400743853,4687.153334484774,9000.605467002932
AHMEDNAGAR,2021-01-01,6196,6843.879400743853,4558.199785114075,9129.55901637363
AHMEDNAGAR,2021-02-01,6458,6843.879400743853,4436.142852504072,9251.615948983634
AHMEDNAGAR,2021-03-01,5735,6843.879400743853,4319.98176689383,9367.777034593875
AKOLA,2020-06-01,1575,1709.0,1389.510399209359,2028.489600790641
AKOLA,2020-07-01,1555,1709.0,1257.1734735247103,2160.82652647529
AKOLA,2020-08-01,1523,1709.0,1155.6277789407131,2262.372221059287
AKOLA,2020-09-01,1606,1709.0,1070.0207984187193,2347.979201581281
AKOLA,2020-10-01,1395,1709.0,994.5995345278578,2423.400465472142
AKOLA,2020-11-01,1204,1709.0,926.4134999374343,2491.586500062566
AKOLA,2020-12-01,1630,1709.0,863.7099698366609,2554.290030163339
AKOLA,2021-01-01,1745,1709.0,805.3469470494214,2612.6530529505785
AKOLA,2021-02-01,1618,1709.0,750.5311976280792,2667.468802371921
AKOLA,2021-03-01,1782,1709.0,698.6851727636447,2719.314827236355
AMRAVATI,2020-06-01,2017,2400.6390101703814,1948.489273678434,2852.788746662329
AMRAVATI,2020-07-01,1905,2382.8350780041983,1806.0946756696774,2959.575480338719
AMRAVATI,2020-08-01,1776,2373.7489976083134,1756.5980135903387,2990.899981626288
AMRAVATI,2020-09-01,1794,2375.86052154953,1724.844540374822,3026.876502724238
AMRAVATI,2020-10-01,1814,2378.6989280021016,1685.2550286880673,3072.142827316136
AMRAVATI,2020-11-01,1896,2378.9079298481984,1641.7052933626778,3116.110566333719
AMRAVATI,2020-12-01,2379,2378.2478770206803,1601.3312830985365,3155.164470942824
AMRAVATI,2021-01-01,2249,2378.0230402346565,1564.5698490464729,3191.47623142284
AMRAVATI,2021-02-01,2476,2378.130548448026,1529.6645700944841,3226.5965268015675
AMRAVATI,2021-03-01,2570,2378.2152031774103,1495.8256922897488,3260.6047140650717
AURANGABAD,2020-06-01,3456,3609.8885275307575,3016.7392842323256,4203.037770829189
AURANGABAD,2020-07-01,2897,3607.0972444988747,2916.956408861502,4297.238080136247
AURANGABAD,2020-08-01,3107,3608.2282933230663,2784.2337665698674,4432.222820076265
AURANGABAD,2020-09-01,3639,3607.7699838545914,2687.082952008986,4528.457015700196
AURANGABAD,2020-10-01,5000,3607.955694289368,2593.187835591124,4622.723552987612
AURANGABAD,2020-11-01,4498,3607.880443028032,2509.5385059679593,4706.222380088105
AURANGABAD,2020-12-01,5448,3607.910935403646,2430.9785367423515,4784.843334064941
AURANGABAD,2021-01-01,5221,3607.898579664299,2357.6641698243548,4858.132989504244
AURANGABAD,2021-02-01,5126,3607.903586302573,2288.2952520932904,4927.511920511855
AURANGABAD,2021-03-01,4791,3607.9015575751855,2222.4417980758653,4993.361317074506
BEED,2020-06-01,3448,3848.0,3305.824966427268,4390.175033572732
BEED,2020-07-01,3407,3848.0,3081.248714341354,4614.751285658646
